年份,性别比(女=100)(人口抽样调查),0-4岁性别比(女=100)(人口抽样调查),5-9岁性别比(女=100)(人口抽样调查),10-14岁性别比(女=100)(人口抽样调查),15-19岁性别比(女=100)(人口抽样调查),20-24岁性别比(女=100)(人口抽样调查),25-29岁性别比(女=100)(人口抽样调查),30-34岁性别比(女=100)(人口抽样调查),35-39岁性别比(女=100)(人口抽样调查),40-44岁性别比(女=100)(人口抽样调查),45-49岁性别比(女=100)(人口抽样调查),50-54岁性别比(女=100)(人口抽样调查),55-59岁性别比(女=100)(人口抽样调查),60-64岁性别比(女=100)(人口抽样调查),65-69岁性别比(女=100)(人口抽样调查),70-74岁性别比(女=100)(人口抽样调查),75-79岁性别比(女=100)(人口抽样调查),80-84岁性别比(女=100)(人口抽样调查),85-89岁性别比(女=100)(人口抽样调查),90-94岁性别比(女=100)(人口抽样调查),95岁以上性别比(女=100)(人口抽样调查)
2019,104.46,113.62,116.85,119.1,118.39,114.61,106.65,101.28,102.1,103.77,103.58,102.1,100.81,100.74,95.9,94.11,87.76,77.24,70.37,51.53,35.29
2018,104.64,113.91,118.03,118.62,118.14,112.89,105.39,101.05,102.84,103.75,103.64,102.15,101.65,100.5,96.94,94.42,89.15,76.97,71.16,48.74,40.07
2017,104.81,114.52,118.55,118.46,117.7,110.98,104.47,101.04,103.29,104.06,103.56,102.52,102.25,100.03,96.23,93.99,91.46,82.76,71.66,50.61,40.36
2016,104.98,115.62,118.86,118.54,117.05,109.62,103.41,101.3,103.8,104.21,103.43,102.86,103.03,99.77,97.16,96.36,91.79,81.76,68.73,49.58,48.25
2015,105.02,116.23,119.09,118.59,116.12,108.51,102.24,101.94,104.13,104.42,103.28,102.63,103.45,99.74,99.91,96.36,90.7,78.94,67.03,53.97,39.3571861734385
2014,105.04,116.87,119.16,118.54,114.76,106.83,101.54,102.47,104.32,104.44,103.4,102.68,103.53,99.85,97.33,99.47,91.28,81.99,66.79,49.45,43.98
2013,105.22,117.3,118.68,117.86,111.18,109.72,100.54,103.18,104.31,104.46,103.4,103.44,103.06,100.7,99.69,97.11,89.78,82.14,66.75,55.33,34.05
2012,105.12,118.46,118.52,117.82,111.15,104.68,101.29,103.64,104.58,104.36,103.72,103.93,102.46,101.56,99.35,98.3,91.0,80.79,63.64,50.63,30.12
2011,105.17,119.15,118.57,117.16,109.77,103.6,101.57,104.15,104.74,104.22,104.08,104.73,102.14,102.57,100.41,99.74,88.79,80.17,63.07,45.04,33.82
2010,,,,,,,,,,,,,,,,,,,,,
2009,103.27,122.66,122.65,118.27,112.26,100.84,99.67,97.32,98.35,98.88,97.71,101.31,100.18,103.68,102.21,100.15,95.36,78.27,69.93,44.38,36.83
2008,103.13,123.26,121.4,115.91,114.1,97.85,96.34,98.13,97.75,99.23,98.64,101.36,102.7,103.27,102.39,98.87,92.14,80.08,65.34,45.17,41.17
2007,102.86,123.59,120.53,116.45,112.81,96.1,94.27,96.59,98.03,99.06,99.49,101.67,102.04,103.58,103.79,97.24,92.26,77.95,65.79,41.97,36.22
2006,102.71,120.72,123.05,116.99,111.99,95.84,93.79,96.3,96.74,97.9,100.0,101.51,102.38,104.21,104.73,97.54,91.37,74.0,60.48,47.86,36.89
2005,102.19,122.66,119.3,114.2,107.88,93.13,94.43,96.75,96.99,98.62,100.72,101.4,103.91,105.13,102.96,97.01,87.83,73.5,56.71,43.35,32.283778397768
2004,103.45,122.69,119.1,112.43,107.42,96.85,96.82,100.11,100.67,101.04,102.33,103.08,103.77,104.0,100.79,97.89,90.68,72.12,56.68,46.8,36.83
2003,104.26,121.22,119.66,111.69,110.61,98.67,98.66,100.39,100.99,104.5,102.56,101.26,104.74,102.94,101.14,101.17,87.89,72.64,56.43,45.98,46.88
2002,104.31,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
