年份,家庭户户数(人口抽样调查),一人户家庭户户数(人口抽样调查),二人户家庭户户数(人口抽样调查),三人户家庭户户数(人口抽样调查),四人户家庭户户数(人口抽样调查),五人户家庭户户数(人口抽样调查),六人户家庭户户数(人口抽样调查),七人户家庭户户数(人口抽样调查),八人户家庭户户数(人口抽样调查),九人户家庭户户数(人口抽样调查),十人及以上户家庭户户数(人口抽样调查)
2019,363974,67160,107657,81119,57959,28241,14757,4391,1497,596,598
2018,371225,61961,105040,86851,61107,31873,16334,4967,1667,696,728
2017,367273,57226,100061,90883,62853,32866,15854,4533,1688,678,629
2016,364431,51347,93925,95094,64894,35430,15813,4744,1777,743,664
2015,6355790,835737,1606929,1679039,1137662,655911,289024,88924,34229,14667,13669
2014,365416,54531,101053,97490,58111,32010,15322,4071,1618,676,534
2013,362031,52764,98671,97541,61517,30776,14032,4115,1539,575,502
2012,356954,50261,94323,98432,59938,32830,14683,3812,1478,650,547
2011,360447,50488,93719,99854,60977,33903,14716,3986,1643,654,506
2010,,,,,,,,,,,
2009,363948,36513,91006,106959,71173,38496,13801,3756,1432,462,351
2008,365130,32610,89733,110819,76675,36361,13423,3495,1227,468,319
2007,367260,32850,89708,111498,76715,37141,13763,3588,1274,413,310
2006,368180,33646,89000,112944,73757,39697,13228,3732,1352,461,365
2005,5286554,567455,1294464,1577147,1014177,538035,199448,58212,22028,8383,7205
2004,367617,28761,72225,115568,80242,45584,16183,5349,2149,850,706
2003,367550,28112,70068,116558,83688,42188,17341,5733,2344,841,676
2002,365083,28099,67225,115687,84193,43049,17652,5608,2187,757,625
2001,,,,,,,,,,,
2000,,,,,,,,,,,
