年份,主要港口主要货物出港量,主要港口煤炭及制品出港量,主要港口石油、天然气及制品出港量,主要港口金属矿石出港量,主要港口钢铁出港量,主要港口矿建材料出港量,主要港口水泥出港量,主要港口木材出港量,主要港口非金属矿石出港量,主要港口化肥和农药出港量,主要港口盐出港量,主要港口粮食出港量,主要港口其他货物出港量
2019,399807.6872,92282.427,28933.5536,26573.2231,21062.3646,39892.5479,3243.8912,703.5668,9280.0835,1943.0851,220.7661,6414.9621,169257.2162
2018,403883.0,93200.0,23538.0,26954.0,20911.0,29005.0,2643.0,725.0,8563.0,1555.0,168.0,7090.0,189531.0
2017,375730.0,86674.0,22989.0,25438.0,20768.0,24435.0,2093.0,724.0,7302.0,1494.0,168.0,7103.0,176542.0
2016,354066.0,78469.0,22993.0,25663.0,20184.0,25131.0,2138.0,715.0,6012.0,1770.0,149.0,5016.0,165826.0
2015,341424.0,78631.0,21240.0,24975.0,20144.0,24555.0,2083.0,748.0,5453.0,2497.0,108.0,4651.0,156339.0
2014,334653.0,83428.0,20189.0,25283.0,18773.0,21718.0,2259.0,705.0,4887.0,2254.0,53.0,5323.0,149781.0
2013,311987.0,81341.0,19393.0,23526.0,16071.0,19948.0,1571.0,642.0,4177.0,1561.0,58.0,5387.0,138312.0
2012,284076.0,74300.0,19652.0,21176.0,14428.0,16375.0,1182.0,651.0,3307.0,1486.0,57.0,4710.0,126752.0
2011,270162.0,75729.0,21200.0,19508.0,13647.0,13724.0,1242.0,661.0,3314.0,1281.0,73.0,4258.0,115524.0
2010,237778.0,63856.0,20958.0,18621.0,12689.0,11555.0,849.0,671.0,3109.0,1344.0,67.0,4036.0,100025.0
2009,202273.0,52548.0,18690.0,15221.0,11112.0,10572.0,886.0,525.0,2423.0,751.0,59.0,3606.0,85882.0
2008,198011.0,55518.0,15379.0,14418.0,11872.0,10121.0,1299.0,963.0,2524.0,839.0,84.0,3299.0,81695.0
2007,182500.0,51035.0,14325.0,12578.0,12040.0,8786.0,1674.0,1090.0,2449.0,1260.0,101.0,3464.0,73698.0
2006,159362.0,44214.0,13402.0,11781.0,9709.0,10224.0,1564.0,701.0,2184.0,708.0,220.0,3117.0,61538.0
2005,136085.0,40155.0,13397.0,9667.0,6934.0,9191.0,965.0,650.0,2246.0,717.0,160.0,3583.0,48420.0
2004,115876.0,36396.0,12926.0,7670.0,5562.0,6607.0,649.0,539.0,2023.0,980.0,249.0,2795.0,39480.0
2003,96344.0,30477.0,12125.0,5721.0,3428.0,5697.0,560.0,440.0,1997.0,748.0,257.0,3876.0,31018.0
2002,79736.0,25063.0,10584.0,4283.0,2514.0,5109.0,406.0,412.0,2023.0,610.0,243.0,2966.0,25524.0
2001,69194.0,24136.0,10111.0,3563.0,2013.0,3820.0,430.0,419.0,1687.0,541.0,248.0,2308.0,19918.0
2000,61590.0,20641.0,9261.0,3158.0,2397.0,2844.0,472.0,457.0,1721.0,514.0,253.0,2929.0,16943.0
