年份,主要港口主要货物进港量,主要港口煤炭及制品进港量,主要港口石油、天然气及制品进港量,主要港口金属矿石进港量,主要港口钢铁进港量,主要港口矿建材料进港量,主要港口水泥进港量,主要港口木材进港量,主要港口非金属矿石进港量,主要港口化肥和农药进港量,主要港口盐进港量,主要港口粮食进港量,主要港口其他货物进港量
2019,518966.0961,73888.5102,77510.3069,128215.2344,13143.8705,39350.6123,7352.6381,5445.1516,15747.5088,1299.7388,929.3701,13620.1458,142463.0086
2018,518509.0,70696.0,67817.0,122221.0,11256.0,44475.0,5657.0,5476.0,11791.0,989.0,994.0,14048.0,163089.0
2017,489734.0,64965.0,63005.0,119866.0,11000.0,38390.0,5019.0,4925.0,9378.0,880.0,1011.0,14289.0,157006.0
2016,456867.0,60097.0,56961.0,115064.0,9400.0,34801.0,4748.0,4743.0,7995.0,781.0,708.0,12174.0,149395.0
2015,443154.0,59239.0,51702.0,109437.0,9277.0,37138.0,4830.0,4200.0,8063.0,1013.0,777.0,12686.0,144792.0
2014,434904.0,65221.0,47018.0,107961.0,9870.0,35364.0,4618.0,4627.0,6589.0,1066.0,879.0,11187.0,140504.0
2013,416111.0,69059.0,44905.0,100802.0,9777.0,32987.0,3941.0,4469.0,7519.0,776.0,847.0,10448.0,130581.0
2012,381170.0,63803.0,43506.0,89869.0,9168.0,30973.0,3389.0,4077.0,5681.0,750.0,676.0,9598.0,119680.0
2011,346131.0,61221.0,42782.0,82029.0,8834.0,24390.0,3279.0,3686.0,5958.0,782.0,635.0,7918.0,104616.0
2010,310580.0,52402.0,39827.0,74522.0,8537.0,22175.0,2199.0,2671.0,4718.0,629.0,564.0,8468.0,93867.0
2009,273208.0,42354.0,33995.0,71349.0,7969.0,20674.0,1735.0,1637.0,3423.0,559.0,354.0,6877.0,82281.0
2008,231587.0,33431.0,29591.0,53224.0,6392.0,20107.0,1946.0,858.0,3509.0,627.0,543.0,5836.0,75523.0
2007,205700.0,30889.0,27393.0,45389.0,6586.0,15242.0,1689.0,961.0,3890.0,1084.0,528.0,5127.0,66922.0
2006,182829.0,26254.0,26259.0,39491.0,5788.0,17373.0,1396.0,902.0,2820.0,1034.0,550.0,5076.0,55886.0
2005,156692.0,23359.0,24241.0,32296.0,5588.0,15248.0,1265.0,905.0,1716.0,1357.0,662.0,5007.0,45048.0
2004,130198.0,20717.0,22125.0,24099.0,5365.0,11922.0,1466.0,826.0,1313.0,1243.0,436.0,4369.0,36317.0
2003,104782.0,16395.0,18313.0,18564.0,4988.0,8992.0,1062.0,855.0,1201.0,1247.0,428.0,3589.0,29148.0
2002,86891.0,15219.0,15190.0,13955.0,3691.0,7461.0,797.0,740.0,1138.0,1610.0,415.0,2599.0,24076.0
2001,73440.0,13067.0,14296.0,11043.0,3139.0,5837.0,768.0,645.0,874.0,1177.0,314.0,3033.0,19247.0
2000,64013.0,11895.0,14136.0,8734.0,2573.0,4410.0,511.0,589.0,859.0,1289.0,273.0,2688.0,16056.0
