年份,主要港口主要货物吞吐量,主要港口煤炭及制品吞吐量,主要港口石油、天然气及制品吞吐量,主要港口金属矿石吞吐量,主要港口钢铁吞吐量,主要港口矿建材料吞吐量,主要港口水泥吞吐量,主要港口木材吞吐量,主要港口非金属矿石吞吐量,主要港口化肥和农药吞吐量,主要港口盐吞吐量,主要港口粮食吞吐量,主要港口其他货物吞吐量
2019,918773.7833,166170.9372,106443.8605,154788.4575,34206.2351,79243.1602,10596.5293,6148.7184,25027.5923,3242.8239,1150.1362,20035.1079,311720.2248
2018,922392.0,163896.0,91356.0,149176.0,32167.0,73480.0,8300.0,6202.0,20353.0,2544.0,1162.0,21138.0,352618.0
2017,865464.0,151640.0,85994.0,145304.0,31768.0,62825.0,7112.0,5649.0,16679.0,2374.0,1179.0,21393.0,333547.0
2016,810933.0,138566.0,79954.0,140726.0,29584.0,59932.0,6886.0,5458.0,14007.0,2551.0,857.0,17190.0,315222.0
2015,784578.0,137870.0,72942.0,134412.0,29421.0,61693.0,6913.0,4948.0,13516.0,3510.0,885.0,17336.0,301132.0
2014,769557.0,148649.0,67207.0,133244.0,28643.0,57082.0,6877.0,5332.0,11475.0,3320.0,933.0,16510.0,290285.0
2013,728098.0,150401.0,64298.0,124328.0,25848.0,52935.0,5513.0,5111.0,11697.0,2336.0,905.0,15835.0,268891.0
2012,665245.0,138102.0,63157.0,111045.0,23596.0,47348.0,4571.0,4728.0,8988.0,2236.0,734.0,14309.0,246431.0
2011,616292.0,136949.0,63982.0,101537.0,22481.0,38114.0,4521.0,4347.0,9272.0,2063.0,708.0,12176.0,220140.0
2010,548358.0,116258.0,60786.0,93143.0,21226.0,33729.0,3048.0,3343.0,7827.0,1973.0,631.0,12504.0,193890.0
2009,475480.5847,94902.0,52685.0,86569.0,19081.0,31245.0,2620.0,2162.0,5846.0,1310.0,413.0,10483.0,168163.0
2008,429599.0,88949.0,44970.0,67643.0,18265.0,30228.0,3245.0,1821.0,6033.0,1466.0,627.0,9135.0,157217.0
2007,388200.0,81924.0,41718.0,57967.0,18626.0,24028.0,3362.0,2052.0,6339.0,2344.0,629.0,8591.0,140620.0
2006,342191.0,70468.0,39661.0,51272.0,15497.0,27597.0,2960.0,1603.0,5003.0,1741.0,770.0,8193.0,117426.0
2005,292777.0,63514.0,37637.0,41963.0,12522.0,24439.0,2230.0,1555.0,3962.0,2074.0,822.0,8590.0,93469.0
2004,246074.0,57113.0,35051.0,31769.0,10928.0,18529.0,2115.0,1365.0,3335.0,2223.0,685.0,7164.0,75797.0
2003,201126.0,46872.0,30438.0,24285.0,8416.0,14689.0,1622.0,1294.0,3198.0,1995.0,686.0,7465.0,60166.0
2002,166628.0,40282.0,25775.0,18238.0,6205.0,12570.0,1203.0,1152.0,3161.0,2221.0,658.0,5564.0,49600.0
2001,142634.0,37203.0,24407.0,14606.0,5152.0,9657.0,1198.0,1064.0,2561.0,1718.0,562.0,5341.0,39165.0
2000,125603.0,32536.0,23397.0,11892.0,4970.0,7255.0,983.0,1047.0,2579.0,1803.0,526.0,5616.0,32999.0
