年份,规模以上工业企业累计折旧,煤炭开采和洗选业规模以上工业企业累计折旧,石油和天然气开采业规模以上工业企业累计折旧,黑色金属矿采选业规模以上工业企业累计折旧,有色金属矿采选业规模以上工业企业累计折旧,非金属矿采选业规模以上工业企业累计折旧,开采辅助活动规模以上工业企业累计折旧,其他采矿业规模以上工业企业累计折旧,农副食品加工业规模以上工业企业累计折旧,食品制造业规模以上工业企业累计折旧,酒、饮料和精制茶制造业规模以上工业企业累计折旧,烟草制品业规模以上工业企业累计折旧,纺织业规模以上工业企业累计折旧,纺织服装、服饰业规模以上工业企业累计折旧,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业累计折旧,木材加工和木、竹、藤、棕、草制品业规模以上工业企业累计折旧,家具制造业规模以上工业企业累计折旧,造纸和纸制品业规模以上工业企业累计折旧,印刷和记录媒介复制业规模以上工业企业累计折旧,文教、工美、体育和娱乐用品制造业规模以上工业企业累计折旧,石油加工、炼焦和核燃料加工业规模以上工业企业累计折旧,化学原料和化学制品制造业规模以上工业企业累计折旧,医药制造业规模以上工业企业累计折旧,化学纤维制造业规模以上工业企业累计折旧,橡胶和塑料制品业规模以上工业企业累计折旧,非金属矿物制品业规模以上工业企业累计折旧,黑色金属冶炼和压延加工业规模以上工业企业累计折旧,有色金属冶炼和压延加工业规模以上工业企业累计折旧,金属制品业规模以上工业企业累计折旧,通用设备制造业规模以上工业企业累计折旧,专用设备制造业规模以上工业企业累计折旧,汽车制造业规模以上工业企业累计折旧,铁路、船舶、航空航天和其他运输设备规模以上工业企业累计折旧,电气机械和器材制造业规模以上工业企业累计折旧,计算机、通信和其他电子设备制造业规模以上工业企业累计折旧,仪器仪表制造业规模以上工业企业累计折旧,其他制造业规模以上工业企业累计折旧,废弃资源综合利用业规模以上工业企业累计折旧,金属制品、机械和设备修理业规模以上工业企业累计折旧,电力、热力生产和供应业规模以上工业企业累计折旧,燃气生产和供应业规模以上工业企业累计折旧,水的生产和供应业规模以上工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,284901.92,10896.82,19089.86,1346.91,1070.85,613.8,1200.2,2.07,7991.21,3391.9,3272.47,1626.66,6488.28,2760.87,1544.2,1922.14,949.93,3629.21,1774.25,1562.15,9327.26,20477.15,5645.29,2162.62,5302.61,12054.63,18508.11,7447.9,5256.25,7331.22,5919.84,12543.64,3491.34,9535.39,21245.71,1394.79,532.64,333.54,329.93,60307.45,1486.27,3134.58
2016,286223.98,11003.05,16890.71,1856.16,1055.89,834.83,1174.81,5.68,10101.27,3950.76,3405.01,1501.2,7273.49,3288.55,1698.59,2234.85,1085.45,3704.91,1732.49,1789.43,8886.42,21057.26,5079.22,2084.61,5911.56,12993.2,20482.08,7810.82,6415.97,7993.3,6505.13,11525.0,3938.26,11001.94,18209.26,1430.99,530.06,767.78,353.81,54619.67,1236.44,2804.06
2015,257455.69,10889.4,13965.91,2000.13,943.27,825.05,989.34,1.97,9669.6,3478.0,3076.09,1418.68,6782.31,2902.54,1498.3,2013.73,1031.37,3505.84,1582.17,1549.68,8234.76,19226.26,4554.69,1785.73,5681.39,11569.26,19750.83,7124.24,5541.97,7607.49,5977.63,9947.3,3256.39,9718.04,14493.18,1252.63,494.45,667.75,218.57,48597.48,1121.68,2510.59
2014,236308.74,10470.03,13890.75,1817.22,845.59,932.66,877.54,1.45,9349.57,2797.95,2685.99,1317.46,6164.18,2526.19,1344.51,1934.1,949.52,3345.92,1435.02,1341.02,7528.92,17679.96,4046.28,1508.22,5097.57,10490.59,19345.21,6536.14,5034.31,7128.85,5606.07,8584.81,2923.26,8507.32,14058.67,1204.81,418.37,509.13,191.49,42843.49,862.24,2176.32
2013,208700.07,9278.74,10875.72,1418.91,750.28,662.81,821.1,2.34,8920.1,2444.5,2311.67,1337.15,5563.38,2215.71,1152.91,1561.34,885.1,3051.91,1255.27,1082.26,6894.85,15766.29,3500.51,1411.71,4629.19,9016.54,18759.59,5659.05,4281.53,6173.22,4833.43,7543.82,2727.57,7879.33,12312.15,977.5,369.33,410.99,195.96,37044.96,723.96,1997.42
2012,177901.10842,7809.87815,9365.99537,1109.676,595.85413,560.81311,645.46698,7.62422,6509.1129,1943.2745,2068.48341,1101.70402,4762.88631,1777.05625,962.06823,1188.36291,579.70817,3093.68184,990.91045,880.38513,5771.90173,13217.3554,2674.47266,1234.55573,3755.37732,7870.2437,16696.47136,4799.08857,3628.47917,5049.67024,4059.95739,6272.77173,2543.53004,6616.60669,10447.5934,823.38574,321.78001,272.58171,201.46897,33240.13997,674.73703,1775.99778
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
