年份,规模以上工业企业管理费用,煤炭开采和洗选业规模以上工业企业管理费用,石油和天然气开采业规模以上工业企业管理费用,黑色金属矿采选业规模以上工业企业管理费用,有色金属矿采选业规模以上工业企业管理费用,非金属矿采选业规模以上工业企业管理费用,开采辅助活动规模以上工业企业管理费用,其他采矿业规模以上工业企业管理费用,农副食品加工业规模以上工业企业管理费用,食品制造业规模以上工业企业管理费用,酒、饮料和精制茶制造业规模以上工业企业管理费用,烟草制品业规模以上工业企业管理费用,纺织业规模以上工业企业管理费用,纺织服装、服饰业规模以上工业企业管理费用,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业管理费用,木材加工和木、竹、藤、棕、草制品业规模以上工业企业管理费用,家具制造业规模以上工业企业管理费用,造纸和纸制品业规模以上工业企业管理费用,印刷和记录媒介复制业规模以上工业企业管理费用,文教、工美、体育和娱乐用品制造业规模以上工业企业管理费用,石油加工、炼焦和核燃料加工业规模以上工业企业管理费用,化学原料和化学制品制造业规模以上工业企业管理费用,医药制造业规模以上工业企业管理费用,化学纤维制造业规模以上工业企业管理费用,橡胶和塑料制品业规模以上工业企业管理费用,非金属矿物制品业规模以上工业企业管理费用,黑色金属冶炼和压延加工业规模以上工业企业管理费用,有色金属冶炼和压延加工业规模以上工业企业管理费用,金属制品业规模以上工业企业管理费用,通用设备制造业规模以上工业企业管理费用,专用设备制造业规模以上工业企业管理费用,汽车制造业规模以上工业企业管理费用,铁路、船舶、航空航天和其他运输设备规模以上工业企业管理费用,电气机械和器材制造业规模以上工业企业管理费用,计算机、通信和其他电子设备制造业规模以上工业企业管理费用,仪器仪表制造业规模以上工业企业管理费用,其他制造业规模以上工业企业管理费用,废弃资源综合利用业规模以上工业企业管理费用,金属制品、机械和设备修理业规模以上工业企业管理费用,电力、热力生产和供应业规模以上工业企业管理费用,燃气生产和供应业规模以上工业企业管理费用,水的生产和供应业规模以上工业企业管理费用
2019,54801.71,1676.42,731.55,221.43,231.6,225.43,104.16,1.02,1360.05,987.68,798.32,499.69,1070.87,859.71,566.64,311.92,474.74,630.62,463.2,665.57,1040.15,3463,2309.58,334.52,1541.36,2700.6,1956.39,1311.08,1920.94,2999.54,2547.95,4825.95,1159.1,4023.66,7402.75,794.86,173.42,135.72,140.27,1523.34,303.38,313.51
2018,48152.5,1712.7,627.1,215.1,230.3,188.9,69.2,1.3,1182.2,823.2,734.9,498.2,919.5,833.5,498.8,287.0,399.6,559.4,386.8,578.7,972.1,3209.2,2047.8,260.4,1252.5,2096.4,1604.4,955.4,1502.9,2477.2,2078.9,4336.3,823.1,3593.4,5929.0,675.1,92.2,99.5,89.6,785.4,240.0,257.8
2017,46717.81,1733.59,700.98,213.62,237.03,207.05,68.42,1.99,1448.63,862.2,772.8,468.54,1026.43,879.18,520.63,365.66,408.98,548.66,405.14,616.89,922.68,3229.05,1868.75,267.78,1310.87,2206.03,1657.24,1003.4,1475.55,2504.91,2118.88,4197.91,1054.93,3528.87,5570.35,697.91,145.06,92.57,84.57,821.07,225.71,247.3
2016,45490.74,1573.91,704.24,229.39,273.2,252.19,80.7,2.17,1624.29,870.25,822.31,482.41,1053.88,937.41,541.12,420.61,376.84,521.85,401.02,601.44,866.06,3240.35,1775.31,241.22,1276.91,2227.76,1635.47,961.23,1489.8,2498.28,2016.29,3876.55,1061.29,3329.63,4932.56,642.59,137.2,83.6,91.23,896.37,209.15,232.67
2015,43125.3,1667.45,692.98,279.49,280.51,245.62,80.52,1.71,1513.49,819.41,765.92,497.8,1026.58,910.48,524.51,408.92,349.87,495.64,374.43,551.36,852.56,3067.57,1594.53,207.28,1201.77,2124.96,1663.4,912.06,1417.26,2434.38,1930.17,3396.48,1022.95,3076.89,4423.17,608.87,137.93,79.21,76.68,982.6,218.88,209.03
2014,41120.97,1976.12,790.67,345.4,283.31,225.23,81.01,2.07,1448.03,740.56,730.41,457.2,971.01,854.72,497.41,386.69,319.03,464.3,342.32,499.69,854.85,2894.99,1410.4,196.84,1119.39,2003.26,1741.21,915.8,1340.55,2349.75,1820.03,3154.95,969.3,2840.21,3807.76,563.56,129.02,76.45,62.84,1088.07,177.97,188.55
2013,39431.9,2245.17,826.25,378.69,300.33,215.57,99.03,1.9,1430.27,701.5,683.02,445.15,946.58,833.61,475.0,375.51,301.37,456.83,315.21,442.52,911.8,2751.11,1278.19,187.96,1069.63,1895.95,1836.27,899.88,1256.38,2221.25,1733.64,2780.8,934.41,2665.96,3334.62,501.95,121.9,76.06,76.27,1076.61,163.03,184.73
2012,35888.12005,2440.22254,746.80542,372.61756,281.51484,197.00043,99.94903,1.17878,1271.07214,607.64976,598.9077,431.61581,876.98297,766.25885,449.06704,336.55049,251.13293,431.30044,261.55318,353.10809,815.72671,2474.33609,1103.4771,164.55072,945.03166,1646.04583,1790.23924,926.03731,1106.03047,2002.0889,1538.24045,2334.61509,879.13246,2354.54534,3002.13755,453.42581,114.43336,58.38948,71.43352,1015.3393,151.03203,167.34363
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
