年份,规模以上工业企业实收资本,煤炭开采和洗选业规模以上工业企业实收资本,石油和天然气开采业规模以上工业企业实收资本,黑色金属矿采选业规模以上工业企业实收资本,有色金属矿采选业规模以上工业企业实收资本,非金属矿采选业规模以上工业企业实收资本,开采辅助活动规模以上工业企业实收资本,其他采矿业规模以上工业企业实收资本,农副食品加工业规模以上工业企业实收资本,食品制造业规模以上工业企业实收资本,酒、饮料和精制茶制造业规模以上工业企业实收资本,烟草制品业规模以上工业企业实收资本,纺织业规模以上工业企业实收资本,纺织服装、服饰业规模以上工业企业实收资本,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业实收资本,木材加工和木、竹、藤、棕、草制品业规模以上工业企业实收资本,家具制造业规模以上工业企业实收资本,造纸和纸制品业规模以上工业企业实收资本,印刷和记录媒介复制业规模以上工业企业实收资本,文教、工美、体育和娱乐用品制造业规模以上工业企业实收资本,石油加工、炼焦和核燃料加工业规模以上工业企业实收资本,化学原料和化学制品制造业规模以上工业企业实收资本,医药制造业规模以上工业企业实收资本,化学纤维制造业规模以上工业企业实收资本,橡胶和塑料制品业规模以上工业企业实收资本,非金属矿物制品业规模以上工业企业实收资本,黑色金属冶炼和压延加工业规模以上工业企业实收资本,有色金属冶炼和压延加工业规模以上工业企业实收资本,金属制品业规模以上工业企业实收资本,通用设备制造业规模以上工业企业实收资本,专用设备制造业规模以上工业企业实收资本,汽车制造业规模以上工业企业实收资本,铁路、船舶、航空航天和其他运输设备规模以上工业企业实收资本,电气机械和器材制造业规模以上工业企业实收资本,计算机、通信和其他电子设备制造业规模以上工业企业实收资本,仪器仪表制造业规模以上工业企业实收资本,其他制造业规模以上工业企业实收资本,废弃资源综合利用业规模以上工业企业实收资本,金属制品、机械和设备修理业规模以上工业企业实收资本,电力、热力生产和供应业规模以上工业企业实收资本,燃气生产和供应业规模以上工业企业实收资本,水的生产和供应业规模以上工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,251175.32,6449.14,6481.92,1394.54,1107.06,764.6,1243.93,5.38,6526.73,3579.06,3215.73,1136.41,4525.35,2824.06,1412.09,1636.93,1328.44,3719.5,1436.15,1854.43,5970.95,17734.79,5428.86,1588.66,5811.62,12425.08,11574.83,6938.08,6441.86,9505.55,7635.23,11233.33,4196.04,13716.1,17499.62,1889.31,586.03,525.15,457.48,53099.65,3061.4,3214.28
2016,239844.82,6232.97,6715.72,1586.41,1074.39,886.34,1462.51,7.09,6972.97,3562.27,3597.27,1142.38,5013.52,2684.73,1483.81,1522.64,1396.68,3517.85,1411.13,1929.7,5644.37,17813.01,11274.47,1520.09,5933.65,11743.63,10934.85,7743.5,8631.93,8607.34,8018.28,11714.09,4010.26,13505.98,15649.27,1673.82,446.39,544.23,430.0,35954.23,3027.21,2823.82
2015,213182.37,7182.22,6110.79,1663.76,1028.03,867.61,1188.76,4.25,6729.09,3321.26,3413.53,1169.9,4855.45,2667.7,1422.93,1465.96,1181.17,3416.88,1427.34,1692.4,5406.0,16667.15,5865.54,1347.32,5476.12,11516.97,11013.0,7152.34,6609.81,8139.94,6958.04,9220.51,3821.89,12241.59,13990.3,1525.43,453.1,398.58,336.31,29580.45,2060.91,2592.06
2014,188294.97,6283.74,6462.23,1944.05,1022.97,711.0,1107.95,3.64,5982.5,2921.04,2911.06,1020.01,4980.46,2580.52,1416.01,1474.24,1083.91,3351.32,1251.05,1838.17,5890.3,14692.16,4969.79,1309.32,4695.25,10815.68,10024.3,5863.16,5217.61,8042.31,6976.14,8449.6,3528.02,11318.97,12345.35,1408.37,467.31,353.49,282.97,19547.0,1710.61,2041.38
2013,173673.36,6085.69,7102.05,1708.51,972.57,677.06,1237.61,6.43,6700.6,2581.5,3024.67,973.26,4630.77,2370.62,1852.26,1268.31,1096.08,3132.42,1139.07,1348.79,5347.36,13598.64,3859.54,1256.77,4904.21,9082.82,9605.75,5298.62,4663.15,6967.16,6016.23,7620.44,3408.99,9701.79,11321.78,1293.24,413.76,310.45,280.05,17756.63,1180.09,1877.61
2012,161029.57007,5680.47462,5293.88225,1602.22496,903.14134,569.35272,1034.69647,3.23753,4416.26228,2291.89524,2272.88515,955.33146,4239.42853,2122.01801,1234.46882,1112.70849,886.93946,3025.64027,950.4055,1101.31285,4958.70179,11909.33623,3155.26156,1083.15402,11513.01555,8261.64547,8807.02402,4588.16539,4106.34616,6180.9785,5171.57977,6870.52402,3134.55322,8545.42028,11486.61335,1192.54011,369.56529,241.63403,259.13955,16834.72193,979.44296,1683.90092
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
