年份,规模以上工业企业营业利润,煤炭开采和洗选业规模以上工业企业营业利润,石油和天然气开采业规模以上工业企业营业利润,黑色金属矿采选业规模以上工业企业营业利润,有色金属矿采选业规模以上工业企业营业利润,非金属矿采选业规模以上工业企业营业利润,开采辅助活动规模以上工业企业营业利润,其他采矿业规模以上工业企业营业利润,农副食品加工业规模以上工业企业营业利润,食品制造业规模以上工业企业营业利润,酒、饮料和精制茶制造业规模以上工业企业营业利润,烟草制品业规模以上工业企业营业利润,纺织业规模以上工业企业营业利润,纺织服装、服饰业规模以上工业企业营业利润,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业营业利润,木材加工和木、竹、藤、棕、草制品业规模以上工业企业营业利润,家具制造业规模以上工业企业营业利润,造纸和纸制品业规模以上工业企业营业利润,印刷和记录媒介复制业规模以上工业企业营业利润,文教、工美、体育和娱乐用品制造业规模以上工业企业营业利润,石油加工、炼焦和核燃料加工业规模以上工业企业营业利润,化学原料和化学制品制造业规模以上工业企业营业利润,医药制造业规模以上工业企业营业利润,化学纤维制造业规模以上工业企业营业利润,橡胶和塑料制品业规模以上工业企业营业利润,非金属矿物制品业规模以上工业企业营业利润,黑色金属冶炼和压延加工业规模以上工业企业营业利润,有色金属冶炼和压延加工业规模以上工业企业营业利润,金属制品业规模以上工业企业营业利润,通用设备制造业规模以上工业企业营业利润,专用设备制造业规模以上工业企业营业利润,汽车制造业规模以上工业企业营业利润,铁路、船舶、航空航天和其他运输设备规模以上工业企业营业利润,电气机械和器材制造业规模以上工业企业营业利润,计算机、通信和其他电子设备制造业规模以上工业企业营业利润,仪器仪表制造业规模以上工业企业营业利润,其他制造业规模以上工业企业营业利润,废弃资源综合利用业规模以上工业企业营业利润,金属制品、机械和设备修理业规模以上工业企业营业利润,电力、热力生产和供应业规模以上工业企业营业利润,燃气生产和供应业规模以上工业企业营业利润,水的生产和供应业规模以上工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,73252.33,2987.21,338.31,217.1,534.08,328.18,-103.19,1.34,3113.29,1791.07,1973.57,976.57,1856.36,1203.16,930.85,741.37,561.37,953.95,528.4,891.39,2262.54,5664.89,3251.8,420.62,1744.6,4305.33,3550.26,2179.22,1969.8,3008.89,2388.42,6639.08,897.19,4487.35,5448.95,835.7,153.9,202.0,48.5,3217.26,547.01,204.63
2016,69612.16,1092.39,-561.89,441.59,467.1,408.37,-98.51,1.57,3649.92,2035.71,1888.87,1046.54,2231.98,1410.89,1011.9,895.85,565.93,804.47,564.28,1023.29,1881.39,5049.83,3021.61,374.83,2054.47,4159.31,1795.6,2146.94,2370.68,3091.74,2156.32,6486.55,1109.28,5030.59,4497.49,767.13,167.05,193.1,14.41,3776.63,467.08,119.87
2015,63925.89,327.03,656.59,522.31,460.74,429.04,13.45,1.76,3469.13,1843.67,1782.0,1212.74,2194.04,1345.67,1008.08,869.28,510.47,752.25,564.95,932.84,753.02,4529.21,2653.09,287.82,1938.87,3682.09,588.56,1576.68,2213.14,3076.53,2061.32,5810.26,1048.84,4433.36,4143.94,704.76,172.88,194.16,43.24,4534.93,471.61,111.51
2014,67254.92,1395.01,3117.56,866.27,592.06,422.35,15.63,1.58,3377.16,1716.24,1670.03,1238.02,2161.38,1330.76,978.24,875.99,471.15,709.19,539.57,855.82,97.9,4349.75,2328.02,279.68,1888.99,4035.09,1882.11,1916.77,2159.03,3122.56,2193.42,6016.95,1032.73,4134.27,3976.63,686.85,147.36,188.22,33.55,3953.07,397.47,100.46
2013,68355.21,2748.63,3671.2,1172.31,670.69,438.54,-36.61,1.77,3593.71,1635.64,1714.19,1230.09,2150.21,1272.2,912.16,876.39,433.86,777.29,483.55,760.98,677.59,4502.22,2091.58,261.74,1913.37,3972.5,2184.06,1974.04,2194.07,3077.23,2301.51,5144.13,888.1,3869.06,3650.13,634.93,149.52,178.73,46.31,3701.74,362.49,73.35
2012,62100.65372,3815.15457,4051.41966,1189.20775,804.14352,403.62357,5.72719,2.52989,3365.67995,1424.91386,1616.15903,1077.41577,1896.23932,1147.78381,837.89288,764.60825,388.45562,762.10519,390.65557,607.62893,354.22806,4174.83215,1841.51485,238.54677,1579.22658,3419.78509,1806.87212,1959.39077,1986.05763,2762.43858,2112.12581,4200.15488,872.59086,3445.22135,3108.89259,557.16122,124.1602,189.21758,44.07858,2442.25344,299.74468,30.8156
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
