年份,规模以上工业企业资产总计,煤炭开采和洗选业规模以上工业企业资产总计,石油和天然气开采业规模以上工业企业资产总计,黑色金属矿采选业规模以上工业企业资产总计,有色金属矿采选业规模以上工业企业资产总计,非金属矿采选业规模以上工业企业资产总计,开采辅助活动规模以上工业企业资产总计,其他采矿业规模以上工业企业资产总计,农副食品加工业规模以上工业企业资产总计,食品制造业规模以上工业企业资产总计,酒、饮料和精制茶制造业规模以上工业企业资产总计,烟草制品业规模以上工业企业资产总计,纺织业规模以上工业企业资产总计,纺织服装、服饰业规模以上工业企业资产总计,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业资产总计,木材加工和木、竹、藤、棕、草制品业规模以上工业企业资产总计,家具制造业规模以上工业企业资产总计,造纸和纸制品业规模以上工业企业资产总计,印刷和记录媒介复制业规模以上工业企业资产总计,文教、工美、体育和娱乐用品制造业规模以上工业企业资产总计,石油加工、炼焦和核燃料加工业规模以上工业企业资产总计,化学原料和化学制品制造业规模以上工业企业资产总计,医药制造业规模以上工业企业资产总计,化学纤维制造业规模以上工业企业资产总计,橡胶和塑料制品业规模以上工业企业资产总计,非金属矿物制品业规模以上工业企业资产总计,黑色金属冶炼和压延加工业规模以上工业企业资产总计,有色金属冶炼和压延加工业规模以上工业企业资产总计,金属制品业规模以上工业企业资产总计,通用设备制造业规模以上工业企业资产总计,专用设备制造业规模以上工业企业资产总计,汽车制造业规模以上工业企业资产总计,铁路、船舶、航空航天和其他运输设备规模以上工业企业资产总计,电气机械和器材制造业规模以上工业企业资产总计,计算机、通信和其他电子设备制造业规模以上工业企业资产总计,仪器仪表制造业规模以上工业企业资产总计,其他制造业规模以上工业企业资产总计,废弃资源综合利用业规模以上工业企业资产总计,金属制品、机械和设备修理业规模以上工业企业资产总计,电力、热力生产和供应业规模以上工业企业资产总计,燃气生产和供应业规模以上工业企业资产总计,水的生产和供应业规模以上工业企业资产总计
2019,1205868.92,52651.43,22568.39,9375,5694.61,4160.22,3003.55,16.08,29773.11,16508.68,17931.99,10378.43,19927.11,11627.88,6717.37,4996.72,5931.85,14935.11,5906.87,8661.14,35059.43,73164.37,33981.45,8547.75,22962.14,54672.5,65730.74,42263.3,29960.13,45010.69,41350.41,80788.33,23740.33,69800.23,112957.94,10225.17,2491.31,3156.84,2182.27,166619.08,12422.94,18016.07
2018,1153251.18,55089.0,19348.3,9922.6,5785.4,3346.9,2552.2,21.2,30808.6,15641.9,17688.7,10881.1,21819.8,12515.9,6511.3,5403.9,5624.1,14715.2,5752.4,8689.6,31488.4,74928.7,32913.1,7769.5,22027.6,48469.5,61103.8,40306.4,27657.0,42169.5,39752.7,79176.2,16398.5,68960.7,101613.2,9833.0,1411.7,2470.4,1841.6,147498.8,10305.5,14168.6
2017,1121909.57,53417.86,19086.89,8981.85,6110.93,3504.81,2553.6,25.46,32310.57,15510.33,17053.27,10520.73,22912.49,12823.52,6978.99,6059.18,5737.45,14636.83,5890.54,8826.02,28254.8,76461.87,30779.92,7473.53,23430.04,51694.49,64252.12,40798.54,26898.52,42431.84,39826.82,76132.87,23233.84,66878.24,88837.09,9846.22,2536.19,2382.06,1734.0,142450.44,9551.58,13083.22
2016,1085865.94,53371.26,19995.66,9674.29,5884.61,3995.55,2825.78,22.03,33924.5,15496.83,16761.53,10210.17,24522.83,13748.08,7396.26,6498.02,5552.82,14117.32,5941.04,8932.02,26508.18,76073.78,28789.11,7148.68,22633.58,50865.83,63537.39,40157.03,26725.62,43335.59,36841.47,68536.75,23662.54,63139.09,79055.49,8832.94,2341.14,2119.25,2198.0,134531.39,8287.77,11674.71
2015,1023398.12,53788.47,20570.46,10558.32,5829.68,4110.94,2760.84,13.84,32888.25,14677.48,15599.8,9190.25,24304.04,13043.73,7323.85,6416.39,5012.7,14024.04,5529.08,8361.22,24795.95,72573.12,25071.09,6695.12,21550.62,49076.71,64748.32,37996.29,25889.81,41842.85,35455.17,59940.81,22416.91,57153.76,67231.29,8024.43,2404.2,1980.71,1303.91,124622.83,7928.92,10691.94
2014,956777.2,52319.4,20266.99,10216.54,5313.01,3716.12,2662.36,13.21,31259.61,13138.79,14249.9,8484.66,23908.39,12282.08,7013.9,6000.77,4651.08,13413.75,5133.43,7681.91,24664.0,68462.38,21739.42,6455.37,20287.9,46575.62,65248.18,36187.3,26013.06,39798.84,33724.19,52743.12,21112.58,52333.16,59973.73,7309.82,2227.75,1917.57,1096.17,112056.76,6407.26,8717.14
2013,870751.07,49059.47,18971.94,9382.6,4727.51,3167.3,2821.94,14.71,27717.15,11609.77,13119.56,7979.59,22350.05,11181.59,6852.86,5246.37,4176.54,12847.48,4606.26,6410.78,23169.7,61317.66,18450.01,6205.37,18641.13,41451.58,64725.45,32337.92,22235.49,36067.21,30704.89,46873.54,20091.2,47487.7,52287.18,6482.51,2095.31,1702.83,1184.1,102468.39,5008.06,7520.36
2012,768421.2,44807.04076,17592.62773,8173.79676,4158.90516,2623.14875,2543.02142,13.26072,23454.1249,10009.6781,11176.83666,7084.34049,20479.97803,9985.23633,5598.74181,4441.29904,3545.85847,11862.73423,3780.74203,5086.82209,20938.78071,53382.09333,15768.51355,5737.43852,16151.23659,35407.83755,58183.47571,28109.65695,19410.89804,31493.58965,26403.52235,40399.57862,18694.57045,42317.44436,46427.82021,5844.96992,1720.22775,1412.01654,1170.75127,92072.50541,4471.58725,6484.4876
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
