年份,规模以上工业企业利润总额,煤炭开采和洗选业规模以上工业企业利润总额,石油和天然气开采业规模以上工业企业利润总额,黑色金属矿采选业规模以上工业企业利润总额,有色金属矿采选业规模以上工业企业利润总额,非金属矿采选业规模以上工业企业利润总额,开采辅助活动规模以上工业企业利润总额,其他采矿业规模以上工业企业利润总额,农副食品加工业规模以上工业企业利润总额,食品制造业规模以上工业企业利润总额,酒、饮料和精制茶制造业规模以上工业企业利润总额,烟草制品业规模以上工业企业利润总额,纺织业规模以上工业企业利润总额,纺织服装、服饰业规模以上工业企业利润总额,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业利润总额,木材加工和木、竹、藤、棕、草制品业规模以上工业企业利润总额,家具制造业规模以上工业企业利润总额,造纸和纸制品业规模以上工业企业利润总额,印刷和记录媒介复制业规模以上工业企业利润总额,文教、工美、体育和娱乐用品制造业规模以上工业企业利润总额,石油加工、炼焦和核燃料加工业规模以上工业企业利润总额,化学原料和化学制品制造业规模以上工业企业利润总额,医药制造业规模以上工业企业利润总额,化学纤维制造业规模以上工业企业利润总额,橡胶和塑料制品业规模以上工业企业利润总额,非金属矿物制品业规模以上工业企业利润总额,黑色金属冶炼和压延加工业规模以上工业企业利润总额,有色金属冶炼和压延加工业规模以上工业企业利润总额,金属制品业规模以上工业企业利润总额,通用设备制造业规模以上工业企业利润总额,专用设备制造业规模以上工业企业利润总额,汽车制造业规模以上工业企业利润总额,铁路、船舶、航空航天和其他运输设备规模以上工业企业利润总额,电气机械和器材制造业规模以上工业企业利润总额,计算机、通信和其他电子设备制造业规模以上工业企业利润总额,仪器仪表制造业规模以上工业企业利润总额,其他制造业规模以上工业企业利润总额,废弃资源综合利用业规模以上工业企业利润总额,金属制品、机械和设备修理业规模以上工业企业利润总额,电力、热力生产和供应业规模以上工业企业利润总额,燃气生产和供应业规模以上工业企业利润总额,水的生产和供应业规模以上工业企业利润总额
2019,65799.04,2837.49,1630.34,235.19,320.56,344.52,10.93,0.81,2051.99,1789.06,2286.72,933.14,1132.47,877.59,800.72,427.12,488.42,732.28,469.03,760.23,1255.59,3797.48,3184.24,362.62,1421.87,4887.78,2852.43,1580.98,1785.97,2649.04,2323.73,5099.89,791.7,3943.44,5373.63,754.76,146.5,270.28,83.77,4096.27,669.17,339.28
2018,71608.91,2888.2,1627.5,72.6,419.8,268.9,-31.5,0.8,2124.4,1552.2,2094.3,923.5,1265.3,1006.8,721.0,475.3,425.9,766.4,425.6,710.9,2270.8,5146.2,3094.2,393.9,1248.6,4287.8,4029.3,1397.1,1590.2,2526.9,2035.1,6091.3,673.0,3758.0,4781.0,780.5,90.2,217.2,61.5,3266.7,591.3,282.6
2017,74916.25,2952.69,326.41,159.92,533.21,330.07,-93.73,1.34,3101.24,1840.69,2006.92,971.45,1913.95,1213.41,910.31,758.87,568.55,1016.39,542.23,905.81,2205.28,5840.59,3324.81,436.56,1798.06,4383.09,3442.9,2011.46,1983.66,3121.86,2481.57,6890.92,948.76,4657.49,5741.66,887.4,174.76,227.21,60.57,3469.87,577.78,290.27
2016,71921.43,1159.53,-567.05,410.91,458.75,405.7,-67.84,1.55,3623.58,2083.43,1908.52,1038.05,2285.63,1428.29,988.07,905.18,574.39,866.87,575.22,1018.76,1884.97,5180.3,3114.99,388.75,2080.81,4243.65,1773.76,1991.69,2392.88,3178.66,2280.04,6853.77,1175.7,5150.27,5070.17,820.7,176.33,213.18,14.22,4126.41,504.39,208.26
2015,66187.07,405.07,692.37,519.26,450.82,422.24,49.99,1.45,3423.92,1876.57,1799.65,1199.6,2224.26,1363.03,980.8,874.09,512.64,792.82,577.97,927.82,732.49,4669.98,2717.35,306.79,1962.38,3789.36,589.94,1459.53,2239.34,3142.93,2186.65,6243.25,1106.68,4524.31,4563.74,743.75,183.95,210.86,48.24,4976.28,507.21,187.69
2014,68154.89,1424.34,3114.29,851.14,582.46,413.42,52.42,1.49,3263.56,1744.68,1670.75,1221.09,2167.98,1335.86,949.57,875.08,467.03,726.99,550.58,845.51,78.08,4450.25,2382.47,292.57,1889.19,4130.53,1832.91,1656.54,2160.81,3149.34,2261.53,6158.42,1079.27,4162.98,4282.57,720.76,156.27,198.71,36.61,4235.81,429.82,151.22
2013,68378.91,2680.19,3644.28,1136.64,666.3,425.78,-0.11,1.44,3473.53,1646.98,1716.9,1222.61,2155.63,1272.73,890.04,868.48,431.97,775.94,487.14,744.12,636.16,4522.41,2132.71,274.24,1900.58,4040.14,2060.63,1789.98,2096.4,3071.03,2333.98,5230.37,928.23,3822.89,3826.33,663.37,154.95,180.77,49.37,3943.88,375.75,104.13
2012,61910.06,3808.09876,4048.9416,1132.73829,787.2394,384.75067,37.51298,2.53225,3202.68072,1423.09855,1602.36495,1071.48561,1894.25232,1143.69213,822.04615,740.14796,387.05291,774.20862,397.84813,592.65363,300.13519,4121.60888,1865.89421,271.14658,1568.74127,3438.2381,1698.43877,1759.89128,1843.78674,2735.49114,2144.44445,4321.20442,924.00234,3419.71757,3194.18084,575.54393,128.56831,162.65704,45.2392,2745.77885,319.44868,72.5544
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
