年份,规模以上工业企业固定资产合计,煤炭开采和洗选业规模以上工业企业固定资产合计,石油和天然气开采业规模以上工业企业固定资产合计,黑色金属矿采选业规模以上工业企业固定资产合计,有色金属矿采选业规模以上工业企业固定资产合计,非金属矿采选业规模以上工业企业固定资产合计,开采辅助活动规模以上工业企业固定资产合计,其他采矿业规模以上工业企业固定资产合计,农副食品加工业规模以上工业企业固定资产合计,食品制造业规模以上工业企业固定资产合计,酒、饮料和精制茶制造业规模以上工业企业固定资产合计,烟草制品业规模以上工业企业固定资产合计,纺织业规模以上工业企业固定资产合计,纺织服装、服饰业规模以上工业企业固定资产合计,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业固定资产合计,木材加工和木、竹、藤、棕、草制品业规模以上工业企业固定资产合计,家具制造业规模以上工业企业固定资产合计,造纸和纸制品业规模以上工业企业固定资产合计,印刷和记录媒介复制业规模以上工业企业固定资产合计,文教、工美、体育和娱乐用品制造业规模以上工业企业固定资产合计,石油加工、炼焦和核燃料加工业规模以上工业企业固定资产合计,化学原料和化学制品制造业规模以上工业企业固定资产合计,医药制造业规模以上工业企业固定资产合计,化学纤维制造业规模以上工业企业固定资产合计,橡胶和塑料制品业规模以上工业企业固定资产合计,非金属矿物制品业规模以上工业企业固定资产合计,黑色金属冶炼和压延加工业规模以上工业企业固定资产合计,有色金属冶炼和压延加工业规模以上工业企业固定资产合计,金属制品业规模以上工业企业固定资产合计,通用设备制造业规模以上工业企业固定资产合计,专用设备制造业规模以上工业企业固定资产合计,汽车制造业规模以上工业企业固定资产合计,铁路、船舶、航空航天和其他运输设备规模以上工业企业固定资产合计,电气机械和器材制造业规模以上工业企业固定资产合计,计算机、通信和其他电子设备制造业规模以上工业企业固定资产合计,仪器仪表制造业规模以上工业企业固定资产合计,其他制造业规模以上工业企业固定资产合计,废弃资源综合利用业规模以上工业企业固定资产合计,金属制品、机械和设备修理业规模以上工业企业固定资产合计,电力、热力生产和供应业规模以上工业企业固定资产合计,燃气生产和供应业规模以上工业企业固定资产合计,水的生产和供应业规模以上工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,367405.3,16810.08,13479.35,2489.3,2324.01,1115.8,952.67,10.6,10339.72,5075.53,4970.21,1436.23,7830.64,3388.12,1806.69,2261.89,1586.01,5209.97,1895.69,2297.61,9944.84,28850.59,7480.52,2542.73,7185.42,18336.44,23462.83,12513.64,7585.64,9619.26,8411.02,16597.95,4822.59,12137.42,16251.04,1721.58,660.73,682.04,405.7,83812.37,3976.06,5124.79
2016,390279.36,18925.61,15048.87,2895.26,2285.72,1421.86,1058.47,10.27,11859.17,5438.31,5426.99,1488.62,8976.09,3954.59,2068.29,2595.41,1738.38,5524.7,2059.44,2517.07,11384.61,30802.67,7853.02,2550.38,7664.85,20178.87,26111.48,13412.95,8267.85,10922.95,9292.37,16277.29,6084.33,12836.58,16202.4,1802.56,698.57,659.1,522.57,83021.37,3512.59,4926.86
2015,377568.47,20122.63,15390.2,3209.91,2212.02,1449.39,1051.65,7.45,11628.63,5254.77,5166.47,1473.78,8647.39,3803.4,2002.75,2587.56,1611.94,5458.16,1929.2,2227.6,10212.31,30385.29,7203.5,2367.73,7512.87,19795.86,26641.59,13162.28,8212.38,10808.14,9174.39,14976.46,5248.15,12149.66,14189.76,1749.67,713.6,603.11,376.53,78910.79,3420.15,4519.34
2014,355788.06,19681.14,15037.21,3105.19,2106.7,1333.62,984.1,6.32,10998.92,4620.13,4690.82,1288.01,8575.47,3463.44,1913.4,2456.6,1471.35,5323.95,1806.2,1979.47,9955.32,27819.69,6280.29,2254.59,7082.27,18498.36,26004.52,12486.78,9228.89,10243.68,8700.11,13434.26,5248.5,11464.57,13689.97,1631.22,689.42,469.81,332.57,72624.9,2837.01,3969.27
2013,316231.1,18107.7,11702.55,2834.22,1790.45,1164.97,1055.0,9.2,9452.21,4039.02,4199.19,1236.24,7934.12,3105.79,1757.38,2099.71,1271.4,5133.92,1575.13,1649.44,8927.19,24558.44,5370.51,2122.89,6482.12,16778.62,24965.19,10906.05,7011.32,9201.48,7612.51,11204.92,4978.47,10627.1,12836.46,1446.05,624.62,385.02,378.26,63792.39,2138.81,3765.01
2012,283950.90571,16056.9011,11527.25539,2421.61763,1584.75918,985.41929,983.24831,6.69951,7947.0636,3487.40058,3600.17119,1186.83938,7438.29526,2743.51228,1487.67381,1810.53784,1098.09542,4765.71159,1306.45706,1323.24773,8899.12644,21159.12971,4451.43974,2002.88608,5536.38714,14727.75215,23124.78723,9509.95932,6101.7826,8056.12296,6430.13955,9891.16634,4686.64832,9516.42237,11456.67618,1275.74707,523.97923,342.61895,364.65222,58753.86965,1999.37709,3379.32922
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
