年份,规模以上工业企业主营业务收入,煤炭开采和洗选业规模以上工业企业主营业务收入,石油和天然气开采业规模以上工业企业主营业务收入,黑色金属矿采选业规模以上工业企业主营业务收入,有色金属矿采选业规模以上工业企业主营业务收入,非金属矿采选业规模以上工业企业主营业务收入,开采辅助活动规模以上工业企业主营业务收入,其他采矿业规模以上工业企业主营业务收入,农副食品加工业规模以上工业企业主营业务收入,食品制造业规模以上工业企业主营业务收入,酒、饮料和精制茶制造业规模以上工业企业主营业务收入,烟草制品业规模以上工业企业主营业务收入,纺织业规模以上工业企业主营业务收入,纺织服装、服饰业规模以上工业企业主营业务收入,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业主营业务收入,木材加工和木、竹、藤、棕、草制品业规模以上工业企业主营业务收入,家具制造业规模以上工业企业主营业务收入,造纸和纸制品业规模以上工业企业主营业务收入,印刷和记录媒介复制业规模以上工业企业主营业务收入,文教、工美、体育和娱乐用品制造业规模以上工业企业主营业务收入,石油加工、炼焦和核燃料加工业规模以上工业企业主营业务收入,化学原料和化学制品制造业规模以上工业企业主营业务收入,医药制造业规模以上工业企业主营业务收入,化学纤维制造业规模以上工业企业主营业务收入,橡胶和塑料制品业规模以上工业企业主营业务收入,非金属矿物制品业规模以上工业企业主营业务收入,黑色金属冶炼和压延加工业规模以上工业企业主营业务收入,有色金属冶炼和压延加工业规模以上工业企业主营业务收入,金属制品业规模以上工业企业主营业务收入,通用设备制造业规模以上工业企业主营业务收入,专用设备制造业规模以上工业企业主营业务收入,汽车制造业规模以上工业企业主营业务收入,铁路、船舶、航空航天和其他运输设备规模以上工业企业主营业务收入,电气机械和器材制造业规模以上工业企业主营业务收入,计算机、通信和其他电子设备制造业规模以上工业企业主营业务收入,仪器仪表制造业规模以上工业企业主营业务收入,其他制造业规模以上工业企业主营业务收入,废弃资源综合利用业规模以上工业企业主营业务收入,金属制品、机械和设备修理业规模以上工业企业主营业务收入,电力、热力生产和供应业规模以上工业企业主营业务收入,燃气生产和供应业规模以上工业企业主营业务收入,水的生产和供应业规模以上工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1057327.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1133160.76,24870.64,7560.07,4064.44,5104.15,4239.89,1566.71,37.53,59894.39,22140.85,17096.2,8890.91,36114.43,20892.12,14105.61,12947.89,8787.88,14840.51,7857.66,15931.04,40331.5,81889.06,27116.57,7916.55,30526.72,59194.51,64571.78,54091.07,35952.04,45611.05,35835.21,84637.11,16921.12,71683.44,106221.7,9999.5,2623.22,3898.18,1077.67,57414.41,6305.84,2399.56
2016,1158998.52,22328.52,6469.96,6085.83,6174.77,5435.47,1552.68,30.34,68825.16,23955.38,18538.03,8686.38,40844.21,23741.36,15163.04,14791.33,8779.64,14622.82,8057.87,16993.12,34532.38,87293.98,28206.11,7782.48,32456.55,62002.04,61986.59,53393.18,39917.07,48200.4,37414.51,81347.16,19324.92,73642.26,99629.48,9536.29,2792.5,4070.82,1183.92,55006.77,6061.34,2141.88
2015,1109852.97,23770.31,7908.52,7207.49,6234.91,5414.6,1739.96,24.58,65378.24,21957.58,17373.35,9340.79,39986.96,22232.83,14659.82,13907.42,7880.67,13942.34,7401.81,15879.78,34604.49,83564.54,25729.53,7206.21,31015.89,58877.11,63001.33,51367.23,37257.26,47039.64,35873.75,71069.4,19087.69,69183.18,91606.58,8741.75,2771.98,3770.88,963.78,56625.81,6343.74,1909.23
2014,1107032.52,30321.97,11425.21,9340.81,6296.76,5287.58,2099.53,24.54,63665.12,20399.89,16369.97,8962.65,38294.75,21054.4,13896.08,13246.85,7273.41,13535.18,6765.3,14939.35,41094.41,83104.14,23350.33,7158.81,29919.12,57436.7,74332.77,51312.09,36396.44,47016.78,34826.39,67818.48,18158.64,66977.77,85486.3,8347.58,2579.38,3668.55,842.33,57065.54,5227.09,1713.53
2013,1038659.45,32949.89,11590.08,9851.79,6195.79,4915.45,2038.53,22.07,60117.42,18546.36,15327.37,8308.08,36076.62,19454.61,12643.39,12004.82,6641.74,12891.85,6014.77,12935.36,40980.89,76645.34,20484.22,7055.2,27848.79,51967.15,76096.64,47192.14,33228.95,43575.01,32714.72,59692.6,16362.54,61553.59,78817.8,7567.75,2345.15,3443.83,918.01,56080.66,4059.32,1503.17
2012,929291.51,34049.98174,11665.26998,8758.39651,5652.83476,4211.81266,1868.86829,21.20798,52145.57749,15834.33191,13549.14297,7571.51649,32241.14324,17285.88915,11268.72118,10274.87915,5669.89245,12501.49133,4535.42781,10277.37729,39399.01353,67756.23069,17337.6744,6744.15319,24156.8618,43989.02869,71559.18269,41267.2369,29069.7456,38043.25141,28711.38713,51235.57685,15748.38294,54522.61308,70430.06714,6656.47805,2073.60506,2920.54502,885.85823,52732.5225,3358.54724,1309.78444
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
