年份,规模以上工业企业法人资本金,煤炭开采和洗选业规模以上工业企业法人资本金,石油和天然气开采业规模以上工业企业法人资本金,黑色金属矿采选业规模以上工业企业法人资本金,有色金属矿采选业规模以上工业企业法人资本金,非金属矿采选业规模以上工业企业法人资本金,开采辅助活动规模以上工业企业法人资本金,其他采矿业规模以上工业企业法人资本金,农副食品加工业规模以上工业企业法人资本金,食品制造业规模以上工业企业法人资本金,酒、饮料和精制茶制造业规模以上工业企业法人资本金,烟草制品业规模以上工业企业法人资本金,纺织业规模以上工业企业法人资本金,纺织服装、服饰业规模以上工业企业法人资本金,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业法人资本金,木材加工和木、竹、藤、棕、草制品业规模以上工业企业法人资本金,家具制造业规模以上工业企业法人资本金,造纸和纸制品业规模以上工业企业法人资本金,印刷和记录媒介复制业规模以上工业企业法人资本金,文教、工美、体育和娱乐用品制造业规模以上工业企业法人资本金,石油加工、炼焦和核燃料加工业规模以上工业企业法人资本金,化学原料和化学制品制造业规模以上工业企业法人资本金,医药制造业规模以上工业企业法人资本金,化学纤维制造业规模以上工业企业法人资本金,橡胶和塑料制品业规模以上工业企业法人资本金,非金属矿物制品业规模以上工业企业法人资本金,黑色金属冶炼和压延加工业规模以上工业企业法人资本金,有色金属冶炼和压延加工业规模以上工业企业法人资本金,金属制品业规模以上工业企业法人资本金,通用设备制造业规模以上工业企业法人资本金,专用设备制造业规模以上工业企业法人资本金,汽车制造业规模以上工业企业法人资本金,铁路、船舶、航空航天和其他运输设备规模以上工业企业法人资本金,电气机械和器材制造业规模以上工业企业法人资本金,计算机、通信和其他电子设备制造业规模以上工业企业法人资本金,仪器仪表制造业规模以上工业企业法人资本金,其他制造业规模以上工业企业法人资本金,废弃资源综合利用业规模以上工业企业法人资本金,金属制品、机械和设备修理业规模以上工业企业法人资本金,电力、热力生产和供应业规模以上工业企业法人资本金,燃气生产和供应业规模以上工业企业法人资本金,水的生产和供应业规模以上工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,82115.33,2330.69,2117.42,349.6,437.94,305.26,607.15,2.65,2784.65,1419.94,1125.24,451.65,1495.4,1218.37,450.35,486.28,407.01,1459.14,530.1,623.34,2115.39,6849.16,2547.68,657.18,2132.68,4912.61,4920.83,2736.85,2226.48,3281.1,2791.42,4589.48,1236.87,5217.57,7104.72,616.78,131.31,161.14,145.59,7600.14,673.6,864.58
2016,81531.3,2206.14,2129.77,430.05,408.54,339.66,621.28,0.61,2587.34,1402.25,1598.69,459.76,1622.89,959.06,455.66,497.85,410.29,1179.62,493.76,652.54,2003.54,6904.88,2317.69,620.08,2342.73,4716.77,4796.9,2560.86,3297.89,3128.29,2845.61,4099.8,1103.53,5058.32,5627.05,529.94,119.29,228.91,118.05,8632.66,929.06,1093.73
2015,73321.76,2437.56,1967.67,416.56,385.34,316.94,294.79,0.79,2572.7,1299.87,1478.1,648.99,1584.05,933.43,421.54,493.07,353.45,1154.83,510.33,530.56,1791.64,6446.59,3156.86,530.26,1591.23,4592.78,4658.36,3502.54,1821.18,2702.6,2225.41,3606.22,1101.29,4411.48,4455.27,463.16,135.49,142.15,76.66,6433.36,777.68,898.96
2014,67101.55,2442.52,1732.92,593.81,384.41,277.62,484.76,1.05,2413.99,1156.24,1000.38,667.63,1582.74,866.01,374.35,497.04,314.05,1095.32,436.18,760.52,2311.04,5576.56,1654.1,462.59,1396.29,4073.31,4314.88,2533.34,1632.34,2719.07,2282.24,3330.96,1195.62,4776.19,3399.75,435.04,107.21,127.86,67.18,6330.95,821.38,472.11
2013,61044.7,2322.88,2389.78,593.36,406.26,225.76,665.74,0.19,1899.28,982.67,959.46,594.36,1355.82,779.39,330.03,470.83,318.54,852.89,415.96,363.34,1964.81,5198.91,1648.99,416.92,1905.63,3580.66,4327.57,2156.4,1480.31,2270.75,2169.44,2955.95,1348.41,3278.9,3071.38,407.4,147.07,119.52,63.36,5677.99,468.24,459.57
2012,58093.86932,2502.53457,1571.44631,545.09676,370.75572,219.50093,561.19832,0.59866,1686.54605,915.73169,856.85868,708.52525,1354.58708,672.9151,336.46419,415.88645,247.98895,847.48823,349.12052,287.35473,1998.22404,4887.45239,1327.34557,379.18764,1205.48886,3373.99964,3975.77914,1925.38388,1234.25558,2188.25288,2119.26902,2820.55121,1511.51302,3094.8663,2919.07914,347.67546,128.41922,92.38351,54.23714,7209.98066,446.91537,403.01146
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
