年份,规模以上工业企业港澳台资本金,煤炭开采和洗选业规模以上工业企业港澳台资本金,石油和天然气开采业规模以上工业企业港澳台资本金,黑色金属矿采选业规模以上工业企业港澳台资本金,有色金属矿采选业规模以上工业企业港澳台资本金,非金属矿采选业规模以上工业企业港澳台资本金,开采辅助活动规模以上工业企业港澳台资本金,其他采矿业规模以上工业企业港澳台资本金,农副食品加工业规模以上工业企业港澳台资本金,食品制造业规模以上工业企业港澳台资本金,酒、饮料和精制茶制造业规模以上工业企业港澳台资本金,烟草制品业规模以上工业企业港澳台资本金,纺织业规模以上工业企业港澳台资本金,纺织服装、服饰业规模以上工业企业港澳台资本金,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业港澳台资本金,木材加工和木、竹、藤、棕、草制品业规模以上工业企业港澳台资本金,家具制造业规模以上工业企业港澳台资本金,造纸和纸制品业规模以上工业企业港澳台资本金,印刷和记录媒介复制业规模以上工业企业港澳台资本金,文教、工美、体育和娱乐用品制造业规模以上工业企业港澳台资本金,石油加工、炼焦和核燃料加工业规模以上工业企业港澳台资本金,化学原料和化学制品制造业规模以上工业企业港澳台资本金,医药制造业规模以上工业企业港澳台资本金,化学纤维制造业规模以上工业企业港澳台资本金,橡胶和塑料制品业规模以上工业企业港澳台资本金,非金属矿物制品业规模以上工业企业港澳台资本金,黑色金属冶炼和压延加工业规模以上工业企业港澳台资本金,有色金属冶炼和压延加工业规模以上工业企业港澳台资本金,金属制品业规模以上工业企业港澳台资本金,通用设备制造业规模以上工业企业港澳台资本金,专用设备制造业规模以上工业企业港澳台资本金,汽车制造业规模以上工业企业港澳台资本金,铁路、船舶、航空航天和其他运输设备规模以上工业企业港澳台资本金,电气机械和器材制造业规模以上工业企业港澳台资本金,计算机、通信和其他电子设备制造业规模以上工业企业港澳台资本金,仪器仪表制造业规模以上工业企业港澳台资本金,其他制造业规模以上工业企业港澳台资本金,废弃资源综合利用业规模以上工业企业港澳台资本金,金属制品、机械和设备修理业规模以上工业企业港澳台资本金,电力、热力生产和供应业规模以上工业企业港澳台资本金,燃气生产和供应业规模以上工业企业港澳台资本金,水的生产和供应业规模以上工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,13230.44,10.29,0.0,8.01,15.26,15.4,10.75,0.0,232.83,353.31,253.58,0.14,586.21,409.74,226.18,64.24,113.15,431.43,148.36,281.64,151.16,1206.29,347.57,204.97,606.13,597.46,373.61,400.42,498.12,444.7,362.52,414.81,108.42,722.17,2452.75,141.45,49.07,32.57,21.74,652.57,180.68,100.74
2016,13252.84,21.14,1.03,3.29,12.19,9.87,12.49,,272.85,299.98,250.81,0.14,596.49,420.26,250.6,69.42,136.37,417.38,163.65,271.0,130.41,1322.96,362.52,211.12,550.32,608.78,334.57,401.2,517.49,432.88,373.86,423.61,82.98,762.91,2362.17,140.93,49.18,32.74,15.94,617.68,206.06,103.55
2015,13090.64,18.88,31.46,7.59,12.08,4.24,12.24,0.0,236.79,287.91,247.57,0.14,609.97,446.97,257.61,75.41,126.58,408.1,162.45,274.81,147.04,1243.32,299.34,237.24,525.7,599.2,270.94,420.79,525.23,438.7,373.0,411.53,82.31,786.37,2357.18,142.5,51.03,32.32,17.96,615.38,193.18,99.59
2014,12408.18,9.24,2.05,12.46,9.62,7.0,12.24,0.0,219.41,266.66,254.66,0.14,620.55,453.5,272.81,57.24,128.19,302.35,171.97,261.95,123.0,1004.36,218.63,236.82,565.37,610.05,296.87,368.03,501.85,449.44,441.18,362.23,92.68,824.85,2266.56,125.68,46.38,29.39,11.1,510.47,180.61,80.6
2013,12366.09,43.45,1.87,5.11,10.7,7.22,11.01,0.0,236.78,247.59,245.66,0.14,645.49,471.51,294.21,68.11,157.75,419.06,167.63,284.01,79.49,942.53,226.16,283.58,571.58,567.74,290.91,355.8,473.31,404.68,407.54,354.62,157.32,764.07,2182.11,120.4,69.55,32.12,13.0,541.26,127.73,83.31
2012,18857.44647,14.27532,1.16549,6.34529,7.45583,6.57756,11.00864,,236.80001,227.16529,231.24798,0.14,636.84657,453.78785,284.52944,45.65667,131.3972,379.01318,164.67522,255.56207,67.83749,840.31682,203.32188,203.84178,7826.73864,603.91103,272.45362,270.86633,478.77355,353.70079,402.90439,305.55509,153.40506,774.75662,2244.41971,109.04975,54.07638,17.12849,18.14246,407.25845,87.07292,68.26561
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
