年份,规模以上工业企业亏损总额,煤炭开采和洗选业规模以上工业企业亏损总额,石油和天然气开采业规模以上工业企业亏损总额,黑色金属矿采选业规模以上工业企业亏损总额,有色金属矿采选业规模以上工业企业亏损总额,非金属矿采选业规模以上工业企业亏损总额,开采辅助活动规模以上工业企业亏损总额,其他采矿业规模以上工业企业亏损总额,农副食品加工业规模以上工业企业亏损总额,食品制造业规模以上工业企业亏损总额,酒、饮料和精制茶制造业规模以上工业企业亏损总额,烟草制品业规模以上工业企业亏损总额,纺织业规模以上工业企业亏损总额,纺织服装、服饰业规模以上工业企业亏损总额,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业亏损总额,木材加工和木、竹、藤、棕、草制品业规模以上工业企业亏损总额,家具制造业规模以上工业企业亏损总额,造纸和纸制品业规模以上工业企业亏损总额,印刷和记录媒介复制业规模以上工业企业亏损总额,文教、工美、体育和娱乐用品制造业规模以上工业企业亏损总额,石油加工、炼焦和核燃料加工业规模以上工业企业亏损总额,化学原料和化学制品制造业规模以上工业企业亏损总额,医药制造业规模以上工业企业亏损总额,化学纤维制造业规模以上工业企业亏损总额,橡胶和塑料制品业规模以上工业企业亏损总额,非金属矿物制品业规模以上工业企业亏损总额,黑色金属冶炼和压延加工业规模以上工业企业亏损总额,有色金属冶炼和压延加工业规模以上工业企业亏损总额,金属制品业规模以上工业企业亏损总额,通用设备制造业规模以上工业企业亏损总额,专用设备制造业规模以上工业企业亏损总额,汽车制造业规模以上工业企业亏损总额,铁路、船舶、航空航天和其他运输设备规模以上工业企业亏损总额,电气机械和器材制造业规模以上工业企业亏损总额,计算机、通信和其他电子设备制造业规模以上工业企业亏损总额,仪器仪表制造业规模以上工业企业亏损总额,其他制造业规模以上工业企业亏损总额,废弃资源综合利用业规模以上工业企业亏损总额,金属制品、机械和设备修理业规模以上工业企业亏损总额,电力、热力生产和供应业规模以上工业企业亏损总额,燃气生产和供应业规模以上工业企业亏损总额,水的生产和供应业规模以上工业企业亏损总额
2019,9414.6,401.2,222.9,110.8,63.2,22,31.1,0.1,249.9,111.7,101.8,22.8,152.1,79.2,42.8,39.2,33.3,104.9,30.2,57.4,276.6,1367.9,162.7,63.7,137.1,289.8,261.3,392.2,199,300.7,270.4,1025.3,162.2,488.8,1010.3,61.6,6.9,24.5,22.9,803.1,139.9,71.3
2018,7940.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,7130.16,323.62,881.91,119.77,34.04,18.35,124.36,0.03,171.77,84.97,82.29,5.75,83.45,50.47,24.29,25.84,19.58,46.07,27.01,30.12,184.52,623.27,77.75,25.67,118.96,221.47,338.39,239.18,137.85,199.5,258.78,469.85,187.14,303.55,456.2,39.26,8.47,15.01,18.91,935.63,60.31,56.82
2016,8289.55,618.62,1212.95,111.78,48.99,23.01,114.63,0.02,150.62,70.75,82.73,3.35,70.58,44.93,22.95,17.36,17.85,65.19,25.36,25.43,257.06,966.15,81.03,35.39,96.77,288.15,675.16,273.1,122.93,246.09,421.66,323.32,161.64,269.18,445.98,36.47,11.43,22.5,64.04,629.04,73.39,61.98
2015,9366.84,989.37,592.03,145.73,62.88,17.88,32.85,0.01,185.53,75.99,95.44,1.18,89.55,46.37,26.25,26.64,20.26,80.96,22.89,25.27,498.74,908.78,90.13,46.77,123.92,434.71,1409.59,508.11,155.52,249.31,354.26,345.33,201.97,327.44,500.61,36.88,7.02,25.92,5.21,480.39,63.32,55.86
2014,7035.43,709.04,86.68,64.01,35.66,17.01,44.11,0.0,207.65,75.74,82.25,0.79,102.62,48.88,17.48,17.63,19.37,93.22,17.45,21.26,729.79,905.26,78.17,49.59,107.88,287.07,530.76,386.06,113.31,189.1,268.26,300.62,148.51,318.33,306.16,23.84,10.04,29.93,12.42,481.39,42.69,55.41
2013,5571.32,430.44,81.96,34.81,30.76,12.78,68.79,0.01,122.23,57.1,69.92,0.33,92.82,49.0,21.82,18.32,17.6,59.76,17.59,21.46,504.93,714.13,60.5,42.8,94.36,222.75,416.25,323.63,87.78,173.16,219.92,234.56,115.07,316.51,315.8,21.5,10.72,22.03,9.44,381.44,22.88,53.67
2012,5672.66487,226.09236,81.62249,38.81625,18.09957,8.33034,43.02682,0.1004,101.7152,48.70596,80.95259,0.76856,100.58523,40.22076,17.88835,19.74709,14.97838,63.21224,17.34836,17.6529,699.46896,585.91173,54.18529,40.94299,96.65371,229.62287,773.69342,337.05361,87.44667,144.84765,183.73009,191.14505,120.08791,307.31805,303.67695,21.06059,7.37747,14.69289,9.24051,455.19404,15.49938,53.95119
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
