年份,规模以上工业企业亏损企业单位数,煤炭开采和洗选业规模以上工业企业亏损企业单位数,石油和天然气开采业规模以上工业企业亏损企业单位数,黑色金属矿采选业规模以上工业企业亏损企业单位数,有色金属矿采选业规模以上工业企业亏损企业单位数,非金属矿采选业规模以上工业企业亏损企业单位数,开采辅助活动规模以上工业企业亏损企业单位数,其他采矿业规模以上工业企业亏损企业单位数,农副食品加工业规模以上工业企业亏损企业单位数,食品制造业规模以上工业企业亏损企业单位数,酒、饮料和精制茶制造业规模以上工业企业亏损企业单位数,烟草制品业规模以上工业企业亏损企业单位数,纺织业规模以上工业企业亏损企业单位数,纺织服装、服饰业规模以上工业企业亏损企业单位数,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业亏损企业单位数,木材加工和木、竹、藤、棕、草制品业规模以上工业企业亏损企业单位数,家具制造业规模以上工业企业亏损企业单位数,造纸和纸制品业规模以上工业企业亏损企业单位数,印刷和记录媒介复制业规模以上工业企业亏损企业单位数,文教、工美、体育和娱乐用品制造业规模以上工业企业亏损企业单位数,石油加工、炼焦和核燃料加工业规模以上工业企业亏损企业单位数,化学原料和化学制品制造业规模以上工业企业亏损企业单位数,医药制造业规模以上工业企业亏损企业单位数,化学纤维制造业规模以上工业企业亏损企业单位数,橡胶和塑料制品业规模以上工业企业亏损企业单位数,非金属矿物制品业规模以上工业企业亏损企业单位数,黑色金属冶炼和压延加工业规模以上工业企业亏损企业单位数,有色金属冶炼和压延加工业规模以上工业企业亏损企业单位数,金属制品业规模以上工业企业亏损企业单位数,通用设备制造业规模以上工业企业亏损企业单位数,专用设备制造业规模以上工业企业亏损企业单位数,汽车制造业规模以上工业企业亏损企业单位数,铁路、船舶、航空航天和其他运输设备规模以上工业企业亏损企业单位数,电气机械和器材制造业规模以上工业企业亏损企业单位数,计算机、通信和其他电子设备制造业规模以上工业企业亏损企业单位数,仪器仪表制造业规模以上工业企业亏损企业单位数,其他制造业规模以上工业企业亏损企业单位数,废弃资源综合利用业规模以上工业企业亏损企业单位数,金属制品、机械和设备修理业规模以上工业企业亏损企业单位数,电力、热力生产和供应业规模以上工业企业亏损企业单位数,燃气生产和供应业规模以上工业企业亏损企业单位数,水的生产和供应业规模以上工业企业亏损企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,42494.0,997.0,56.0,418.0,235.0,280.0,36.0,2.0,2371.0,864.0,627.0,10.0,1922.0,1483.0,693.0,583.0,554.0,682.0,581.0,747.0,304.0,2741.0,777.0,236.0,1894.0,3462.0,1212.0,1039.0,2292.0,2374.0,1895.0,1850.0,608.0,2878.0,2394.0,453.0,162.0,259.0,68.0,1835.0,223.0,397.0
2016,40720.0,1346.0,68.0,489.0,311.0,290.0,41.0,2.0,1927.0,701.0,564.0,16.0,1728.0,1399.0,612.0,426.0,443.0,670.0,570.0,652.0,416.0,2898.0,728.0,253.0,1675.0,3566.0,1334.0,1083.0,2014.0,2512.0,1918.0,1555.0,583.0,2605.0,2212.0,451.0,138.0,302.0,70.0,1568.0,191.0,393.0
2015,48248.0,1997.0,66.0,729.0,422.0,311.0,33.0,1.0,2116.0,775.0,594.0,9.0,2138.0,1613.0,746.0,504.0,526.0,806.0,596.0,736.0,583.0,3260.0,768.0,361.0,1959.0,4279.0,2077.0,1485.0,2463.0,3016.0,2136.0,1810.0,682.0,2955.0,2489.0,482.0,166.0,356.0,63.0,1553.0,191.0,396.0
2014,43452.0,1919.0,29.0,731.0,318.0,280.0,18.0,1.0,1992.0,690.0,578.0,11.0,2158.0,1627.0,634.0,446.0,477.0,783.0,530.0,673.0,526.0,2933.0,703.0,336.0,1935.0,3495.0,1836.0,1288.0,2130.0,2544.0,1827.0,1502.0,611.0,2680.0,2183.0,415.0,161.0,285.0,62.0,1559.0,163.0,383.0
2013,41711.0,1796.0,33.0,530.0,278.0,239.0,25.0,1.0,1696.0,616.0,502.0,5.0,2113.0,1705.0,699.0,441.0,514.0,761.0,508.0,695.0,465.0,2846.0,658.0,341.0,1873.0,3312.0,1888.0,1270.0,2021.0,2399.0,1722.0,1391.0,615.0,2649.0,2330.0,392.0,179.0,244.0,70.0,1392.0,127.0,370.0
2012,39664.0,1386.0,33.0,539.0,224.0,184.0,18.0,1.0,1426.0,631.0,445.0,8.0,2284.0,1623.0,616.0,430.0,450.0,761.0,416.0,608.0,502.0,2825.0,609.0,403.0,1698.0,3167.0,2064.0,1216.0,1926.0,2191.0,1533.0,1424.0,629.0,2500.0,2266.0,333.0,153.0,211.0,71.0,1395.0,107.0,358.0
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
