年份,规模以上工业企业应收账款净额,煤炭开采和洗选业规模以上工业企业应收账款净额,石油和天然气开采业规模以上工业企业应收账款净额,黑色金属矿采选业规模以上工业企业应收账款净额,有色金属矿采选业规模以上工业企业应收账款净额,非金属矿采选业规模以上工业企业应收账款净额,开采辅助活动规模以上工业企业应收账款净额,其他采矿业规模以上工业企业应收账款净额,农副食品加工业规模以上工业企业应收账款净额,食品制造业规模以上工业企业应收账款净额,酒、饮料和精制茶制造业规模以上工业企业应收账款净额,烟草制品业规模以上工业企业应收账款净额,纺织业规模以上工业企业应收账款净额,纺织服装、服饰业规模以上工业企业应收账款净额,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业应收账款净额,木材加工和木、竹、藤、棕、草制品业规模以上工业企业应收账款净额,家具制造业规模以上工业企业应收账款净额,造纸和纸制品业规模以上工业企业应收账款净额,印刷和记录媒介复制业规模以上工业企业应收账款净额,文教、工美、体育和娱乐用品制造业规模以上工业企业应收账款净额,石油加工、炼焦和核燃料加工业规模以上工业企业应收账款净额,化学原料和化学制品制造业规模以上工业企业应收账款净额,医药制造业规模以上工业企业应收账款净额,化学纤维制造业规模以上工业企业应收账款净额,橡胶和塑料制品业规模以上工业企业应收账款净额,非金属矿物制品业规模以上工业企业应收账款净额,黑色金属冶炼和压延加工业规模以上工业企业应收账款净额,有色金属冶炼和压延加工业规模以上工业企业应收账款净额,金属制品业规模以上工业企业应收账款净额,通用设备制造业规模以上工业企业应收账款净额,专用设备制造业规模以上工业企业应收账款净额,汽车制造业规模以上工业企业应收账款净额,铁路、船舶、航空航天和其他运输设备规模以上工业企业应收账款净额,电气机械和器材制造业规模以上工业企业应收账款净额,计算机、通信和其他电子设备制造业规模以上工业企业应收账款净额,仪器仪表制造业规模以上工业企业应收账款净额,其他制造业规模以上工业企业应收账款净额,废弃资源综合利用业规模以上工业企业应收账款净额,金属制品、机械和设备修理业规模以上工业企业应收账款净额,电力、热力生产和供应业规模以上工业企业应收账款净额,燃气生产和供应业规模以上工业企业应收账款净额,水的生产和供应业规模以上工业企业应收账款净额
2019,156298.4,2590.01,390.91,465.06,266.41,367.53,543.53,4.43,2723.2,1675.31,1037.89,429.53,2657.56,2012.86,1189.88,742.98,939.05,1731.47,1076.25,1267.57,2544.75,7169.06,4328.43,641.54,4337.69,10461.83,3758.72,3433.81,5783.49,9348.04,8649.97,14186.01,3640.07,15891.29,28120.4,2283.74,304.27,412.11,440.12,7067.5,699.76,684.4
2018,146083.83,2403.5,417.0,463.5,285.9,292.9,501.9,5.0,2782.1,1568.3,1014.9,467.9,2593.3,2002.1,1164.1,665.4,842.0,1705.0,992.3,1327.7,1616.3,7264.3,4100.1,498.7,3844.3,8204.4,2549.3,3043.5,5236.9,8560.8,7900.5,14156.2,3037.8,15567.9,27154.6,2142.9,213.3,367.7,384.3,5065.7,523.5,490.0
2017,135645.13,2323.76,232.15,522.18,278.25,286.25,508.37,5.35,2724.95,1608.14,993.88,571.1,2558.8,1954.52,1107.9,633.0,794.14,1649.86,948.41,1314.78,1540.7,6996.25,3727.47,479.59,3801.11,7575.6,2975.99,3167.43,4627.97,8209.04,7543.74,13172.29,3534.54,14897.34,23815.97,2330.71,289.57,378.23,324.56,4405.36,431.76,404.13
2016,126847.19,2692.54,258.77,623.07,266.38,312.91,579.27,2.57,2826.78,1700.35,1052.98,843.86,2675.48,1984.1,1179.55,614.2,732.28,1533.15,929.09,1282.01,1532.88,6699.73,3373.8,465.12,3500.73,7016.13,3219.64,2944.17,4297.75,8341.25,6997.02,11336.5,3338.32,13864.48,20576.47,1941.81,289.85,263.04,535.47,3567.79,340.74,315.19
2015,117246.31,3390.61,257.48,936.88,276.62,300.19,641.98,0.89,2700.1,1471.37,952.97,701.74,2649.82,1831.7,1223.12,602.29,663.64,1507.65,838.98,1428.71,1456.03,6336.92,2950.6,475.41,3228.19,6698.6,3066.69,2813.48,4100.51,7974.5,7055.13,9451.92,3086.76,12440.17,17258.88,1764.23,310.83,228.29,245.9,3212.89,394.23,319.4
2014,107436.99,3591.6,267.0,698.5,269.62,271.52,648.83,1.02,2431.4,1335.62,877.61,354.05,2529.48,1731.32,1174.82,542.65,584.31,1406.54,782.44,1423.79,1421.02,6095.11,2584.78,469.46,3034.25,6071.92,3167.26,2741.41,3925.04,7664.01,6851.51,7506.14,2862.44,11191.51,14835.98,1650.93,281.41,241.39,174.2,3183.35,309.5,252.27
2013,97402.73,3239.27,327.57,680.99,240.85,242.29,666.48,1.51,2142.34,1172.04,805.87,407.55,2362.75,1616.29,1085.12,480.99,526.21,1409.48,709.04,1046.63,1199.76,5568.16,2233.95,436.46,2870.31,5253.59,3009.2,2387.12,3553.0,6968.69,6432.44,7029.55,2779.26,10398.69,12666.63,1396.91,257.32,243.32,192.02,2885.2,251.54,226.38
2012,84043.13948,2856.80019,204.79295,568.87749,218.70669,192.51697,425.67023,1.01893,1816.95998,1042.56473,645.38155,375.59242,2119.51015,1515.80072,955.47538,402.78777,420.72079,1222.96177,578.17284,769.54424,1131.80825,4780.88401,1844.83002,349.58673,2443.01426,4265.28488,2581.33921,2031.82057,3096.10509,5924.90409,5174.45178,5334.61669,2519.41087,9271.61939,11893.61194,1246.5404,221.34545,214.71107,195.02815,2791.57651,215.50665,181.28768
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
