年份,居住类农村居民消费价格指数(上年=100),建房及装修材料类农村居民消费价格指数(上年=100),住房租金类农村居民消费价格指数(上年=100),自有住房类农村居民消费价格指数(上年=100),水电燃料类农村居民消费价格指数(上年=100)
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,99.72697397,99.49713144,101.74002159,101.35506793,96.82930949
2014,101.9,100.9,103.3,103.5,100.0
2013,102.3,101.1,104.7,103.8,100.9
2012,101.93008045,100.94851858,103.20301737,102.15525304,102.4087313
2011,105.73155511,105.84373667,105.17071759,106.25454754,104.88253744
2010,104.5,103.5,104.3,102.9,106.2
2009,98.51179026,99.64486099,101.43796522,92.99573793,98.4869178
2008,108.16946119,107.59888341,103.82258499,103.96163547,110.79659801
2007,104.44131663,105.12794775,106.06873716,105.73978708,103.0174874
2006,104.55243384,103.88322604,103.81234401,103.25336242,105.83265873
2005,105.216,102.6692,103.2609,102.0061,110.3415
2004,105.7976,104.8424,102.6294,101.146,109.1028
2003,100.9751,99.709,101.5124,100.1355,103.893
2002,100.1,98.3,102.3,100.4,103.9
2001,100.3,99.1,102.8,100.2,103.0
2000,102.8,98.8,104.4,99.8,106.7
