年份,交通和通信类农村居民消费价格指数(上年=100),交通类农村居民消费价格指数(上年=100),交通工具类农村居民消费价格指数(上年=100),车用燃料及零配件类农村居民消费价格指数(上年=100),车辆使用及维修费类农村居民消费价格指数(上年=100),市区公共交通费类农村居民消费价格指数(上年=100),城市间交通费类农村居民消费价格指数(上年=100),通信类农村居民消费价格指数(上年=100),通信工具类农村居民消费价格指数(上年=100),通信服务类农村居民消费价格指数(上年=100)
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,,,,,,,,,,
2016,,,,,,,,,,
2015,98.07910453,97.15249327,99.16352956,84.56272698,102.3391719,102.31311705,100.51097342,99.57981063,97.94032873,99.93134819
2014,100.0,100.4,99.55585201,98.977561,103.15582671,101.82636869,101.45845702,99.5,97.20477574,100.01477086
2013,100.1,100.7,99.67555708,99.40611019,103.93863072,102.13376077,102.01109066,99.1,95.03949273,100.02657719
2012,100.55661168,101.85204883,100.15971796,102.87540708,103.06275953,103.3269835,103.35623526,98.57527357,92.93158527,99.98517334
2011,101.30461306,103.48366673,100.18599548,111.31093264,102.63090005,104.81370246,103.18788719,98.14406625,91.53544182,99.94672098
2010,100.3,102.2,99.5,111.0,101.5,103.3,101.1,97.7,90.9,99.9
2009,98.18162639,99.29282257,99.59490888,92.70090154,100.8052575,101.67233286,101.07823587,96.51191877,87.19039229,99.37546506
2008,100.67348851,104.34515992,100.95800483,113.30047013,101.177717,103.72348626,106.45720217,95.55268926,85.21401006,98.66102231
2007,100.6266278,102.06219763,99.21408344,103.94241255,102.58301448,104.03350488,104.38496501,98.69076397,87.59596695,102.03914981
2006,101.32205363,104.40935824,99.32689071,112.43569611,102.05870272,107.53035126,107.75747111,97.23029441,87.58895437,100.3348443
2005,100.2637,101.9868,98.3935,109.5407,101.5455,103.6066,104.25,97.744,91.0811,99.6404
2004,99.7667,100.7191,97.7878,107.1343,100.7405,100.4695,103.4215,98.4191,89.9347,100.7059
2003,98.6066,99.3977,96.239,107.4156,97.7518,100.615,102.5662,97.4209,87.5685,100.1406
2002,98.2,98.8,95.5,98.2,98.7,100.3,103.7,97.3,88.3,99.8
2001,98.7,99.7,96.6,97.9,99.3,102.0,104.9,96.5,89.1,98.6
2000,93.6,93.6,95.0,,,,,,89.7,
