年份,娱乐教育文化用品及服务类农村居民消费价格指数(上年=100),文娱用耐用消费品及服务类农村居民消费价格指数(上年=100),教育类农村居民消费价格指数(上年=100),教材及参考书类农村居民消费价格指数(上年=100),学杂托幼费类农村居民消费价格指数(上年=100),文化娱乐类农村居民消费价格指数(上年=100),文化娱乐用品农村居民消费价格指数(上年=100),书报杂志类农村居民消费价格指数(上年=100),文娱费类农村居民消费价格指数(上年=100),旅游类农村居民消费价格指数(上年=100)
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,,,,,,,,,,
2016,,,,,,,,,,
2015,101.41783247,99.24897735,101.99588338,101.24706362,102.1,101.38607668,100.77284964,103.37987322,100.8915705,101.01002964
2014,101.7,98.6,101.9,101.50660779,102.0,101.1,100.55962152,100.92732538,101.83471577,105.9
2013,101.8,97.8,102.5,102.96758902,102.4,101.6,100.43480589,101.18634555,103.23147613,104.9
2012,100.96628818,96.02549383,101.88619805,101.79901801,101.9,101.1089956,100.66190135,101.14953644,101.60946401,103.39609915
2011,100.77188633,95.95840799,101.66007143,101.13485483,101.7,100.82704922,100.85057511,100.91180409,100.74762483,103.89160877
2010,100.9,96.1,101.9,103.0,101.7,100.9,100.4,100.8,101.7,104.3
2009,100.64159865,93.66579834,102.43845722,102.48301774,102.42855689,102.11215148,100.61805443,104.611574,101.94482923,98.92797211
2008,99.90152995,95.1243216,100.87924241,100.43818791,100.9471423,101.21716583,101.18145318,101.03311888,101.43932613,100.38440853
2007,98.4438637,95.79942873,98.17317633,98.19937265,98.18145876,100.94497613,100.21454639,100.72563144,102.34769461,103.42722386
2006,98.59736127,96.10344214,98.49637902,99.62326428,98.37746235,100.89552044,99.76179807,100.64133586,102.98880594,102.12241155
2005,103.7835,95.8508,105.9517,100.7679,106.312,100.6275,99.8839,100.7037,102.0004,100.5407
2004,102.0968,94.824,103.7538,103.3739,103.7791,100.2186,99.2642,100.7459,101.6645,100.5331
2003,102.7597,94.1256,104.7811,100.9852,104.9566,99.6243,98.6985,100.1071,101.5379,98.9988
2002,101.2,92.4,103.1,97.7,103.3,99.8,98.8,100.3,101.7,97.6
2001,106.4,94.1,109.8,106.8,109.9,100.2,99.3,101.6,100.1,100.8
2000,98.1,92.5,,108.1,,101.1,99.0,104.1,103.1,
