年份,烟酒及饮料类农村居民消费价格指数(上年=100),烟草类农村居民消费价格指数(上年=100),酒类农村居民消费价格指数(上年=100)
2019,,,
2018,,,
2017,,,
2016,,,
2015,102.34796513,104.77484598,99.03613721
2014,99.5,100.3,98.5
2013,100.8,100.9,100.5
2012,102.72663005,100.9265276,105.23135055
2011,102.44833372,100.21646945,105.72452082
2010,101.4,100.4,103.1
2009,101.26954047,100.2744489,102.90144648
2008,102.58417554,100.51668234,106.1258785
2007,101.57382088,101.00408677,102.62634798
2006,100.30551295,100.13775535,100.56882889
2005,100.5424,100.4335,100.791
2004,101.3024,101.0891,101.7141
2003,99.9258,99.854,100.0759
2002,100.0,100.2,99.7
2001,99.6,99.7,99.4
2000,,97.5,
