年份,衣着类农村居民消费价格指数(上年=100),服装类农村居民消费价格指数(上年=100),男式服装类农村居民消费价格指数(上年=100),女式服装类农村居民消费价格指数(上年=100),儿童服装类农村居民消费价格指数(上年=100),衣着材料类农村居民消费价格指数(上年=100),鞋袜帽类农村居民消费价格指数(上年=100),鞋类农村居民消费价格指数(上年=100),袜子类农村居民消费价格指数(上年=100),帽子类农村居民消费价格指数(上年=100),衣着加工服务费类农村居民消费价格指数(上年=100)
2019,,,,,,,,,,,
2018,,,,,,,,,,,
2017,,,,,,,,,,,
2016,,,,,,,,,,,
2015,102.32905857,102.50362465,102.3,102.4,103.3,102.17397995,101.67681792,101.7,101.6,101.9,105.20221621
2014,102.4,102.4,102.3,102.3,103.2,103.10427072,101.8,101.8,101.3,101.8,105.96070424
2013,102.5,102.7,102.8,102.4,103.2,103.1795838,101.7,101.7,101.7,101.8,107.41913131
2012,103.79140936,103.91730819,104.0,103.6,104.6,103.69051881,103.29088608,103.2,103.6,103.5,106.70888384
2011,101.89640669,101.95873535,101.9,101.5,103.4,109.40705249,100.70200062,100.4,102.7,101.7,106.03797175
2010,99.4,99.2,98.7,99.3,99.9,103.1,99.0,98.5,101.3,100.2,102.3
2009,98.42941458,98.0738678,97.9,97.6,99.6,100.72183606,98.60442393,98.3,99.8,100.1,102.50502637
2008,99.35706872,98.81371164,98.3,98.2,101.2,103.01136908,99.7599593,99.7,100.3,99.9,103.02117186
2007,100.16263671,99.84233877,99.4,99.9,100.6,101.90210438,100.47790811,100.5,100.4,100.4,102.31391607
2006,99.55044801,99.05900079,98.7,98.7,100.6,100.76321389,100.35465788,100.4,100.3,100.6,101.30453517
2005,99.0523,98.6759,98.2,98.7,99.6,100.3923,99.4231,99.1,100.7,100.5,101.0715
2004,98.4436,98.1002,97.9,97.9,98.7,100.4602,98.5556,98.4,99.3,99.0,100.7721
2003,98.5705,98.4717,97.9,98.4,99.3,99.8141,98.3787,98.1,99.3,98.9,100.7817
2002,98.4,98.0,97.4,98.0,98.8,99.1,98.9,98.7,99.6,98.0,98.9
2001,98.9,98.2,98.3,97.8,98.8,99.8,99.8,99.8,100.2,99.1,100.4
2000,98.6,98.7,,,,98.1,99.1,99.1,99.2,98.6,
