年份,图书出版种数,使用“中国标准书号”部分图书出版种数,马列主义、毛泽东思想图书出版种数,哲学图书出版种数,社会科学总论图书出版种数,政治、法律图书出版种数,军事图书出版种数,经济图书出版种数,文化、科学、教育、体育图书出版种数,语言、文字图书出版种数,文学图书出版种数,艺术图书出版种数,历史、地理图书出版种数,自然科学总论图书出版种数,数理科学、化学图书出版种数,天文学、地球科学图书出版种数,生物科学图书出版种数,医学、卫生图书出版种数,农业科学图书出版种数,工业技术图书出版种数,交通运输图书出版种数,航空、航天图书出版种数,环境科学图书出版种数,综合性图书出版图书出版种数,不使用“中国标准书号”部分图书出版种数,图片出版种数,国标(GB)、部标(BB)等标准类文件印品出版种数,活页文选、活页歌篇、小件印品等出版种数
2019,505979,505533,758,9506,5378,17939,1218,34239,203978,21222,53191,26539,18913,861,10682,3389,3692,22788,5025,52615,6299,740,2657,3904,446,446,,
2018,519250,518913,974,10083,5770,18972,1388,35228,209534,21367,58909,28488,19444,820,9789,3222,3907,23573,5355,49336,5741,706,2561,3746,337,337,,
2017,512487,512207,777,9984,5445,18256,1410,34840,210137,21790,56790,27294,18720,793,9482,2968,3486,22633,5517,48783,6035,613,2525,3929,280,280,,
2016,499884,499439,743,9796,5729,19015,1548,34225,202536,22021,54502,27497,18680,797,8847,2756,3410,21530,5141,48093,5648,539,2247,4139,445,445,,
2015,475768,475239,730,8890,5618,19051,1619,32606,192592,21469,49656,26652,18205,780,8180,2723,3255,21069,5316,45187,5155,521,2182,3783,529,529,,
2014,448431,447981,780,8472,5610,18005,1408,31627,173825,21057,46897,26797,16995,834,7964,2583,2690,18951,5082,47024,5297,468,2067,3548,450,450,,
2013,444427,443631,672,8195,5256,17481,1555,30144,176189,21482,46885,25782,16330,915,7849,2561,2948,18418,5070,45171,4901,463,1923,3441,796,796,,
2012,414005,413313,594,8338,5163,16791,1279,29681,159190,20923,42148,22832,16916,846,7143,2438,2442,16855,5883,43964,4224,461,1781,3421,692,692,,
2011,369523,368640,604,8600,5344,15669,1178,30253,133054,19550,32317,19825,14511,827,6997,2014,2259,15711,6305,44539,4189,338,1706,2850,883,883,,
2010,328387,327622,477,7418,4841,13903,946,27486,111380,18610,29958,16787,12411,1193,6294,1790,1973,15792,6621,41904,3862,279,1589,2108,765,765,,
2009,301719,300892,495,6429,4112,13730,917,25273,102597,16721,24993,15067,11401,901,5505,1659,1618,14584,6978,40938,3313,312,1447,1902,827,827,,
2008,274123,274520,402,5520,3645,13306,667,23496,95954,15528,19585,13331,10063,823,5556,1429,1507,12961,5316,39285,2915,241,1323,1667,1148,1148,,
2007,248283,246909,488,4813,3423,11968,757,21420,90419,13425,15393,11982,9359,942,4813,1227,1332,11543,4086,34186,2470,185,976,1702,1374,1374,,
2006,233971,232904,389,4478,2923,10989,637,19783,86352,12402,14812,11905,9013,982,4752,1155,1220,10324,3476,32198,2210,177,1009,1718,1067,,,
2005,222473,221489,454,3921,2842,10104,701,18389,85668,11659,13428,10622,8525,982,4669,999,1190,9565,3045,29511,2107,126,1014,1968,984,,,
2004,208000,206572,664,3312,2366,9412,607,16442,83751,10435,12633,10067,7204,957,4187,924,981,8382,2697,26924,1755,108,1016,1748,1722,,,
2003,190000,188505,496,2523,2097,8665,597,14397,77185,8600,11771,10655,6046,921,3703,678,800,8472,3219,22508,1615,179,747,2631,1886,,,
2002,171000,168769,324,2053,1986,7102,493,12599,69488,8253,11199,10087,5245,853,3077,597,685,7105,2936,19517,1647,122,640,2761,2193,,,
2001,155000,152287,259,1590,1812,6589,446,10460,61174,7103,11235,9765,4878,893,2673,558,560,6440,3281,17694,1414,111,502,2850,2239,,,
2000,143376,141291,236,1461,1731,5509,425,9107,58513,6301,10756,7577,4402,926,2530,630,514,6329,3384,16267,1161,90,400,3042,2085,,,
