年份,图书出版印数,使用“中国标准书号”部分图书出版印数,马列主义、毛泽东思想图书出版印数,哲学图书出版印数,社会科学总论图书出版印数,政治、法律图书出版印数,军事图书出版印数,经济图书出版印数,文化、科学、教育、体育图书出版印数,语言、文字图书出版印数,文学图书出版印数,艺术图书出版印数,历史、地理图书出版印数,自然科学总论图书出版印数,数理科学、化学图书出版印数,天文学、地球科学图书出版印数,生物科学图书出版印数,医学、卫生图书出版印数,农业科学图书出版印数,工业技术图书出版印数,交通运输图书出版印数,航空、航天图书出版印数,环境科学图书出版印数,综合性图书出版图书出版印数,不使用“中国标准书号”部分图书出版印数,图片出版印数,国标(GB)、部标(BB)等标准类文件印品出版印数,活页文选、活页歌篇、小件印品等出版印数
2019,105.9756,105.4858,0.1567,0.9107,0.3407,3.438,0.0957,1.5616,80.1214,2.8132,7.7065,2.0568,1.5155,0.0822,0.6236,0.1886,0.2621,1.0859,0.1493,1.6793,0.2266,0.0243,0.1442,0.3029,0.4898,0.038,0.114,0.3378
2018,100.0974,99.8593,0.2497,0.7422,0.3165,2.9125,0.0866,1.8154,75.0758,2.619,8.0024,2.1586,1.3966,0.0511,0.4689,0.1552,0.2248,1.1249,0.186,1.6561,0.2256,0.0194,0.1155,0.2565,0.2381,0.0211,0.1179,0.0991
2017,92.4,92.249,0.1127,0.6765,0.2668,2.4765,0.0848,1.5267,69.6426,2.5745,7.3772,1.9941,1.2486,0.0551,0.4157,0.1276,0.1922,1.0356,0.1922,1.5996,0.2522,0.0191,0.1019,0.2768,0.1909,0.0251,0.1214,0.0444
2016,90.4,90.1818,0.1555,0.6575,0.265,2.9297,0.0858,1.5907,68.2823,2.1444,6.442,1.924,1.3082,0.0518,0.4116,0.1223,0.2043,1.1042,0.1777,1.6503,0.2696,0.0154,0.0846,0.3049,0.1864,0.0413,0.1019,0.0432
2015,86.6,86.4051,0.1408,0.6191,0.2974,1.8544,0.0936,1.5213,66.7976,2.0302,5.5656,1.7388,1.325,0.0525,0.3766,0.1136,0.1908,1.1606,0.1929,1.6954,0.2793,0.0166,0.0879,0.2551,0.2182,0.0336,0.1397,0.0449
2014,81.8,81.5464,0.1918,0.5387,0.2675,1.7712,0.0772,1.4784,62.4367,1.9741,5.0864,1.8477,1.2703,0.0559,0.3863,0.1158,0.163,1.134,0.235,1.8764,0.3111,0.0165,0.0849,0.2275,0.3001,0.0461,0.2193,0.0347
2013,83.1,82.8022,0.1376,0.4799,0.2815,1.6438,0.0999,1.4444,62.6091,3.0309,5.0254,1.868,1.2743,0.0565,0.4232,0.1103,0.1733,1.2693,0.2296,1.9757,0.3144,0.0173,0.0954,0.2424,0.3026,0.0786,0.19,0.034
2012,79.2,78.8951,0.1596,0.5853,0.3338,1.5551,0.0948,1.5285,59.3715,2.1211,4.8661,1.6761,1.2583,0.0736,0.4163,0.1213,0.1653,1.5254,0.3806,2.0423,0.2586,0.02,0.0906,0.2509,0.3513,0.0848,0.1683,0.0982
2011,77.0,76.5939,0.1468,0.6301,0.4414,1.4017,0.0933,1.6523,57.8433,2.1919,3.9762,1.7468,1.113,0.0791,0.4313,0.098,0.1375,1.1401,0.6246,2.1547,0.2452,0.0148,0.0992,0.3326,0.4579,0.0975,0.1555,0.2049
2010,71.7,71.2604,0.1561,0.5237,0.4871,1.2832,0.0813,1.5956,53.5339,2.0209,3.3548,1.3984,1.4306,0.1922,0.4419,0.1403,0.1417,1.1642,0.5397,2.0834,0.2436,0.013,0.1943,0.2405,0.4447,0.0985,0.185,0.1612
