年份,采矿业总投入,采矿业中间使用,农、林、牧、渔业提供给采矿业的中间使用,采矿业提供给采矿业的中间使用,食品、饮料制造及烟草制品业提供给采矿业的中间使用,纺织、服装及皮革产品制造业提供给采矿业的中间使用,其他制造业提供给采矿业的中间使用,电力、热力及水的生产和供应业提供给采矿业的中间使用,炼焦、燃气及石油加工业提供给采矿业的中间使用,化学工业提供给采矿业的中间使用,非金属矿物制品业提供给采矿业的中间使用,金属产品制造业提供给采矿业的中间使用,机械设备制造业提供给采矿业的中间使用,建筑业提供给采矿业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给采矿业的中间使用,批发零售贸易、住宿和餐饮业提供给采矿业的中间使用,房地产业、租赁和商务服务业提供给采矿业的中间使用,金融业提供给采矿业的中间使用,其他服务业提供给采矿业的中间使用,采矿业增加值,采矿业固定资产折旧,采矿业劳动者报酬,采矿业生产税净额,采矿业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,541862961.949453,258872682.770458,247530.68901371,69460690.1594327,1742071.57264256,2605135.00435136,996960.314615462,26114229.0904301,33965648.2266994,,2693569.8132782,20384308.3464116,29940456.7398894,207318.716865227,,,,,19503474.4340212,282990279.178995,43254936.2060489,99497762.7408928,89998176.6688519,50239403.5632008
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,538352109.434191,356032450.649847,306044.311779367,79760272.52441,4058563.12002117,2943791.82273361,9403208.36398018,32986096.4801104,17202778.2439596,24603968.8443032,4311986.96284393,28538607.0017999,49128891.0100442,1857212.53746727,20870096.9541258,16332616.2330384,19349353.2122193,28994895.4978513,15384067.5291597,182319658.784344,32136161.257862,75106089.0896863,45990519.8262861,29086888.6105096
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,535980969.001036,273447605.336234,250030.213748122,71600276.6186546,2336708.85542054,1626931.53892444,6439323.59967108,31288295.5211431,15425891.0250713,19062946.4696015,3338774.27604086,27453454.8543279,32333762.7982411,1254026.1146479,13882983.1590465,9537624.45098057,9324381.21319273,18437785.2036695,9854409.42385187,262533363.664802,27440588.1416833,104384851.247174,61720316.8490219,68987607.4269231
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,486392588.834822,266477379.487807,1624528.38870215,56380903.367471,924336.753522265,1955509.4421098,5334380.66874354,36087853.582109,15505792.1317874,19323444.3108466,6152180.21128667,23565572.1139719,48501750.8062514,424226.68156344,21594219.6520494,10341286.7610311,2219226.46607589,6538705.47626668,10003462.6740187,219915209.347015,22985590.8707378,75188342.8272973,52592494.3115055,69148781.3374745
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,291808994.493842,153811072.424185,781272.107904424,21882623.2562819,645546.614902487,1365185.82555802,3471051.26098742,23899288.3670494,10961386.2414133,11175155.0761254,3809133.26642124,15594004.1369366,28102981.238966,270149.343644285,12809659.6275046,6520456.88359375,1114952.71937044,4354545.96945068,7053680.48807552,137997922.069656,14993059.228558,48631486.8169787,25163430.62641,49209945.3977095
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,194703333.793369,103963529.609734,1135981.18748277,8864077.32465683,52932.2460578583,1082427.8070323,2173046.66232174,20037237.5757115,7485029.35938285,7833700.55901591,2506080.96017586,10051826.0651046,15308388.6797665,415904.452870559,10692403.0497912,5897723.13709805,2062784.97586636,2544852.48766359,5819133.07973541,90739804.1836356,10777151.7946254,20677243.705614,16156095.2862239,43129313.3971723
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,103171891.024155,43505927.9113268,400481.800661951,3522633.10308656,24149.6394589032,518175.449581328,981772.003355493,6675984.92488011,2673373.93855949,3577632.93088739,717724.937060391,4127088.87733156,7306034.09428575,140574.59535562,3817728.96888204,3175036.59247216,2002090.15426227,1612781.65171508,2232664.2494907,59665963.1128279,7116017.09135997,25695041.0602965,6513462.74423448,20341442.2169369
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,80837463.7338849,34038339.5884,422433.5974,3231715.081,20526.16,557093.6,651830.6009,5895331.0,2863437.2501,3685135.0,611921.9,2574132.3,6928553.2,150562.8,2207226.074,1829778.0,706873.74,1023784.0,678005.285,46799124.1454848,9589377.07599627,16610583.8623444,6777065.29210484,13822097.9150393
