年份,其他服务业总投入,其他服务业中间使用,农、林、牧、渔业提供给其他服务业的中间使用,采矿业提供给其他服务业的中间使用,食品、饮料制造及烟草制品业提供给其他服务业的中间使用,纺织、服装及皮革产品制造业提供给其他服务业的中间使用,其他制造业提供给其他服务业的中间使用,电力、热力及水的生产和供应业提供给其他服务业的中间使用,炼焦、燃气及石油加工业提供给其他服务业的中间使用,化学工业提供给其他服务业的中间使用,非金属矿物制品业提供给其他服务业的中间使用,金属产品制造业提供给其他服务业的中间使用,机械设备制造业提供给其他服务业的中间使用,建筑业提供给其他服务业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给其他服务业的中间使用,批发零售贸易、住宿和餐饮业提供给其他服务业的中间使用,房地产业、租赁和商务服务业提供给其他服务业的中间使用,金融业提供给其他服务业的中间使用,其他服务业提供给其他服务业的中间使用,其他服务业增加值,其他服务业固定资产折旧,其他服务业劳动者报酬,其他服务业生产税净额,其他服务业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,2936423794.97406,1544685364.75695,53209261.7292027,1916830.18411369,165057670.545955,47440887.8202424,10996321.9599146,31789149.6841983,208306014.613176,,2782083.31091831,24478498.7005564,124492378.800578,12711271.1526674,,,,,308923577.366421,1391738430.2171,223990361.204701,1048860266.69725,38007870.6239175,80879931.6912333
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1798474978.07108,831613785.185081,12761282.0587404,1154772.53605155,39526816.4475196,28640602.5681153,36590520.2227694,11536597.0249982,15756158.0118384,169020429.485487,4351928.48661756,16042787.1492455,98526682.7342059,10805108.1560872,90053241.5941481,85545209.2032857,52055999.1924719,47334634.2599474,111911016.053552,966861192.885999,91199949.4828083,784490586.781582,17565436.5709346,73605220.050674
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,1302604671.09095,615942511.839767,9070897.79830274,1590756.50321566,24637100.6628918,21667667.4676181,31057450.3433459,12878852.73776,19320924.0954991,112044875.79681,4143184.00851202,14085607.4749152,75626067.1485313,10182164.0618135,63850451.7637421,65106567.3740609,34588244.7888771,38669323.2419758,77422376.5718954,686662159.251184,71187299.8783818,527569787.032787,18062869.0361441,69842203.3038708
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,912863078.442581,410666762.024624,5325660.92145736,3298775.51272201,10137702.8401651,13201049.1143274,35032463.8883549,13530157.0776608,11616742.2004486,93575178.6791475,4303124.49375854,6420602.13846579,51241977.0420958,10038180.7169564,38683560.6483142,43706207.6082068,18820677.8518995,16162812.3727401,35571888.9179033,502196316.417956,55793236.0500873,388500380.397133,15330012.7205751,42572687.2501607
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,602356181.79487,308071739.26942,3648331.05382352,2094235.28587755,8473227.25641688,9497053.32249278,31930162.5900038,11604600.2881347,9826221.26804091,56231930.3834848,3403551.20621446,3811142.4011016,42513904.0737823,7524834.09305411,23881385.3903096,33683756.778783,15020492.0790044,12958315.2594728,31968596.5394225,294284442.52545,31101661.6954802,198016050.149181,10686190.3816249,54480540.2991643
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,484558224.453657,257082969.635003,2548065.71841115,4674943.13491429,4674447.39790658,14073556.0036331,23401586.0797388,11006663.2196081,6173439.12220621,44868819.4711013,2531024.4461914,3831119.54235114,24855606.7121303,15873983.7531295,24558488.5023851,29744649.9395027,13523725.0313685,6617364.94323548,24125486.6171897,227475254.818654,24402984.8774185,151172302.044759,9012611.60487208,42887356.2916045
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,307507063.721027,147153748.587307,1215546.0236798,2049319.95246488,2892177.71307232,8835238.13680416,17194380.4193209,5909390.77401409,2863677.68621685,18134775.2401296,1318823.79472926,2057448.67996052,14587378.0660307,7555930.6644135,10099725.7246712,17946337.423579,17503093.8758113,5165042.04198118,11825462.3704279,160353315.133719,21524856.8366644,113467464.154722,7759241.74853036,17601752.3938021
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,144218957.593017,75268910.371015,1712843.0,795725.781015,763199.0,1446163.64,7038734.46,2932269.6,1617664.18,10190589.0,1026293.8,1245461.38,9033471.1,4134665.2,12442872.3,6980000.1,7668631.0,2243318.1,3997008.73,68950047.2220021,9413798.39275661,54220863.4993036,2031552.72175326,3283832.60818865
