年份,化学工业总投入,化学工业中间使用,农、林、牧、渔业提供给化学工业的中间使用,采矿业提供给化学工业的中间使用,食品、饮料制造及烟草制品业提供给化学工业的中间使用,纺织、服装及皮革产品制造业提供给化学工业的中间使用,其他制造业提供给化学工业的中间使用,电力、热力及水的生产和供应业提供给化学工业的中间使用,炼焦、燃气及石油加工业提供给化学工业的中间使用,化学工业提供给化学工业的中间使用,非金属矿物制品业提供给化学工业的中间使用,金属产品制造业提供给化学工业的中间使用,机械设备制造业提供给化学工业的中间使用,建筑业提供给化学工业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给化学工业的中间使用,批发零售贸易、住宿和餐饮业提供给化学工业的中间使用,房地产业、租赁和商务服务业提供给化学工业的中间使用,金融业提供给化学工业的中间使用,其他服务业提供给化学工业的中间使用,化学工业增加值,化学工业固定资产折旧,化学工业劳动者报酬,化学工业生产税净额,化学工业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1562054667.2793,1285502099.19269,73329469.9818224,46145251.1433424,54996214.4563854,27335245.4872779,15439870.075422,63345696.1617289,82317674.5716024,651627346.014397,10141887.704556,21260057.8341332,22800900.939612,2013987.55403908,50010578.4546826,66175142.2687838,36899811.9446665,34662674.9223309,27000289.6779111,276552568.086602,43715267.4056281,95236394.1075999,55783964.2683971,81816942.3049765
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,1210245787.87551,978233273.533004,44189444.8402238,49738187.4768782,28202270.8968536,17379129.0804131,11880883.6729982,51499059.1454638,75653161.4066663,523624408.031368,7451888.17102476,16453399.296762,14815161.7163565,1413199.141382,35557969.274129,40397430.0229002,18966370.04417,23104551.1698299,17906760.1455857,232012514.342502,34999849.8221474,79805544.8849346,38694422.1386398,78512697.4967805
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,932510585.250119,751960360.924463,29776681.5731026,48903865.1209594,15037238.687852,9164915.23229539,21115878.364175,44094008.2454741,57045134.7438463,382527595.730335,7515706.58245191,17671984.4278252,24699471.2642697,351685.078383259,30570293.0578509,22156960.5429717,15191866.0418412,14496917.3161314,11640158.9146981,180550224.325656,27514104.9287736,64283325.0064456,35501980.0519591,53250814.3384776
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,619980925.832371,494052772.127153,16674822.7879503,34662848.5453338,9160297.04928176,5889045.0867358,13092507.4691765,30268744.1199554,40782813.4517365,258179753.172431,4271377.03039963,10949652.8219213,16167993.47883,206977.488350863,17534941.3394572,13401963.2043958,7994672.16034593,8111153.04059895,6703209.88025222,125928153.705218,17930339.6479997,37806573.5626802,24193076.0031098,45998164.4914281
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,400316692.631975,311190870.486962,15086672.0058173,23128331.6155697,4652191.58113339,2623794.59325209,7308249.99396185,24113756.567544,16476680.1086817,154819198.056924,2532653.50137298,6717233.20431847,9364705.3886202,286810.407355126,15963584.9375067,13688904.256059,6480618.37470111,3502369.32986748,4445116.56427673,89125822.1450129,15272654.1806194,26309589.2845808,18186698.7304392,29356879.9493735
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,215726168.166462,157633500.337474,6630650.22075297,9641999.9257793,1661306.37826104,1460687.65153502,3977154.83185499,10315567.5502646,7271507.48427576,80972315.418296,1217391.96087016,3407253.39488019,5388155.80337524,119141.616067475,7146430.28856765,9280771.32959198,4536877.08578724,2447272.2932846,2159017.10402938,58092667.8289881,10376851.8678775,20406170.7072437,13351239.5613447,13958405.6925222
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,215871882.651944,163668774.8,7994920.0,5744500.0,2224590.0,8013176.0,3928270.9,19396300.0,7456845.0,81222900.0,1201500.0,2156161.0,4872407.0,183998.0,5297665.6,8106910.0,2823798.0,2573590.0,471243.3,52203107.8519445,9979577.4990946,20160948.4760303,12663819.7303249,9398762.14649465
