年份,房地产业、租赁和商务服务业总投入,房地产业、租赁和商务服务业中间使用,农、林、牧、渔业提供给房地产业、租赁和商务服务业的中间使用,采矿业提供给房地产业、租赁和商务服务业的中间使用,食品、饮料制造及烟草制品业提供给房地产业、租赁和商务服务业的中间使用,纺织、服装及皮革产品制造业提供给房地产业、租赁和商务服务业的中间使用,其他制造业提供给房地产业、租赁和商务服务业的中间使用,电力、热力及水的生产和供应业提供给房地产业、租赁和商务服务业的中间使用,炼焦、燃气及石油加工业提供给房地产业、租赁和商务服务业的中间使用,化学工业提供给房地产业、租赁和商务服务业的中间使用,非金属矿物制品业提供给房地产业、租赁和商务服务业的中间使用,金属产品制造业提供给房地产业、租赁和商务服务业的中间使用,机械设备制造业提供给房地产业、租赁和商务服务业的中间使用,建筑业提供给房地产业、租赁和商务服务业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给房地产业、租赁和商务服务业的中间使用,批发零售贸易、住宿和餐饮业提供给房地产业、租赁和商务服务业的中间使用,房地产业、租赁和商务服务业提供给房地产业、租赁和商务服务业的中间使用,金融业提供给房地产业、租赁和商务服务业的中间使用,其他服务业提供给房地产业、租赁和商务服务业的中间使用,房地产业、租赁和商务服务业增加值,房地产业、租赁和商务服务业固定资产折旧,房地产业、租赁和商务服务业劳动者报酬,房地产业、租赁和商务服务业生产税净额,房地产业、租赁和商务服务业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1185196222.09571,597358019.118908,5498382.5007569,38524.2146670494,14348841.0409823,12264262.6452468,63128570.5596136,3650536.79656378,24799893.6106161,11841888.4031381,373983.076521395,17264355.662949,82905436.8307448,14575252.2968311,46970910.9858043,62650017.0461363,109441393.725317,103964353.02037,23641416.7026495,587838202.976798,237360633.820379,156510192.793363,85566830.2474385,108400546.115617
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,763137290.618104,338499486.999939,2512712.06965848,39814.6964444525,6541387.83446782,5798573.65367209,36085258.8641023,3056586.58079013,21988118.7236205,7483377.74777499,226215.858626693,10572973.7017866,47422879.7898144,10781931.8046778,23647565.729207,32181004.3903559,52871746.6737161,67498057.1566246,9791281.7245994,424637803.618165,180622637.561796,94050930.3653133,66159620.3582318,83804615.3328236
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,518947738.88005,213277387.122832,536094.565400009,368145.251291167,3401793.31296595,7178144.06522843,23693921.1247191,4308057.27920428,10825509.2329461,12787955.2624,204278.291602577,6605008.96255939,34205207.1808158,6053681.64586949,16088705.310047,25454287.8980704,27269529.7748284,22778299.3292869,11518768.6355968,305670351.757218,130006457.753542,66240170.8964877,46369706.5337198,63054016.5734685
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,265592041.64755,104324862.136754,208019.525149101,136178.361895422,1518182.93761359,3274690.23638363,11813559.6926652,1743890.84262499,4882845.07047647,5516076.54220232,81293.8360511706,3987539.25212619,25829238.3730682,1889590.72334782,6543370.71580652,12099466.1101706,10881332.4983793,8382974.28625258,5536613.13254085,161267179.510796,72454981.1247291,26565094.0471845,22886202.0484642,39360902.290418
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,205765574.10872,93846013.0669883,280005.216546239,598427.832605773,479869.850327475,587781.115128046,9588632.6938833,1952876.7393611,1117433.39482017,765158.660376872,1115586.02348899,2837267.26458375,29214569.5927276,4661908.6851671,8696952.53778911,10354631.8678848,11340406.7728827,6642948.39802711,3611556.42138826,111919561.041732,54908145.2942967,20579031.407869,13374885.4129502,23057498.9266161
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,73139315.5002034,26375146.7504797,,26722.2082886305,9952.70499633548,272665.670894509,1607616.44195349,798105.212965149,262271.374197618,333340.679254713,85176.9068372081,146753.696942396,2651480.62133957,1115036.54284455,2066993.45107027,2836346.568717,7965245.56843815,4985406.10112394,1212033.00061618,46764168.7497237,5736724.6414466,13759178.8697344,1143904.81538268,26124360.42316
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,110427373.112852,59819524.03,546504.39,469502.8,2116972.33,2058056.8,4379127.5,1518666.0,3557676.1,3325262.0,1488516.0,734754.2,11008762.6,3887340.0,6130059.0,4252891.0,8649647.0,4615162.0,1080624.31,50607849.0828524,16125730.8148868,23663282.3399457,4716820.10477757,6102015.82324228
