年份,建筑业总投入,建筑业中间使用,农、林、牧、渔业提供给建筑业的中间使用,采矿业提供给建筑业的中间使用,食品、饮料制造及烟草制品业提供给建筑业的中间使用,纺织、服装及皮革产品制造业提供给建筑业的中间使用,其他制造业提供给建筑业的中间使用,电力、热力及水的生产和供应业提供给建筑业的中间使用,炼焦、燃气及石油加工业提供给建筑业的中间使用,化学工业提供给建筑业的中间使用,非金属矿物制品业提供给建筑业的中间使用,金属产品制造业提供给建筑业的中间使用,机械设备制造业提供给建筑业的中间使用,建筑业提供给建筑业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给建筑业的中间使用,批发零售贸易、住宿和餐饮业提供给建筑业的中间使用,房地产业、租赁和商务服务业提供给建筑业的中间使用,金融业提供给建筑业的中间使用,其他服务业提供给建筑业的中间使用,建筑业增加值,建筑业固定资产折旧,建筑业劳动者报酬,建筑业生产税净额,建筑业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,2287859273.51028,1734869090.63809,18961515.0810735,19148450.0732291,4864930.13859972,3118310.93379703,3180423.13804475,30838601.1217721,134528832.287122,,404197757.106223,351705548.579568,115327589.899962,73070274.3546499,,,,,69574676.812158,552990182.872197,19576935.9924164,342117996.180964,80734880.1790148,110560370.519802
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,2019037211.45374,1553678764.45374,18440302.0754972,12652938.7734333,7821823.49359589,13251785.5598051,59872402.4751835,25625670.6681189,20793824.1553888,94525645.4059089,392627449.218288,334453871.665142,115835382.254172,64783220.3173617,118055085.255695,66787250.8138156,21324376.2038038,72817447.7919433,114010288.326587,465358447.0,16245971.4029048,290762918.316833,65956869.7677399,92392687.5125224
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,1386125871.74766,1018078095.9621,10930661.3780837,8118007.11819658,3471279.20266374,6077883.0178412,37551308.4822837,18970095.12772,17582464.6878574,60657770.6790498,269633355.953596,276971686.555951,70611047.6619756,37351140.5662475,59053650.8006308,33897366.3190997,9480709.43476137,38561060.3495156,59158608.626622,368047775.785565,16459284.575153,224617184.653968,51214681.1687217,75756625.3877222
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,1023433007.71762,756823212.157716,4491813.54694642,11139108.9020926,4081484.20778629,4754123.86503302,22934994.044592,8001980.61739074,13179332.3539326,31538133.6945812,231658078.200717,160693002.101407,77858188.9679212,10844130.1778455,110266584.560974,35376183.7836465,4280138.97227985,9672300.25837485,16053633.9021954,266609795.559901,14751878.8619778,151844890.653032,42168531.9671957,57844494.0776953
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,627217352.10778,482082839.301059,2593001.10837489,8916077.54600392,2448812.54973212,2681494.93203315,13904691.8152511,8504585.95233082,12737888.1574164,24548183.3702998,133350743.683167,120884581.829736,51277918.5667471,5980359.82342305,56767661.8298832,20227283.3053985,2543785.97830918,5491396.11625543,9224372.73669648,145134512.806722,7756881.38507641,74053206.6331806,18003673.4520691,45320751.3363957
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,425643566.417028,316806564.392014,30299715.919134,8601616.89530842,343044.935266109,1457072.77941272,13450631.6894749,6284667.55428378,7908113.53204751,14228764.8712125,78650558.0010427,64124292.8312259,26832446.2924887,584344.813409322,32238662.9263861,16211825.4918116,7693462.62326663,2254992.82816079,5642350.40808196,108837002.025014,5799119.06262331,55513033.0313862,14311168.9629378,33213680.968067
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,281326817.295279,215384929.216751,22862989.6297203,7025824.10906512,246055.837497214,1058879.01763991,10758039.6333179,4167502.61578615,7156191.88787088,10542466.2139358,30577593.0431659,46912747.0302985,25951714.1782465,338610.20883726,12759813.2164359,14037234.2224799,14944249.3458905,2350743.02400267,3694276.00256066,65941888.0785277,7021012.30719166,38985989.7558415,2848850.50629876,17086035.5091958
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,221570467.397738,162139831.13,857150.0,2136107.0,128106.0,695655.0,3501516.0,2426690.0,17254243.2,6216160.0,35053100.0,31417450.0,21408658.0,132635.0,15390851.2,14412425.0,6592903.8,1656930.0,2859250.93,59430636.2677381,4498838.06179872,39053238.7963012,5471364.00508375,10407195.4045545
