年份,批发零售贸易、住宿和餐饮业总投入,批发零售贸易、住宿和餐饮业中间使用,农、林、牧、渔业提供给批发零售贸易、住宿和餐饮业的中间使用,采矿业提供给批发零售贸易、住宿和餐饮业的中间使用,食品、饮料制造及烟草制品业提供给批发零售贸易、住宿和餐饮业的中间使用,纺织、服装及皮革产品制造业提供给批发零售贸易、住宿和餐饮业的中间使用,其他制造业提供给批发零售贸易、住宿和餐饮业的中间使用,电力、热力及水的生产和供应业提供给批发零售贸易、住宿和餐饮业的中间使用,炼焦、燃气及石油加工业提供给批发零售贸易、住宿和餐饮业的中间使用,化学工业提供给批发零售贸易、住宿和餐饮业的中间使用,非金属矿物制品业提供给批发零售贸易、住宿和餐饮业的中间使用,金属产品制造业提供给批发零售贸易、住宿和餐饮业的中间使用,机械设备制造业提供给批发零售贸易、住宿和餐饮业的中间使用,建筑业提供给批发零售贸易、住宿和餐饮业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给批发零售贸易、住宿和餐饮业的中间使用,批发零售贸易、住宿和餐饮业提供给批发零售贸易、住宿和餐饮业的中间使用,房地产业、租赁和商务服务业提供给批发零售贸易、住宿和餐饮业的中间使用,金融业提供给批发零售贸易、住宿和餐饮业的中间使用,其他服务业提供给批发零售贸易、住宿和餐饮业的中间使用,批发零售贸易、住宿和餐饮业增加值,批发零售贸易、住宿和餐饮业固定资产折旧,批发零售贸易、住宿和餐饮业劳动者报酬,批发零售贸易、住宿和餐饮业生产税净额,批发零售贸易、住宿和餐饮业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1350975667.52376,567571358.612422,35940051.8881274,26612.0678674807,101064917.616691,4215471.37364968,12779649.307012,11032543.6747755,3365905.0485397,4163458.12078695,158945.703131913,449023.063812559,21301494.0153628,3477952.32957206,48206065.0485846,58011486.1657954,199752874.889128,45711125.9917894,17913782.3077949,783404308.911333,38885929.3660129,364285622.608139,164099052.157782,216133704.7794
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,954898297.202534,361218975.291718,26006482.9022104,39254.652675929,73231217.6656754,3203238.23166723,8847282.92059526,10106857.4500028,3573268.74684359,3532969.17971969,148284.284278398,392416.565620165,12855928.0655874,2775646.24890472,32417396.3174458,38752735.9803848,102216945.793162,31590409.9673733,11528640.3195712,593679321.910817,38607529.0886709,211793058.577217,171664854.441928,171613879.803
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,646944042.304542,260710157.582656,25006235.8031267,267431.407089297,77075429.5948409,5945095.72991625,5901402.35176607,10769412.2945327,2418364.39696661,5322716.20574124,552713.307199797,623433.524896215,11536557.8256662,1543379.38588046,35787666.9141248,15900130.5612101,33738121.3405569,17458923.1893032,10863143.7498387,386233884.721886,30458423.6029235,132774136.326873,92523028.0839543,130478296.708135
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,436479767.811398,207488189.364795,17846691.2330256,552523.047951993,45946620.4140439,4841810.1388166,7609477.59381251,8886033.700632,2674324.93051524,4575554.84197051,349526.541863732,574376.61230247,12485288.5428911,1276015.2365869,31920890.2302677,14074297.6106811,28594040.8547607,14076559.9468204,11204157.8878524,228991578.446603,17640732.715046,57264921.0900246,48203024.4080288,105882900.233504
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,340898949.752159,173032966.271275,18755112.9211884,957765.187038699,28492904.9612432,2883661.97744397,9473663.67440976,9505844.80201272,5551993.33655738,5814484.57416391,665619.821658128,1073568.5522229,18265534.1776319,3939444.9211622,15955929.8953027,16441781.1259077,19209709.2809412,8254225.11939631,7791721.94299364,167865983.480884,13929973.4523964,44558721.18674,34376129.8530134,75001158.9887344
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,242910018.084582,121152598.993441,12693379.5404629,497301.23895165,18104503.1517139,2058539.08342148,7801290.35109917,4859462.19878829,2911038.17015081,3987849.2810897,398615.153447701,772648.459217962,14273143.1436847,2304846.24965321,6678044.74947989,12949236.1664941,14608221.4750167,11228353.8616837,5026126.71908495,121757419.091141,10020800.836907,49227169.4124412,40432339.5542618,22077109.2875308
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,169342750.095699,95807995.42731,9102805.0,189162.137,14369000.0,2225673.3,5843086.7,2063585.0,3664432.6,3358018.0,871392.9,650552.8,13503216.33,733633.5,5328325.54,14618017.0,11503534.0,6974741.0,808819.62031,73534754.6683888,5441584.14106135,40165853.1434696,18537801.461404,9389515.9224538
