年份,食品、饮料制造及烟草制品业总投入,食品、饮料制造及烟草制品业中间使用,农、林、牧、渔业提供给食品、饮料制造及烟草制品业的中间使用,采矿业提供给食品、饮料制造及烟草制品业的中间使用,食品、饮料制造及烟草制品业提供给食品、饮料制造及烟草制品业的中间使用,纺织、服装及皮革产品制造业提供给食品、饮料制造及烟草制品业的中间使用,其他制造业提供给食品、饮料制造及烟草制品业的中间使用,电力、热力及水的生产和供应业提供给食品、饮料制造及烟草制品业的中间使用,炼焦、燃气及石油加工业提供给食品、饮料制造及烟草制品业的中间使用,化学工业提供给食品、饮料制造及烟草制品业的中间使用,非金属矿物制品业提供给食品、饮料制造及烟草制品业的中间使用,金属产品制造业提供给食品、饮料制造及烟草制品业的中间使用,机械设备制造业提供给食品、饮料制造及烟草制品业的中间使用,建筑业提供给食品、饮料制造及烟草制品业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给食品、饮料制造及烟草制品业的中间使用,批发零售贸易、住宿和餐饮业提供给食品、饮料制造及烟草制品业的中间使用,房地产业、租赁和商务服务业提供给食品、饮料制造及烟草制品业的中间使用,金融业提供给食品、饮料制造及烟草制品业的中间使用,其他服务业提供给食品、饮料制造及烟草制品业的中间使用,食品、饮料制造及烟草制品业增加值,食品、饮料制造及烟草制品业固定资产折旧,食品、饮料制造及烟草制品业劳动者报酬,食品、饮料制造及烟草制品业生产税净额,食品、饮料制造及烟草制品业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,1262076278.99826,963680583.867917,453048076.941853,3547564.92203721,269505600.836104,4482197.96100743,755482.083889429,11871750.5265736,24526466.1293457,,5969996.08564679,4814090.0202573,5224348.29743866,239957.360577433,,,,,41182413.4852418,298395695.130346,26789100.5267357,103767978.008919,82762475.7154056,85076140.879285
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1144256391.76723,884145627.103658,425304059.755902,1596985.76010832,287332890.87482,1961078.47682797,13456516.4815114,6004438.43994093,723452.840265434,17938453.0653534,4638569.77287398,2782964.2435395,3801455.02256058,1162246.49434194,27762026.6561203,54869403.7324721,17122842.4473009,10825122.120144,6863120.91957463,260110764.663572,24210009.9401071,73436221.7250381,81045869.1579402,81418663.8404869
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,879595838.044386,672600996.642635,318414724.282421,2207682.09916549,200205807.589979,1512004.60915664,11777338.4658552,7831247.97683079,1410629.6922641,17482243.0522678,3967006.04778413,2771168.69260663,3177810.34607643,953145.051002497,28801681.3009164,45545282.9470365,11339615.1665718,9663331.72753463,5540277.59516579,206994841.401751,21676418.0107418,64181322.640561,62368022.9935346,58769077.7569138
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,674322854.347832,532194044.898974,267409864.682863,2087163.2153059,139281868.522459,1233454.68877472,14883696.0858933,7679627.51691237,1896848.08481029,18635924.2552942,4665757.48611402,3887410.34356287,4875077.11061884,190607.391300933,20730717.0542887,20326236.456728,12324720.9091943,6952813.42477929,5132257.67007427,142128809.448858,12827120.830553,41390650.5253129,46684861.6579558,41226176.4350366
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,417903946.653897,316119411.080161,159461184.417659,1499129.31058873,79566495.7040419,749352.487922606,10203995.6331674,4800059.8090771,1526463.99945748,12303066.2922219,2827726.03243095,2421013.34689539,3150791.55443162,107563.857622761,11887284.7600386,12253098.7239633,6357898.56583964,3921119.03644375,3083167.54835882,101784535.573736,14051519.7402399,30907477.6160689,32419380.3727136,24406157.8447137
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,258777955.816439,185142021.377903,92360742.8139795,1224671.89593224,40680829.7919257,515159.707921303,5439680.48201759,2898799.82891108,779765.213163807,8000008.05807999,1509295.36770521,2208122.02565441,2029425.43744475,85651.4352436737,7997428.02673637,10083866.731479,5160389.71254789,1613729.68264519,2554455.16651495,73635934.4385366,7781458.86211491,15307412.7742489,25664925.2049739,24882137.5971988
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,144807827.911793,99835961.0666339,48665195.4744888,578517.744971709,19517191.8649665,288534.161111124,3445671.57186191,1601605.95780678,351415.251848304,4769906.93425246,829371.132730544,1267906.48121393,1268581.56503736,39328.0986120493,3898697.36029839,7751174.54554076,3359790.18798504,1146338.98657261,1056733.74733567,44971866.8451587,6419373.1639103,12041767.536255,16584325.0676267,9926401.07736676
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,146508103.287729,100399412.85,59862700.0,518939.2,15770000.0,334723.0,3974829.4,1527740.0,394562.62,4083860.0,734792.0,947916.6,1274015.3,82607.8,1982753.23,5867276.0,1964981.7,901546.0,176170.0,46108690.4377291,7041765.46391378,18150700.7412216,11616865.6476187,9299358.584975
