年份,炼焦、燃气及石油加工业总投入,炼焦、燃气及石油加工业中间使用,农、林、牧、渔业提供给炼焦、燃气及石油加工业的中间使用,采矿业提供给炼焦、燃气及石油加工业的中间使用,食品、饮料制造及烟草制品业提供给炼焦、燃气及石油加工业的中间使用,纺织、服装及皮革产品制造业提供给炼焦、燃气及石油加工业的中间使用,其他制造业提供给炼焦、燃气及石油加工业的中间使用,电力、热力及水的生产和供应业提供给炼焦、燃气及石油加工业的中间使用,炼焦、燃气及石油加工业提供给炼焦、燃气及石油加工业的中间使用,化学工业提供给炼焦、燃气及石油加工业的中间使用,非金属矿物制品业提供给炼焦、燃气及石油加工业的中间使用,金属产品制造业提供给炼焦、燃气及石油加工业的中间使用,机械设备制造业提供给炼焦、燃气及石油加工业的中间使用,建筑业提供给炼焦、燃气及石油加工业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给炼焦、燃气及石油加工业的中间使用,批发零售贸易、住宿和餐饮业提供给炼焦、燃气及石油加工业的中间使用,房地产业、租赁和商务服务业提供给炼焦、燃气及石油加工业的中间使用,金融业提供给炼焦、燃气及石油加工业的中间使用,其他服务业提供给炼焦、燃气及石油加工业的中间使用,炼焦、燃气及石油加工业增加值,炼焦、燃气及石油加工业固定资产折旧,炼焦、燃气及石油加工业劳动者报酬,炼焦、燃气及石油加工业生产税净额,炼焦、燃气及石油加工业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,1866525446.42063,1425998071.24652,51363267.4908969,257720478.430518,34935669.6387339,10821029.9484658,4513965.72770105,62594518.1991749,704290979.116447,,10354655.1107651,23313490.3155818,21160964.6861759,467702.744517774,,,,,54156992.253678,440527375.174105,53572405.561581,124358083.708849,136687706.523281,125909179.380394
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,442442394.851974,349321274.066058,26923.1861294423,192419638.169517,5756901.42829497,866317.715241035,1328785.82093764,15651308.9995224,50521553.7987149,17209280.3401854,3132702.2025392,672600.555264307,10435473.4485719,1146077.4328852,13308211.8135774,11673817.4062456,6810335.02796562,14084587.1023383,4276759.61812756,93121120.785916,9676304.61966127,15034559.0530428,47545739.4984962,20864517.6147158
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,431360192.331024,350178850.995999,19198.9769909729,263731669.002788,2420134.77705153,330135.125349252,611362.133574066,7201425.64206661,32443995.5922624,10088573.5689529,2900895.11449252,379469.784873111,5492826.61263738,570451.119949289,8183955.74006773,5392879.25591133,2492540.21304664,6185790.74760193,1733547.58838323,81181341.3350253,10372692.199213,16776248.3854481,41520976.594738,12511424.1556261
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,301486097.232789,241663717.25969,6680.89626524185,187746026.857545,1397667.17349468,139950.862917201,446515.164778897,5483142.86809278,18214900.8542896,5620623.98589287,1017394.56155934,1157540.81806573,5339855.41412031,144703.625468078,6652821.3125777,4051298.13130957,1432175.31680114,1759381.56818378,1053037.84832851,59822379.9730986,7218477.24619249,9740359.66242781,32157664.5662524,10705878.4982259
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,221828537.609747,182086948.111561,6249.63031795914,136375665.586056,1266977.2209581,235297.849908944,437846.843136884,5147428.82155932,13239342.2909239,3997051.47440456,882891.388519506,1139935.49888647,5228123.07696138,124342.025104913,6300694.12824033,3671193.99256229,1201634.04798983,1770994.40087372,1061279.83515692,39741589.4981866,7920344.94741599,11886364.3544207,10729269.3739854,9205610.82236463
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,133644986.769488,107614231.770986,76115.5259347732,82336655.475161,,132475.167794216,299235.946669483,3111583.5829576,5834530.16594402,1684830.59389578,358510.565061329,898155.009280561,2425469.20489811,38657.9657993128,5104752.70400724,2950197.57808093,588721.394856063,660011.220839545,1114329.66980565,26030754.9985022,5791297.36410721,5278379.07514147,8837160.6983919,6123917.86086165
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,64483952.190134,53278847.8737266,46879.1464688371,37394821.3022003,,89675.1024163236,196089.477847872,1604966.76066812,3156408.8411452,1113519.13107213,151072.006083809,611560.824939939,1760947.66137755,22243.3764459087,2963537.60572965,2215739.44079597,679107.097168056,558036.959779216,714243.139587742,11205104.3164074,2295399.09871514,3422127.76161618,3711261.80286233,1776315.65321375
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,83211417.2383159,62494043.158,342.039,44976991.789,,115304.56,247167.62,2064048.0,6404799.8,1248344.1,243572.27,293546.59,2035873.63,61823.5,1635607.784,2024022.37,434935.54,587042.1,120621.466,20717374.0803159,3800948.66041755,5991478.56123485,6274442.55649776,4650504.30216572
