年份,非金属矿物制品业总投入,非金属矿物制品业中间使用,农、林、牧、渔业提供给非金属矿物制品业的中间使用,采矿业提供给非金属矿物制品业的中间使用,食品、饮料制造及烟草制品业提供给非金属矿物制品业的中间使用,纺织、服装及皮革产品制造业提供给非金属矿物制品业的中间使用,其他制造业提供给非金属矿物制品业的中间使用,电力、热力及水的生产和供应业提供给非金属矿物制品业的中间使用,炼焦、燃气及石油加工业提供给非金属矿物制品业的中间使用,化学工业提供给非金属矿物制品业的中间使用,非金属矿物制品业提供给非金属矿物制品业的中间使用,金属产品制造业提供给非金属矿物制品业的中间使用,机械设备制造业提供给非金属矿物制品业的中间使用,建筑业提供给非金属矿物制品业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给非金属矿物制品业的中间使用,批发零售贸易、住宿和餐饮业提供给非金属矿物制品业的中间使用,房地产业、租赁和商务服务业提供给非金属矿物制品业的中间使用,金融业提供给非金属矿物制品业的中间使用,其他服务业提供给非金属矿物制品业的中间使用,非金属矿物制品业增加值,非金属矿物制品业固定资产折旧,非金属矿物制品业劳动者报酬,非金属矿物制品业生产税净额,非金属矿物制品业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,649457466.78087,463342761.371858,207313.792191609,80906200.942956,1636688.55578952,3948564.82200954,3084637.67205655,33136453.6739678,61402366.5092415,,121417931.144837,34600612.450999,22301825.0867091,150939.744838348,,,,,19135800.6887668,186114705.409012,25650613.6490411,69163633.3933462,22971926.5129176,68328531.8537072
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,642897137.42153,512227521.330381,350207.243965435,69765161.7998069,4866569.83127463,8294265.485246,17973458.8351028,29174349.7598463,17029655.7449471,59624375.5304756,131960061.171823,35714574.0765149,31051507.3272585,1615876.55782517,34626874.1112314,26337752.2527804,13020020.0561503,19911001.2074595,10911810.3386733,130669616.091149,19642471.5639087,47371541.8454451,22492685.5504111,41162917.1313842
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,466046232.057356,348309102.204462,175060.909196425,59970210.8901706,2121071.87799395,3974040.90678163,11975967.0210155,26950258.5839351,17769103.9290266,36538017.0328953,92477446.8390653,23691250.5968189,17347467.9576288,900479.696091699,19672977.0284032,12714170.6150835,5448894.93341819,11468895.0935669,5113788.29337009,117737129.852894,19280142.7484125,46780569.5362705,25059412.1433685,26617005.424843
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,400640738.766875,312706857.530592,188364.464205849,53273771.9069702,1412355.90176387,1916140.43265835,18993295.4213045,24937855.8197463,16821951.2280238,30351444.6832146,76537459.9117728,22245243.6803376,16579675.8353076,134286.503896023,18960945.2637342,12297293.6239597,3410573.78931211,10383029.2412383,4263169.82314611,87933881.236283,12075854.6026468,31084977.8516414,16926668.8950929,27846379.8869019
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,228043740.330725,165398426.610186,86862.1486489201,28910359.1336803,768893.407009141,1081367.61735675,10963140.3529562,14685346.0542743,7187742.95951809,17365493.0685244,37839321.6516536,11926722.4647671,9486800.66352125,67222.7410734551,9455210.91964748,6257847.20119003,1573276.24601811,5245677.24161825,2497142.73872872,62645313.7205386,8191780.78478154,21955535.437694,13519527.2443951,18978470.253668
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,153602496.267033,110644539.024594,133284.209963885,16048850.2609307,2944.8638842836,1226434.5756191,6677696.5149679,13183529.9548105,6151745.315218,10582518.4611183,14039767.1281655,8783823.78970961,7600112.80742221,162381.922274271,10031693.863207,8012310.07621499,2175287.48039394,3667340.11828715,2164817.68240627,42957957.2424391,6226386.61870884,13908788.3594085,7394646.7349679,15428135.5293538
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,58045337.1744104,38958085.9015766,44796.7395160383,5614025.20734102,1202.39410699585,460093.783189261,2555283.84089625,3572869.20232299,1757973.1878799,3879190.78125598,4693308.49879143,3026135.67621373,2940913.15470143,48679.5274478744,3386467.77752413,3277283.62531547,1202562.3138832,1783717.81535011,713582.375840768,19087251.2728338,3690998.2151757,9880149.26241005,4513542.16104831,1002561.63419972
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,62751302.0,44195399.61,216072.0,4032529.7,59126.6,1071655.0,4398649.0,4900150.0,2753838.2,4673320.0,5542450.0,3648620.0,3205812.0,57950.7,3396886.5,4371929.0,670078.2,1063380.0,132952.71,18555901.5233895,3659214.95771714,9726872.56014348,3261846.16164447,1907967.84388437
