年份,金属产品制造业总投入,金属产品制造业中间使用,农、林、牧、渔业提供给金属产品制造业的中间使用,采矿业提供给金属产品制造业的中间使用,食品、饮料制造及烟草制品业提供给金属产品制造业的中间使用,纺织、服装及皮革产品制造业提供给金属产品制造业的中间使用,其他制造业提供给金属产品制造业的中间使用,电力、热力及水的生产和供应业提供给金属产品制造业的中间使用,炼焦、燃气及石油加工业提供给金属产品制造业的中间使用,化学工业提供给金属产品制造业的中间使用,非金属矿物制品业提供给金属产品制造业的中间使用,金属产品制造业提供给金属产品制造业的中间使用,机械设备制造业提供给金属产品制造业的中间使用,建筑业提供给金属产品制造业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给金属产品制造业的中间使用,批发零售贸易、住宿和餐饮业提供给金属产品制造业的中间使用,房地产业、租赁和商务服务业提供给金属产品制造业的中间使用,金融业提供给金属产品制造业的中间使用,其他服务业提供给金属产品制造业的中间使用,金属产品制造业增加值,金属产品制造业固定资产折旧,金属产品制造业劳动者报酬,金属产品制造业生产税净额,金属产品制造业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,1474812341.9127,1135312174.18719,118480.872446712,212593694.541969,9311130.02278547,2724334.02399784,58220939.6379104,71480467.0398354,77522605.53399,,20424451.0445186,488611814.669243,37344675.9068955,231833.140147215,,,,,24729059.2054544,339500167.725509,51147267.6838385,124198053.520108,49928444.6778834,114226401.843679
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1551854604.54193,1315310863.85705,410539.341030457,203521954.866737,9647327.41831605,5490963.24929663,53806849.7502944,88049549.3206922,52074201.7385973,45605740.6645205,28382896.4129134,588535110.789262,59451185.7974483,2504524.40174356,46303135.6698032,34221408.6716946,18664300.9980466,57336998.756875,21304176.0097792,236543740.68488,44213090.4242017,90897098.9781587,44230217.6453341,57203333.6371856
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,1423397994.81911,1161034465.8195,277192.774012425,212647735.277419,5709769.80761793,3131969.81875435,57740234.5426108,61875071.7899878,53602126.6692256,33844656.700066,21130202.8454583,550123644.398781,41230155.2501116,1732048.73575067,34683172.561532,20479636.8140662,9405019.87561901,38926324.0557274,14495503.9027563,262363528.999616,47364671.6055866,90082332.0899134,42432468.1482673,82484057.1558491
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,1065785795.3711,873790627.054582,125102.783270859,196425248.722249,3480928.16122797,3035767.6900896,40146107.5858128,56294822.163168,38125546.43173,20812019.2356073,20554223.3432072,358415328.265993,54226300.4897123,303789.662109745,30264336.0417467,24659557.538301,3432831.10885625,13920673.3931662,9568044.43833288,191995168.316522,37094466.2623824,71898387.3578711,33518914.9510347,49483399.745234
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,788014509.303815,631857667.825931,72806.8887249472,105610098.664923,2488087.03767284,2143090.8053785,34641206.1210851,37649949.588598,30761166.7520141,14939191.5657972,10148152.5150618,297229186.728213,38943613.4162211,205821.082985899,22335633.9795461,16692183.8007532,2056537.79160149,9005460.10794137,6935480.97941355,156156841.477884,21390815.3678934,43715156.1996042,38750746.601959,52300123.3084275
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,420664813.443922,331608324.773416,72075.8245994004,49949849.7781133,,1001625.30844332,18305401.7459867,23606451.1931995,13953820.0930535,8184742.07865025,7562020.25256755,150950202.789916,14044900.9905691,255343.763980609,20329665.0868675,13481185.035594,2357239.12133017,2760895.20912028,4792906.50142458,89056488.6705056,16768685.4749458,23954642.1697366,19273043.1500585,29060117.8757648
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,213653417.958036,161963370.441342,36819.8002251245,19883597.4593226,,561993.396055874,8221507.00270174,10665426.8750645,6066173.58621741,4294499.98723277,3355111.98257006,75074276.897663,8342400.83365095,110439.907640654,8713316.27491757,9019175.73020832,3505604.18417501,1882277.41690105,2230749.10679576,51690047.5166936,8632347.79210984,22819739.4305168,10050860.2941196,10187099.9999473
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,157266045.073246,125877336.91,42590.18,10850059.35,,621704.0,6415187.3,15079780.0,8784424.8,3660110.0,2414982.0,52084702.0,7301837.3,136174.7,6854492.3,5664359.0,1788855.0,3673830.0,504248.98,31388708.1632455,6612112.39323647,13739274.9575419,7027358.57415967,4009962.23830743
