年份,农、林、牧、渔业总投入,农、林、牧、渔业中间使用,农、林、牧、渔业提供给农、林、牧、渔业的中间使用,采矿业提供给农、林、牧、渔业的中间使用,食品、饮料制造及烟草制品业提供给农、林、牧、渔业的中间使用,纺织、服装及皮革产品制造业提供给农、林、牧、渔业的中间使用,其他制造业提供给农、林、牧、渔业的中间使用,电力、热力及水的生产和供应业提供给农、林、牧、渔业的中间使用,炼焦、燃气及石油加工业提供给农、林、牧、渔业的中间使用,化学工业提供给农、林、牧、渔业的中间使用,非金属矿物制品业提供给农、林、牧、渔业的中间使用,金属产品制造业提供给农、林、牧、渔业的中间使用,机械设备制造业提供给农、林、牧、渔业的中间使用,建筑业提供给农、林、牧、渔业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给农、林、牧、渔业的中间使用,批发零售贸易、住宿和餐饮业提供给农、林、牧、渔业的中间使用,房地产业、租赁和商务服务业提供给农、林、牧、渔业的中间使用,金融业提供给农、林、牧、渔业的中间使用,其他服务业提供给农、林、牧、渔业的中间使用,农、林、牧、渔业增加值,农、林、牧、渔业固定资产折旧,农、林、牧、渔业劳动者报酬,农、林、牧、渔业生产税净额,农、林、牧、渔业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,1101240339.56656,446716806.567994,146837892.414638,618681.641730552,95429792.63125,220878.149018812,162651.176373229,10039869.6441306,94975047.0020155,,472505.668313535,1004273.00248263,13229625.8802458,750296.040230272,,,,,9088672.18103087,654523532.998569,22853924.3728632,652709226.265703,-34106164.4009778,13066546.7609813
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1070563648.68972,441523148.400039,138998154.315437,39718.8591582119,131671149.668893,485911.420947539,708054.682735182,7238433.71667723,9365810.51683402,97413171.4675566,246852.432007611,424382.14915338,8872037.5420793,91308.56310347,12700448.3907415,13388643.1033844,416636.452788819,10926573.93388,8535861.18466185,629040500.289677,20600414.9218954,635107176.683814,-39300200.0,12633108.6839676
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,894213473.191527,370625314.01072,123205603.451774,59549.2083807166,94118243.5417301,397114.613178941,669336.189830738,8920335.71044198,14499087.9430496,75796652.0338487,289937.832727609,429625.3695984,7309381.93123375,81428.0899742014,11724430.0006816,13979197.7114386,320135.164657712,11048752.1671095,7776503.05106349,523588159.180807,22581542.1845129,529963185.764565,-28956568.7682706,
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,693198000.0,287862000.0,92202499.5836369,562009.476028749,71246063.5214811,362264.724407303,2004176.68728304,7092896.39992181,4900754.99648773,54421113.8217003,987155.904726308,2363358.51944571,6761072.13689671,172743.704477221,15487695.5378619,11376971.3659144,1170581.78037052,5514421.04173832,11236220.7976218,405336000.0,18924174.38599,385628325.61401,783500.0,
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,488929999.906421,202338262.213172,68771565.467088,330853.561047181,47022865.055871,271598.959656525,1469214.67531524,4673773.96942734,3961123.9753875,37291505.9370712,692876.994128025,1458964.18979246,5310450.21304781,113271.449163029,9707947.25386879,8517007.88524498,818680.585945278,4063621.63263329,7862940.4084841,286591737.693249,14297447.674872,271816270.018377,478020.0,
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,393566962.496529,162757603.895793,61717615.1995775,1699349.53509911,27383558.364021,336761.593137298,1857791.72813538,4339453.04953664,4188809.70129523,25982159.969807,1179405.46345941,1425315.86498291,4530911.90589127,746537.649186054,9132506.07808109,8615858.13815163,1003741.10536239,4143830.81469695,4473997.73537182,230809358.600736,11945295.1984554,208972657.299572,1209199.2215367,8682206.88117229
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,285787422.989724,119482762.054965,46368195.5851701,980424.621672107,15717459.6670905,213489.736366619,1614620.88376194,3310202.53634824,2814691.71361744,19248702.0597101,900993.808475095,1162704.4193848,3964841.28227261,497113.205506275,6152180.20258996,7957969.71951315,1194940.61686932,4513873.13935976,2870358.85725717,166304660.934759,7649132.09558494,133159686.496138,5446504.26679617,20049338.07624
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,264482669.860909,111522265.08,40355500.0,439177.3,15108300.0,797955.0,818887.4,3065830.0,3703100.0,24747300.0,509764.0,723665.8,4241720.2,569970.0,3689724.0,5026066.0,1405699.6,1522460.0,4797145.78,152960404.780909,5968377.21838323,134431208.138413,4150515.69364656,8410303.7304667
