年份,金融业总投入,金融业中间使用,农、林、牧、渔业提供给金融业的中间使用,采矿业提供给金融业的中间使用,食品、饮料制造及烟草制品业提供给金融业的中间使用,纺织、服装及皮革产品制造业提供给金融业的中间使用,其他制造业提供给金融业的中间使用,电力、热力及水的生产和供应业提供给金融业的中间使用,炼焦、燃气及石油加工业提供给金融业的中间使用,化学工业提供给金融业的中间使用,非金属矿物制品业提供给金融业的中间使用,金属产品制造业提供给金融业的中间使用,机械设备制造业提供给金融业的中间使用,建筑业提供给金融业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给金融业的中间使用,批发零售贸易、住宿和餐饮业提供给金融业的中间使用,房地产业、租赁和商务服务业提供给金融业的中间使用,金融业提供给金融业的中间使用,其他服务业提供给金融业的中间使用,金融业增加值,金融业固定资产折旧,金融业劳动者报酬,金融业生产税净额,金融业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,882407185.025851,303686667.856588,6587.77584698564,0.0,2333611.3530218,3930795.56472544,22211871.9978264,2851415.21033333,1493347.22315837,468142.899355579,54565.8657233226,58086.5017506695,2757120.78095619,4017805.20823204,37455251.8126279,34947832.7228013,113372742.276055,59578886.8721133,18148603.7920608,578720517.169263,10093433.4981524,174313912.056658,74253419.8637028,320059751.75075
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,590140254.289307,238262754.60233,6440.62310165176,,1558187.39678337,3342153.57535739,19648448.6680794,3540103.19257562,2468447.97202774,516472.728476158,50870.1780865954,79606.2582547156,2896320.02005125,5071291.01610164,28096102.1449671,27608869.721571,91481906.3591203,36484766.390961,15412768.3568149,351877499.686977,9100455.96514643,110239772.093776,39314016.1061542,193223255.5219
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,322865825.537,113059491.621805,,,902362.941506249,895038.755014168,6834849.57425676,3205635.47370969,2035928.797504,1092664.71337554,51724.7274786355,291246.216960493,4448405.54989533,466196.649517589,18570979.0658719,13255060.4569699,29995727.2528328,25911913.586989,5101757.85992303,209806333.915195,4919116.9553276,66609818.8203929,25551609.4219278,112725788.717547
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,194810240.058876,60497405.4413363,,,405826.86549139,451913.222728778,5311643.67455873,1810297.82442586,1224492.30958504,550568.768700591,29130.2278538981,128581.656427133,2374149.03309369,248237.333150862,9428755.7750224,8113192.93926834,13817731.3158219,12505566.8328775,4097317.66233017,134312834.61754,1938269.18093896,34887740.7410449,15160685.772997,82326138.9225587
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,102616150.812277,39472396.9940885,,55664.4634202872,14891.3045874176,402183.210739453,2146763.18717484,1284436.29339612,532233.827910518,495730.783070593,134717.80247147,218692.408264827,3580781.30364914,2297277.21801085,8931559.93451815,4285437.74598977,6431620.72011627,6357392.72379933,2303014.0669695,63143753.8181883,1464898.28893972,24974024.9127832,7734732.71377011,28970097.9026953
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,173306319.334314,71168198.653358,113677.829886887,432646.873210403,207353.964118266,378748.499927551,6100944.08543727,2361386.79108658,508050.088576902,654988.474173535,917321.112162871,1930527.89337756,26819656.2535972,3697727.53239194,2445889.97870778,6479816.47272622,8025661.10222894,7589118.13798811,2504683.56375998,102138120.680956,40344121.1732217,23742432.2672386,11241912.8025421,26809654.4379537
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,51651589.7691475,13224800.74,,17183.0,6251.98,85554.37,1172749.6,218178.0,143604.45,95516.4,41455.0,55395.6,1723640.7,622106.0,1525555.0,847051.0,3959280.0,2474000.0,237279.64,38426789.0291475,3208592.06569835,15506897.0100721,12413824.642532,7297475.31084516
