年份,纺织、服装及皮革产品制造业总投入,纺织、服装及皮革产品制造业中间使用,农、林、牧、渔业提供给纺织、服装及皮革产品制造业的中间使用,采矿业提供给纺织、服装及皮革产品制造业的中间使用,食品、饮料制造及烟草制品业提供给纺织、服装及皮革产品制造业的中间使用,纺织、服装及皮革产品制造业提供给纺织、服装及皮革产品制造业的中间使用,其他制造业提供给纺织、服装及皮革产品制造业的中间使用,电力、热力及水的生产和供应业提供给纺织、服装及皮革产品制造业的中间使用,炼焦、燃气及石油加工业提供给纺织、服装及皮革产品制造业的中间使用,化学工业提供给纺织、服装及皮革产品制造业的中间使用,非金属矿物制品业提供给纺织、服装及皮革产品制造业的中间使用,金属产品制造业提供给纺织、服装及皮革产品制造业的中间使用,机械设备制造业提供给纺织、服装及皮革产品制造业的中间使用,建筑业提供给纺织、服装及皮革产品制造业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给纺织、服装及皮革产品制造业的中间使用,批发零售贸易、住宿和餐饮业提供给纺织、服装及皮革产品制造业的中间使用,房地产业、租赁和商务服务业提供给纺织、服装及皮革产品制造业的中间使用,金融业提供给纺织、服装及皮革产品制造业的中间使用,其他服务业提供给纺织、服装及皮革产品制造业的中间使用,纺织、服装及皮革产品制造业增加值,纺织、服装及皮革产品制造业固定资产折旧,纺织、服装及皮革产品制造业劳动者报酬,纺织、服装及皮革产品制造业生产税净额,纺织、服装及皮革产品制造业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,757438910.354255,618021137.396605,76034317.5227868,2004359.16001112,13971008.604508,329219988.461905,1431845.75846884,9939188.15459968,71170936.3552214,,539002.18547147,2706976.79923283,5351256.24766146,193399.024132466,,,,,17636060.6242674,139417772.957649,13256786.7226246,83771409.3635032,3049609.11542297,39339967.7560987
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,834957533.661444,656300464.983832,106927648.831514,715114.608063668,17664865.3848293,361142140.570199,7217743.93576588,8577666.73551559,530400.142409772,59701603.1142552,540940.915493939,1183895.87409992,6183838.52607518,764644.848800844,16097917.966007,47832551.5429036,7753397.83108481,8523312.27153221,4942781.8852825,178657068.677612,16908200.5795625,92864860.8887893,25884698.2269205,42999308.98234
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,662820783.770474,530028180.930515,73490811.3047756,1605872.1539747,13385333.8672739,295462828.718794,6045303.14665728,9561630.00009382,955442.941278825,55845849.8971805,492842.271450297,1100063.63673419,4855200.71705097,658204.364507606,14456224.4567959,36600516.9600769,4815239.1839918,7020004.24685555,3676813.06302333,132792602.839959,13535654.2500024,67871780.2619726,17744167.3927175,33641000.9352668
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,567717977.389044,454191823.319245,62778411.5436274,2141602.12840939,14548981.0471169,247546835.178968,9316436.30101686,8479185.69265788,2291032.16237399,49582121.9913804,1085704.04669303,2184167.99133811,8567601.16146669,139328.346485817,13712425.1582079,11142629.4720399,9208345.29173535,7630612.71458583,3836403.09114086,113526154.069799,11709066.7631607,59503216.4494123,19934070.1045054,22379800.7527209
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,432699283.108018,343236817.464014,44092208.5075236,1863066.81908644,10803578.8344007,188117751.690938,7110725.26327734,7153135.68826897,2134594.81070439,40750401.9805909,812110.16671203,1655480.69445305,6882443.98452577,98445.8814384621,9363765.51105328,8238132.86821812,5929103.59741689,5216168.4710502,3015702.69435488,89462465.6440045,8461686.15634678,37411997.2481651,19060065.8838515,24528716.3556411
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,280820100.76656,216319757.275493,31012593.8832028,1322065.10723558,4657512.95538773,102906083.043122,3751798.31645902,5139124.71268687,1130441.07776222,27083408.4810549,626596.169082697,1255379.09717097,4830239.63310839,151369.494818935,8677713.33260043,12006235.6043039,6058597.47055642,2150454.38790917,3560144.50903152,64500343.4910661,7818374.46561318,27503029.0020619,10205817.4953034,18973122.5280876
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,156354358.234318,117744729.883112,14929518.0096171,509728.51719623,2469542.27832008,58077333.6256523,2194545.46710254,2582377.95835857,465639.85849713,13670509.2575895,327418.20652507,667973.267182366,2929626.93683408,66420.4050973748,3335444.30101985,8525567.37159477,4018055.33359469,1560268.99381263,1414760.09511811,38609628.3512055,5010471.52951835,18459317.0335143,6093461.78300171,9046378.0051712
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,170892098.268161,125946715.203,14297790.0,387774.383,2431180.3,72946931.0,1462122.57,1470560.0,357705.27,14821590.0,169958.7,464741.3,2321165.7,115377.6,2610251.4,9104068.0,1405784.6,1407194.0,172520.38,44945383.0651604,8593984.82673447,20351218.0088055,8570927.50226585,7429252.72735454
