年份,其他制造业总投入,其他制造业中间使用,农、林、牧、渔业提供给其他制造业的中间使用,采矿业提供给其他制造业的中间使用,食品、饮料制造及烟草制品业提供给其他制造业的中间使用,纺织、服装及皮革产品制造业提供给其他制造业的中间使用,其他制造业提供给其他制造业的中间使用,电力、热力及水的生产和供应业提供给其他制造业的中间使用,炼焦、燃气及石油加工业提供给其他制造业的中间使用,化学工业提供给其他制造业的中间使用,非金属矿物制品业提供给其他制造业的中间使用,金属产品制造业提供给其他制造业的中间使用,机械设备制造业提供给其他制造业的中间使用,建筑业提供给其他制造业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给其他制造业的中间使用,批发零售贸易、住宿和餐饮业提供给其他制造业的中间使用,房地产业、租赁和商务服务业提供给其他制造业的中间使用,金融业提供给其他制造业的中间使用,其他服务业提供给其他制造业的中间使用,其他制造业增加值,其他制造业固定资产折旧,其他制造业劳动者报酬,其他制造业生产税净额,其他制造业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,118357529.096166,50995753.8569484,2193471.40496324,173522.429877624,490997.308714118,3547683.93499318,8199778.22507455,2004774.56405104,8063700.76139815,,382039.061292049,7770805.96133553,7780276.79155943,59849.3999850734,,,,,2220681.43316679,67361775.2392179,3184898.68852373,16084390.5032849,13136327.5599437,34956158.4874655
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,745169657.94508,586126333.747924,49318228.4499893,3703190.83157047,6462296.27513534,32901389.247261,218646578.680693,13518328.6318591,2486844.67952734,80753141.4633837,4006742.75357514,46836699.5420114,23504027.8591398,1650990.58784633,27183493.7771388,32192883.3672011,16122719.6605523,17416071.4897739,9422706.4512666,159043324.197156,18891676.4718373,70604603.3612403,24833948.7149657,44713095.6491125
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,557804723.237175,405581831.142689,35232318.7105298,4817129.4166944,3045958.15821439,20756289.3419365,159416634.659783,10936917.546376,2600156.52318668,57798545.7697183,2679061.07119396,35990869.3471181,12991512.6041475,993040.300742703,17034487.8318368,18400859.6492319,7620591.43558243,10057902.4958399,5209556.28055732,152222892.094486,17109712.8381912,57102310.1858738,21063195.599561,56947673.4708599
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,494952711.955426,362632357.625639,38066665.3505168,3946410.48962843,2968408.2746546,19531053.1402081,141439408.355945,11942444.3522122,2962527.40363298,50957757.9788963,4049748.09465186,26322514.4604707,15202955.8947043,110819.938254381,15234723.5054742,12998924.9498076,6119798.96448298,6823887.08643436,3954309.3856638,132320354.329787,12117750.3562893,39890174.3453868,18279098.95888,62033330.6692308
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,364763391.982445,252326180.71236,25342094.0509901,2120140.64920387,1904790.40728348,13567810.4850399,100711843.424327,7799484.61767086,2053188.96150106,37248708.5747794,2734077.28319794,19548658.8008932,10812404.0203211,71086.747012921,9477810.26843712,8496668.00982243,3718547.70224162,4104462.96189608,2614403.74774173,112437211.270085,8899700.76515006,30152182.7235033,16872715.6125944,56512612.1688369
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,218409736.732517,154475300.257744,14862440.6213144,2062833.15249643,212442.156857295,7813129.16844144,52765132.6636034,5379667.29274494,2297023.75092822,22630421.051976,1294416.0937084,9699000.51853446,6044087.95207192,221756.723551266,10111019.1143876,11837863.55153,3106686.70571726,2146328.33921372,1991051.40066674,63934436.4747735,6657360.38360253,18424180.0209501,8180561.74031859,30672334.3299023
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,138916352.671387,90229653.0016764,7931416.34029049,893993.403954846,116666.786186177,4460309.2419453,31922391.1800098,2918721.64539586,995109.570957588,12591761.6186103,722486.356341038,5347286.66596574,3875755.33568911,101526.840041065,4865707.14419827,8187930.61932963,2640750.54612753,1585900.03422201,1071939.67241166,48686699.6697109,6067508.99291746,17791707.1501955,8443995.33442758,16383488.1921703
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,89257895.0138969,59293735.147,4191934.0,996271.155,61861.08,6249882.98,19243383.32,3885102.0,582083.768,7550987.0,579731.0,3449911.7,2777540.09,93094.1,2025887.6,5319527.7,1046135.24,895594.6,344807.814,29964159.8668969,4006315.45679984,11742337.3848926,3379950.7044572,10835556.3207473
