年份,电力、热力及水的生产和供应业总投入,电力、热力及水的生产和供应业中间使用,农、林、牧、渔业提供给电力、热力及水的生产和供应业的中间使用,采矿业提供给电力、热力及水的生产和供应业的中间使用,食品、饮料制造及烟草制品业提供给电力、热力及水的生产和供应业的中间使用,纺织、服装及皮革产品制造业提供给电力、热力及水的生产和供应业的中间使用,其他制造业提供给电力、热力及水的生产和供应业的中间使用,电力、热力及水的生产和供应业提供给电力、热力及水的生产和供应业的中间使用,炼焦、燃气及石油加工业提供给电力、热力及水的生产和供应业的中间使用,化学工业提供给电力、热力及水的生产和供应业的中间使用,非金属矿物制品业提供给电力、热力及水的生产和供应业的中间使用,金属产品制造业提供给电力、热力及水的生产和供应业的中间使用,机械设备制造业提供给电力、热力及水的生产和供应业的中间使用,建筑业提供给电力、热力及水的生产和供应业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给电力、热力及水的生产和供应业的中间使用,批发零售贸易、住宿和餐饮业提供给电力、热力及水的生产和供应业的中间使用,房地产业、租赁和商务服务业提供给电力、热力及水的生产和供应业的中间使用,金融业提供给电力、热力及水的生产和供应业的中间使用,其他服务业提供给电力、热力及水的生产和供应业的中间使用,电力、热力及水的生产和供应业增加值,电力、热力及水的生产和供应业固定资产折旧,电力、热力及水的生产和供应业劳动者报酬,电力、热力及水的生产和供应业生产税净额,电力、热力及水的生产和供应业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,634986429.784823,431097570.216039,65443.9575829175,108789111.517227,4327406.8736109,1073786.55966829,2713424.17872669,173314032.260483,13084735.0349352,,1359518.29020318,1146543.17973351,51677174.0960947,1999023.16660834,,,,,13996969.5405164,203888859.568783,74806388.6270373,67025455.5333819,30204141.4124653,31852873.9958988
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,615101423.509997,473270466.911936,97966.528270545,76935482.3662637,3194096.52306248,761932.687853842,3348049.79117432,237444237.194902,19478168.8337417,2734677.75803789,472073.381301108,1194611.4752035,47105626.8927576,3034495.69606006,12720592.9182812,11374039.7615847,3766859.58998488,37956714.7683722,11650840.7450846,141830956.598061,41867997.5125314,39268100.4325273,14804804.485585,45890054.167417
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,503944452.381436,370587467.334643,56098.8290385246,93540877.1452387,1779617.68118244,376064.284399377,2080903.42213102,163075515.908526,19873766.4740041,1733835.31907893,373322.180478969,812558.691853806,36336283.5115626,2061253.97573922,8205567.58425617,6741294.44651545,1880337.14389394,24553146.2837773,7107024.45296628,133356985.046793,46573015.5678381,39918222.0003845,21373796.3514843,25491951.1270858
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,477306939.799391,355247207.036789,11154.5263398727,87924649.1804903,1403150.94235506,1753268.39548631,1568149.35356877,156901774.20985,12949655.7136894,2300278.68564193,993096.584068839,3640824.48645069,39387614.2703479,181219.426672925,8578194.35088973,5238814.53669359,2267060.60116116,19132470.5031306,11015831.2699519,122059732.762601,45822886.4717427,39457816.0360184,21644864.6492165,15134165.6056236
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,326648146.102665,233069000.639285,4388.00114932279,36733026.8237914,973452.497292796,1102422.77002798,1069964.96962881,116257121.92673,13218387.6629037,1559539.92878013,652207.155723763,2078830.59456728,29694653.7524032,110065.648745298,5581515.43659475,3306550.24906081,1257014.52895819,11833103.9659344,7636754.7269929,93579145.4633804,39861979.8975863,23423403.3706452,12181448.3737188,18112313.8214301
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,194181865.01819,126264042.724888,67780.4783452383,44004051.243871,,564232.258269495,777938.701251494,15311704.9395148,11281332.8721666,1925655.20123866,504881.120095422,1935222.19279207,23689828.9748169,249287.952356797,8067394.85855291,7527973.94657065,651544.771492705,4562756.01639336,5142457.19715972,67917822.293302,22296952.5535441,15125189.2699045,14305721.9655298,16189958.5043235
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,84781571.09172,42321966.8508497,19983.0539641157,13643671.734565,,221071.46585012,331806.493569729,4055204.61643049,3392373.25510822,760983.76752728,180593.074131258,752453.07768179,7732293.05839282,77804.7365056142,3241726.59393937,3418920.74871341,709478.24024015,2274866.74696249,1508736.1872679,42459604.2408702,12057082.3777568,9820295.5502337,8324571.56586998,12257654.7470098
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,85232150.4757965,50622180.42,6455.56,11167801.63,,192045.5,543024.1,5640620.0,11573106.1,530640.0,273304.0,352935.0,9882520.0,172100.0,2655863.43,4677723.0,869258.22,1756350.0,328433.88,34609970.0557963,10595007.8113112,8405424.7564618,7609706.1257704,7999831.36225293
