年份,总投入,中间投入,农、林、牧、渔业中间投入,采矿业中间投入,食品、饮料制造及烟草制品业中间投入,纺织、服装及皮革产品制造业中间投入,其他制造业中间投入,电力、热力及水的生产和供应业中间投入,炼焦、燃气及石油加工业中间投入,化学工业中间投入,非金属矿物制品业中间投入,金属产品制造业中间投入,机械设备制造业中间投入,建筑业中间投入,运输仓储邮政、信息传输、计算机服务和软件业中间投入,批发零售贸易、住宿和餐饮业中间投入,房地产业、租赁和商务服务业中间投入,金融业中间投入,其他服务业中间投入,增加值,固定资产折旧,劳动者报酬,生产税净额,营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,22577335292.3594,14345178227.9634,850668733.443814,765391594.561144,645606728.741188,462235448.151977,118714336.372438,571517957.915212,1798928255.35725,,624917040.799005,1428094316.25991,2127735641.46084,105001688.480753,,,,,1165063889.79875,8232157064.39599,1103253277.16368,4232680280.26867,949786044.067401,1946437462.89624
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,20814465144.4975,14011923983.1906,875920640.395579,692125596.131642,720681733.72992,529031323.522945,591120933.447089,595776871.860791,412508395.593561,1523448705.35557,632122240.58701,1556854293.32319,2067432169.01104,126172684.599139,889768711.269059,824731077.002341,747489553.220201,722643898.128247,504095156.013298,6802541161.3069,865089218.479505,3541099851.97701,822747797.255918,1573604293.59447
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,16016270834.4107,10648269124.9178,652497635.048739,774519692.268337,482489341.329761,401508915.857224,443393104.03841,468215274.841752,406698562.456018,1174689653.7133,444607444.118576,1404758061.59439,1525366718.30481,86611543.4550822,599415675.607898,545080436.838206,426270498.05713,485726112.797026,326420454.591142,5368001709.49285,716819825.363068,2641340939.19594,736062252.542743,1273778692.3911
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,12526448720.9322,8489958967.71997,539129077.436037,663736823.87886,359536417.207537,335848893.028417,407085036.037674,445851490.032909,314235148.564621,924998465.624218,393486146.018281,1056128304.47317,1440636708.31276,34637690.0370368,524657443.256675,371756337.158794,225315635.329421,250133409.204995,202785942.118562,4036489753.21218,552918608.844214,1910089275.57013,599108469.677736,974373399.120094
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,8188589619.71445,5528151508.84222,343439679.452163,387731968.594068,220632380.289786,244947494.661015,287127772.023387,312038601.640617,225675254.800894,615669425.879836,219303113.012598,754313116.389593,945124876.55994,19999561.5322414,306373318.003044,232189005.618121,128550119.557099,145562416.129544,139473404.698272,2660438110.87223,372555322.060204,1100473000.38767,385187232.742666,802222555.681691
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,5467647076.63632,3605086484.9471,272196297.10768,254484545.527783,112368821.898734,142972546.450893,178975273.100293,170606770.257314,140121678.481146,410415533.604664,131021866.849325,415056274.755637,569588251.293027,35438769.4779978,270539979.71226,218525493.437628,112416436.884327,76537219.0768138,93820727.0315799,1862560591.68921,280102891.798793,777315982.919499,253376438.039368,551765278.931555
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,3134305016.85856,1915715975.85692,163387352.098314,105916123.998709,61329094.5619474,81509752.0577446,107608842.189104,74280114.6451172,62947315.5313734,210343221.384141,52471743.2601537,211073326.416666,305592312.771073,18414894.1826036,109204779.630278,141317694.375071,101889027.847732,63077584.2358906,45352796.6710075,1218589041.00164,187405671.645101,589504992.623314,174622113.359537,267056263.373687
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,2575527831.49567,1652059064.54973,139838717.0464,88334342.862015,53546740.75,100462099.95,71174236.1359,80251907.6,86260522.3481,208131305.5,55524892.17,161856013.77,279946914.32,13625412.9,85377507.01,109460384.27,60376844.42,39306785.8,18584437.69731,923468766.945944,146055093.361634,499195924.428958,134124280.967027,144093468.188325
