年份,人民法院审理行政一审案件结案中撤诉件数,人民法院审理土地等资源一审案件结案中撤诉件数,人民法院审理公安一审案件结案中撤诉件数,人民法院审理城建一审案件结案中撤诉件数,人民法院审理交通运输一审案件结案中撤诉件数,人民法院审理工商一审案件结案中撤诉件数,人民法院审理环保一审案件结案中撤诉件数,人民法院审理计划生育一审案件结案中撤诉件数,人民法院审理税务一审案件结案中撤诉件数,人民法院审理卫生一审案件结案中撤诉件数,人民法院审理乡政府一审案件结案中撤诉件数,人民法院审理劳动和社会保障一审案件结案中撤诉件数,人民法院审理其他行政一审案件结案中撤诉件数
2019,55049,5827,5597,8230,661,2197,584,42,208,164,2859,4154,24526
2018,50967,5414,4633,6701,533,1907,386,59,238,84,1480,3244,26288
2017,47880,4894,5782,7428,791,1609,292,95,195,123,1474,3004,19663
2016,44303,5199,6184,6682,1110,1421,245,412,216,149,1060,3702,17923
2015,42925,5179,5084,6946,1327,1453,328,814,149,168,913,3717,16847
2014,39592,4623,4668,5414,1199,1775,417,3653,137,287,702,3366,13351
2013,50521,6477,4739,8155,1638,2038,598,6158,198,436,808,4443,14833
2012,64104,8839,5874,10772,1665,2284,1209,6936,191,546,1341,5194,19253
2011,65389,11140,4847,11199,1796,1649,1194,5228,225,876,2042,5214,19979
2010,57745,11153,4535,11326,1896,1291,1273,3112,245,668,2104,4195,15947
2009,46327,8722,3739,8836,1236,1607,2162,2166,161,487,1836,3048,12327
2008,39169,6639,4332,7886,1903,1463,1065,645,115,346,2131,2670,9974
2007,37210,7421,3585,7956,2856,1301,738,612,108,411,917,2787,8518
2006,31801,6413,2858,6850,1924,1180,662,507,173,545,847,2399,7443
2005,28539,5163,2780,5729,995,1014,222,535,572,327,1618,1900,7684
2004,28246,5245,3167,5819,1009,1542,187,268,338,313,1555,1332,7471
2003,27811,4348,3373,6313,1261,974,265,326,225,322,664,904,8836
2002,26052,3912,3351,4977,1006,919,654,348,733,447,1742,828,7135
2001,31083,,,,,,,,,,,,
2000,31822,,,,,,,,,,,,
