年份,人民法院审理行政一审案件收案数,人民法院审理土地等资源一审案件收案数,人民法院审理公安一审案件收案数,人民法院审理城建一审案件收案数,人民法院审理交通运输一审案件收案数,人民法院审理工商一审案件收案数,人民法院审理环保一审案件收案数,人民法院审理计划生育一审案件收案数,人民法院审理税务一审案件收案数,人民法院审理卫生一审案件收案数,人民法院审理乡政府一审案件收案数,人民法院审理劳动和社会保障一审案件收案数,人民法院审理其他行政一审案件收案数
2019,279574,30506,21572,45626,2117,6086,2146,338,659,918,14376,19375,135855
2018,256656,27995,18676,34664,1532,5603,1499,328,641,479,9103,15719,140417
2017,230432,24963,20402,34085,1846,4830,981,338,555,525,7098,14447,104288
2016,225485,27989,23785,35890,3233,4463,1218,1500,683,794,6343,15360,104227
2015,220398,28180,24974,35726,3187,4476,1175,2188,636,781,5423,16467,97185
2014,141880,19345,14497,22406,2188,4434,809,5009,398,596,2444,12291,57463
2013,123194,18394,10533,19972,2497,3785,1102,8203,362,927,2116,11704,43599
2012,129583,20149,10750,23385,2518,4219,1672,10381,436,1035,2336,11562,41140
2011,136353,24928,10153,24574,2445,3191,2227,8428,405,1808,3247,11121,43826
2010,129133,23218,10553,24975,2619,2723,1865,6117,398,1825,3568,9363,41909
2009,120312,21150,9601,22493,2498,3142,2647,4788,293,1529,3548,9172,39451
2008,108398,18902,10347,28324,3527,2953,1583,2768,334,865,3657,7911,27227
2007,101510,19875,9773,21601,4160,2904,2604,2025,306,1091,2738,7839,26594
2006,95617,20752,9313,20693,3460,2985,1179,2151,359,1285,2752,7411,23277
2005,96178,18974,9514,19197,2945,2970,1190,3480,815,930,3966,7171,25026
2004,92613,17582,11199,18973,3424,3389,694,1501,1032,1427,4821,5559,23012
2003,87919,16750,10816,19811,2570,2715,655,1168,803,806,4976,4047,22802
2002,80728,13464,11707,16287,2184,2892,1074,1389,1496,1050,5138,3587,20460
2001,100921,,,,,,,,,,,,
2000,85760,,,,,,,,,,,,
