年份,人民法院审理行政一审案件结案中驳回件数,人民法院审理土地等资源一审案件结案中驳回件数,人民法院审理公安一审案件结案中驳回件数,人民法院审理城建一审案件结案中驳回件数,人民法院审理交通运输一审案件结案中驳回件数,人民法院审理工商一审案件结案中驳回件数,人民法院审理环保一审案件结案中驳回件数,人民法院审理计划生育一审案件结案中驳回件数,人民法院审理税务一审案件结案中驳回件数,人民法院审理卫生一审案件结案中驳回件数,人民法院审理乡政府一审案件结案中驳回件数,人民法院审理劳动和社会保障一审案件结案中驳回件数,人民法院审理其他行政一审案件结案中驳回件数
2019,64693,9463,3492,13104,281,1262,320,80,166,186,3832,1731,30776
2018,61186,8386,2927,10098,358,1190,183,88,145,138,2814,1434,33425
2017,53512,7553,3058,9900,208,872,131,74,107,128,2225,1442,25977
2016,50387,7582,3331,10509,440,861,345,139,119,162,1383,1549,23967
2015,36172,6168,3103,6979,392,558,127,71,85,126,1022,1362,16179
2014,12353,2495,858,2775,99,337,40,27,34,44,287,524,4833
2013,8639,1755,395,1905,43,246,74,59,40,42,241,345,3494
2012,8544,1811,365,1671,177,190,30,140,22,66,174,317,3581
2011,8849,2165,451,2295,61,268,37,119,25,61,236,329,2802
2010,10014,2244,560,2791,95,256,42,143,26,51,298,346,3162
2009,11004,2918,511,2377,151,202,52,160,30,88,362,778,3375
2008,9086,1918,559,2883,136,310,28,90,33,72,320,506,2231
2007,9198,2337,692,2450,207,286,22,45,42,94,246,474,2303
2006,11562,2271,743,2202,153,258,202,128,34,72,410,580,4509
2005,20698,3404,1775,4598,777,575,75,217,107,172,906,1587,6505
2004,10109,1079,1206,2331,295,246,26,106,88,92,493,521,3626
2003,9400,2006,1007,2196,177,300,19,69,90,62,,289,3185
2002,12938,1567,1001,1389,153,319,25,93,125,180,796,266,7024
2001,11516,,,,,,,,,,,,
2000,11146,,,,,,,,,,,,
