年份,人民法院审理行政一审案件结案数,人民法院审理土地等资源一审案件结案数,人民法院审理公安一审案件结案数,人民法院审理城建一审案件结案数,人民法院审理交通运输一审案件结案数,人民法院审理工商一审案件结案数,人民法院审理环保一审案件结案数,人民法院审理计划生育一审案件结案数,人民法院审理税务一审案件结案数,人民法院审理卫生一审案件结案数,人民法院审理乡政府一审案件结案数,人民法院审理劳动和社会保障一审案件结案数,人民法院审理其他行政一审案件结案数
2019,284362,31011,21516,46531,2295,6346,2291,343,663,855,14108,19643,138760
2018,251355,28143,19012,34121,1568,5360,1220,351,693,484,8981,15479,135943
2017,229112,25690,21011,34549,1705,4655,959,380,540,572,6912,14424,103944
2016,225020,27551,24179,35845,3226,4437,1255,1504,647,792,6006,15443,104135
2015,198772,25055,22714,30817,2974,3832,986,2172,565,690,4741,15051,89175
2014,130964,18658,13829,20860,2043,4268,792,5009,389,599,2324,12002,50191
2013,120675,17957,10231,19722,2509,3701,1090,8153,393,906,2062,11445,42506
2012,128625,20104,10665,23337,2480,4192,1673,10343,384,1030,2322,11484,40611
2011,136361,24927,10137,24898,2447,3156,2220,8429,399,1835,3249,11090,43574
2010,129806,23372,10732,25016,2629,2743,1894,6133,402,1869,3656,9387,41973
2009,120530,21352,9563,22741,2529,3179,2628,4794,343,1483,3543,9126,39249
2008,109085,18892,10455,28672,3628,2968,1601,2776,286,890,3653,7843,27421
2007,100683,19705,9750,21052,4129,2904,2584,2061,310,1124,2711,7848,26505
2006,95052,20643,9215,20334,3399,2961,1183,2282,356,1229,2806,7410,23234
2005,95707,18835,9602,18864,3011,2979,1220,3342,828,951,3953,7152,24970
2004,92192,17390,11247,18970,3375,3381,698,1456,1041,1400,4794,5496,22944
2003,88050,16804,10950,19793,2610,2719,619,1181,816,801,5031,4060,22666
2002,84943,13506,11716,15672,2192,2928,1075,1386,1482,1064,5130,3362,25430
2001,95984,,,,,,,,,,,,
2000,86614,,,,,,,,,,,,
