年份,人民法院审理行政一审案件结案中维持件数,人民法院审理土地等资源一审案件结案中维持件数,人民法院审理公安一审案件结案中维持件数,人民法院审理城建一审案件结案中维持件数,人民法院审理交通运输一审案件结案中维持件数,人民法院审理工商一审案件结案中维持件数,人民法院审理环保一审案件结案中维持件数,人民法院审理计划生育一审案件结案中维持件数,人民法院审理税务一审案件结案中维持件数,人民法院审理卫生一审案件结案中维持件数,人民法院审理乡政府一审案件结案中维持件数,人民法院审理劳动和社会保障一审案件结案中维持件数,人民法院审理其他行政一审案件结案中维持件数
2019,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
2017,,,,,,,,,,,,,
2016,7099.0,723.0,994.0,607.0,60.0,209.0,25.0,57.0,6.0,16.0,99.0,683.0,3620.0
2015,9359.0,784.0,1471.0,605.0,65.0,60.0,22.0,54.0,17.0,17.0,67.0,933.0,5264.0
2014,14424.0,1578.0,2361.0,855.0,133.0,604.0,46.0,180.0,40.0,32.0,134.0,2293.0,6168.0
2013,12800.0,1549.0,1866.0,1272.0,203.0,198.0,97.0,178.0,30.0,59.0,209.0,2401.0,4738.0
2012,12072.0,1731.0,1821.0,1265.0,133.0,214.0,65.0,90.0,25.0,23.0,291.0,2217.0,4197.0
2011,13384.0,2103.0,2152.0,1522.0,123.0,211.0,47.0,66.0,21.0,38.0,262.0,2267.0,4572.0
2010,15184.0,2416.0,2564.0,2046.0,171.0,275.0,63.0,174.0,31.0,68.0,315.0,2320.0,4741.0
2009,16010.0,2580.0,2632.0,2374.0,260.0,358.0,73.0,228.0,56.0,57.0,601.0,2494.0,4297.0
2008,20236.0,3339.0,2907.0,6619.0,342.0,362.0,99.0,219.0,61.0,107.0,322.0,2320.0,3539.0
2007,16832.0,3447.0,2836.0,2912.0,277.0,472.0,212.0,240.0,73.0,337.0,322.0,2358.0,3346.0
2006,16779.0,3103.0,2730.0,3436.0,351.0,555.0,79.0,456.0,41.0,240.0,313.0,1982.0,3493.0
2005,15769.0,3197.0,2806.0,2723.0,387.0,699.0,120.0,230.0,69.0,175.0,372.0,1831.0,3160.0
2004,16393.0,3057.0,3317.0,3121.0,485.0,658.0,133.0,251.0,124.0,194.0,466.0,1314.0,3273.0
2003,16356.0,3054.0,3166.0,3717.0,428.0,580.0,132.0,163.0,126.0,123.0,476.0,1125.0,3266.0
2002,15520.0,2825.0,3634.0,3051.0,382.0,687.0,103.0,284.0,91.0,154.0,567.0,659.0,3083.0
2001,15941.0,,,,,,,,,,,,
2000,13431.0,,,,,,,,,,,,
