年份,研究生培养机构数,普通高校研究生培养机构数,科研机构研究生培养机构数,普通高校数,本科院校数,专科院校数,职业技术学院数,成人高等学校数,民办的其他高等教育机构数_x,中央部委研究生培养机构数,中央部委普通高校研究生培养机构数,中央部委科研机构研究生培养机构数,中央部委普通高校数,中央部委本科院校数,中央部委专科院校数,中央部委职业技术学院数,中央部委成人高等学校数,中央部委民办的其他高等教育机构数,教育部研究生培养机构数,教育部普通高校研究生培养机构数,教育部科研机构研究生培养机构数,教育部普通高校数,教育部本科院校数,教育部专科院校数,教育部职业技术学院数,教育部成人高等学校数,教育部民办的其他高等教育机构数,其他部委研究生培养机构数,其他部委普通高校研究生培养机构数,其他部委科研机构研究生培养机构数,其他部委普通高校数,其他部委本科院校数,其他部委专科院校数,其他部委职业技术学院数,其他部委成人高等学校数,其他部委民办的其他高等教育机构数,地方研究生培养机构数,地方普通高校研究生培养机构数,地方科研机构研究生培养机构数,地方普通高校数,地方本科院校数,地方专科院校数,地方职业技术学院数,地方成人高等学校数,地方民办的其他高等教育机构数,教育部门研究生培养机构数,教育部门普通高校研究生培养机构数,教育部门科研机构研究生培养机构数,教育部门普通高校数,教育部门本科院校数,教育部门专科院校数,教育部门职业技术学院数,教育部门成人高等学校数,教育部门民办的其他高等教育机构数,非教育部门研究生培养机构数,非教育部门普通高校研究生培养机构数,非教育部门科研机构研究生培养机构数,非教育部门普通高校数,非教育部门本科院校数,非教育部门专科院校数,非教育部门职业技术学院数,非教育部门成人高等学校数,非教育部门民办的其他高等教育机构数,地方企业研究生培养机构数,地方企业普通高校研究生培养机构数,地方企业科研机构研究生培养机构数,地方企业普通高校数,地方企业本科院校数,地方企业专科院校数,地方企业职业技术学院数,地方企业成人高等学校数,地方企业民办的其他高等教育机构数,民办研究生培养机构数,民办普通高校研究生培养机构数,民办科研机构研究生培养机构数,民办普通高校数,民办本科院校数,民办专科院校数,民办职业技术学院数,民办成人高等学校数,民办的其他高等教育机构数_y
2019,828,593,235,2688,1265,1423,,268,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,815,580,235,2663,1245,1418,,277,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,815,578,237,2631,1243,1388,,282,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,793,576,217,2596,1237,1359,,284,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,792,575,217,2560,1219,1341,,292,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,788,571,217,2529,1202,1327,1186.0,295,799,284.0,107.0,177.0,113.0,110.0,3.0,,13.0,,73.0,73.0,,73.0,73.0,,,1.0,,211.0,34.0,177.0,40.0,37.0,3.0,,12.0,,499.0,459.0,40.0,1689.0,672.0,1017.0,,281.0,,433.0,432.0,1.0,1053.0,604.0,449.0,,94.0,,65.0,27.0,38.0,592.0,68.0,524.0,,146.0,,1.0,,1.0,44.0,,44.0,,41.0,,5.0,5.0,,727.0,420.0,307.0,,1.0,799.0
2013,830,548,282,2491,1170,1321,,297,802,348.0,107.0,241.0,113.0,110.0,3.0,,13.0,,73.0,73.0,,73.0,73.0,,,1.0,,275.0,34.0,241.0,40.0,37.0,3.0,,12.0,,477.0,436.0,41.0,1661.0,668.0,993.0,,283.0,,412.0,411.0,1.0,1015.0,601.0,414.0,,96.0,,64.0,25.0,39.0,598.0,67.0,531.0,,146.0,,1.0,,1.0,48.0,,48.0,,41.0,,5.0,5.0,,717.0,392.0,325.0,,1.0,802.0
2012,811,534,277,2442,1145,1297,,348,823,340.0,102.0,238.0,113.0,109.0,4.0,,14.0,,73.0,73.0,,73.0,73.0,,,1.0,,267.0,29.0,238.0,40.0,36.0,4.0,,13.0,,466.0,427.0,39.0,1623.0,646.0,977.0,,333.0,,400.0,399.0,1.0,967.0,578.0,389.0,,118.0,,64.0,27.0,37.0,604.0,67.0,537.0,,170.0,,2.0,1.0,1.0,52.0,1.0,51.0,,45.0,,5.0,5.0,,706.0,390.0,316.0,,1.0,823.0
2011,755,481,274,2409,1129,1280,1143.0,353,830,333.0,98.0,235.0,111.0,108.0,3.0,2.0,14.0,,73.0,73.0,,73.0,73.0,,,1.0,,260.0,25.0,235.0,38.0,35.0,3.0,2.0,13.0,,422.0,383.0,39.0,1602.0,633.0,969.0,840.0,337.0,,363.0,362.0,1.0,969.0,574.0,395.0,333.0,123.0,,58.0,21.0,37.0,583.0,58.0,525.0,458.0,169.0,,1.0,,1.0,50.0,1.0,49.0,49.0,45.0,,,,,696.0,388.0,308.0,301.0,2.0,830.0
2010,797,481,316,2358,1112,1246,1113.0,365,836,374.0,98.0,276.0,111.0,108.0,3.0,2.0,14.0,,73.0,73.0,,73.0,73.0,,,1.0,,301.0,25.0,276.0,38.0,35.0,3.0,2.0,13.0,,423.0,383.0,40.0,1573.0,633.0,940.0,815.0,349.0,,361.0,360.0,1.0,854.0,542.0,312.0,255.0,128.0,,62.0,23.0,39.0,719.0,91.0,628.0,560.0,221.0,,,,,,,,,,,,,,674.0,371.0,303.0,296.0,2.0,836.0
