年份,中央财政收入,中央税收收入,中央国内增值税,中央国内消费税,中央进口货物增值税、消费税,中央出口货物退增值税、消费税,中央营业税,中央企业所得税,中央个人所得税,中央城市维护建设税,中央印花税,中央证券交易印花税,中央船舶吨税,中央车辆购置税,中央关税,中央其他税收收入,中央非税收入,中央专项收入,中央行政事业性收费,中央罚没收入,中央其他收入
2019,89309.47,81020.33,31160.46,12564.44,,,,23786.02,6234.19,206.13,1229.38,1229.38,50.26,3498.26,2889.13,39.79,8289.14,284.23,404.69,132.78,91.41
2018,85456.46,80448.07,30753.32,10631.75,,,,22242.11,8324.42,159.31,976.88,976.88,49.78,3452.53,2847.78,,5008.39,325.94,404.56,167.0,103.84
2017,81123.36,75697.15,28166.02,10225.09,,,,20422.79,7180.73,158.03,1068.5,1068.5,50.4,3280.67,2997.85,3.99,5426.21,508.55,440.07,232.04,89.14
2016,72365.62,65669.04,21949.47,10217.23,12784.59,-12154.48,1333.08,18715.78,6054.06,153.28,1250.55,1250.55,48.02,2674.16,2603.75,8.12,6696.58,722.38,479.51,66.83,115.83
2015,69267.19,62260.27,20996.95,10542.16,12533.35,-12867.19,150.73,17640.08,5170.52,179.28,2476.15,2476.15,46.97,2792.56,2560.84,,7006.92,574.72,460.94,113.96,224.7
2014,64493.45,60035.4,21103.03,8907.12,14425.3,-11356.46,68.94,15813.55,4426.03,182.82,646.88,646.88,45.23,2885.11,2843.41,,4458.05,406.59,365.63,88.93,1387.79
2013,60198.48,56639.82,20533.81,8231.32,14004.56,-10518.85,78.44,14443.86,3918.99,176.3,455.55,455.55,43.55,2596.34,2630.61,,3558.66,406.39,278.48,45.43,2828.36
2012,56175.23,53295.2,19678.35,7875.58,14802.16,-10428.89,204.73,12082.93,3492.65,190.87,294.39,294.39,40.98,2228.91,2783.93,,2880.03,412.67,377.2,40.35,2049.81
2011,51327.32,48631.65,18277.38,6936.21,13560.42,-9204.75,174.56,10023.35,3633.07,169.37,425.28,425.28,29.76,2044.89,2559.12,2.99,2695.67,361.4,404.02,38.76,1891.49
2010,42488.47,40509.3,15897.21,6071.55,10490.64,-7327.31,153.34,7795.17,2902.97,150.84,527.82,527.82,26.63,1792.59,2027.83,0.02,1979.17,298.03,396.02,31.79,1253.33
2009,35915.71,33364.15,13915.96,4761.22,7729.79,-6486.61,167.1,7619.09,2366.81,124.19,495.04,495.04,23.79,1163.92,1483.81,0.04,2551.56,223.71,359.54,35.25,1933.06
2008,32680.56,30968.68,13497.76,2568.27,7391.13,-5865.93,232.1,7173.55,2234.23,7.79,949.68,949.68,20.12,989.89,1769.95,0.14,1711.88,200.65,372.88,31.72,1106.63
2007,27749.16,26369.85,11602.61,2206.83,6153.41,-5635.0,202.66,5646.97,1911.8,7.69,1945.15,1945.15,18.2,876.9,1432.57,0.06,1379.31,153.69,353.66,28.25,843.71
2006,20456.62,19576.14,9588.43,1885.69,4962.64,-4877.15,160.54,4358.46,1472.17,6.29000000000008,,174.09,15.74,687.46,1141.78,,,,,,
2005,16548.53,16051.81,7931.35,1633.81,4211.78,-4048.94,129.64,3204.03,1256.94,4.66,,65.3,13.81,583.26,1066.17,,,,,,
2004,14503.1,14166.09,6613.51,1501.9,3700.42,-2936.32,110.99,2361.33,1042.24,4.32,,166.69,11.54,545.7,1043.77,,,,,,
2003,11865.27,11604.04,5425.55,1182.26,2788.59,-1988.59,76.89,1740.71,850.79,3.3,,123.87,9.38,468.16,923.13,,,,,,
2002,10388.64,10230.29,4631.01,1046.32,1885.65,-1150.0,155.3,1882.21,605.95,3.71,,108.62,8.45,348.8,704.27,,,,,,
2001,8582.74,,,,,,,,,,,,,,,,,,,,
2000,6989.17,,,,,,,,,,,,,,,,,,,,
