年份,地方财政一般预算收入,地方财政税收收入,地方财政国内增值税,地方财政营业税,地方财政企业所得税,地方财政个人所得税,地方财政资源税,地方财政城市维护建设税,地方财政房产税,地方财政印花税,地方财政城镇土地使用税,地方财政土地增值税,地方财政车船税,地方财政耕地占用税,地方财政契税,地方财政烟叶税,地方财政其他税收收入,地方财政非税收入,地方财政专项收入,地方财政行政事业性收费收入,地方财政罚没收入,地方财政国有资本经营收入,地方财政国有资源(资产)有偿使用收入,地方财政其他非税收入
2019,101080.6071,76980.13,31186.901,,13517.7485,4154.3375,1768.5248,4614.4429,2988.4333,1233.5783,2195.4066,6465.1365,880.9485,1389.8424,6212.8587,111.027,39.7755,24100.4834,6849.9288,3483.38,2929.3106,1061.4886,7344.0122,2432.357
2018,97903.38,75954.7905,30777.4487,,13081.5966,5547.5537,1584.75,4680.6748,2888.5569,1222.4823,2387.6,5641.3805,831.1857,1318.8461,5729.9437,111.3473,0.0358,21948.5857,7197.4359,3520.8939,2492.1763,356.2625,6286.8678,2094.9493
2017,91469.41,68672.7209,28212.1594,,11694.4969,4785.6423,1310.54,4204.1165,2604.3336,1137.8898,2360.5529,4911.2782,773.5926,1651.8884,4910.4183,115.7169,0.0938,22796.69,6520.1573,4305.1954,2162.096,567.0585,6922.2924,2319.8846
2016,87239.35,64691.69,18762.61,10168.8,10135.58,4034.92,919.4,3880.32,2220.91,958.82,2255.74,4212.19,682.68,2028.89,4300.0,130.54,0.29,22547.66,6186.88,4416.5,1851.51,857.65,6652.43,1707.51
2015,83002.04,62661.93,10112.52,19162.11,9493.79,3446.75,997.07,3707.04,2050.9,965.29,2142.04,3832.18,613.29,2097.21,3898.55,142.78,0.41,20340.11,6410.36,4412.08,1762.9,690.76,5220.74,1843.27
2014,75876.58,59139.91,9752.3256,17712.7926,8828.6411,2950.5815,1039.3817,3461.8244,1851.6379,893.1233,1992.6198,3914.6849,541.0633,2059.053,4000.6991,141.0544,0.45,16736.67,3304.7558,4840.3664,1632.8859,1146.3407,4187.6524,1624.658
2013,69011.16,53890.8801,8276.3193,17154.5784,7983.3357,2612.5383,960.307,3243.5994,1581.5038,788.8076,1718.7728,3293.9146,473.9629,1808.2327,3844.0222,150.2571,0.7283,15120.2829,3122.2152,4497.3466,1613.3407,1183.6338,3415.2317,1288.5149
2012,61078.29,47319.0786,6737.1586,15542.9132,7571.6003,2327.632,855.7584,2934.76,1372.4907,691.2463,1541.7127,2719.0591,393.0231,1620.7099,2874.0118,131.7804,5.2221,13759.209,2819.964,4202.3376,1519.4591,1335.9131,2740.3073,1141.2279
2011,52547.11,41106.74,5989.25,13504.44,6746.29,2421.04,595.87,2609.92,1102.39,616.94,1222.26,2062.61,302.0,1075.46,2765.73,91.38,1.16,11440.37,2695.01,3635.36,1262.63,1198.86,1781.59,866.91
2010,40613.04,32701.49,5196.2683,11004.573,5048.3702,1934.3,417.57,1736.27,894.07,512.52,1004.01,1278.29,241.62,888.64,2464.85,78.36,1.77,7911.56,1742.71,2600.37,1042.85,1012.74,1073.96,438.92
2009,32602.59,26157.43,4565.2595,8846.8759,3917.7526,1582.5388,338.2431,1419.919,803.6563,402.4472,920.9814,719.5595,186.5124,633.0674,1735.0466,80.8116,4.7631,6445.1506,1413.283,1957.4985,938.6107,940.246,751.0515,444.4609
2008,28649.79,23255.11,4499.175,7394.2867,4002.0788,1488.0808,301.7612,1336.3005,680.3359,361.6114,816.896,537.4329,144.2129,314.4075,1307.5394,67.4456,2.2678,5394.6815,1353.4486,1761.9784,866.676,690.094,418.643,303.8415
2007,23572.62,19252.12,3867.6217,6379.5064,3132.28,1273.7821,261.1457,1148.6986,575.459,316.6024,385.4863,403.0975,68.1635,185.0376,1206.246,47.802,1.1784,4320.5022,1088.1574,1543.6908,812.0095,,,876.6445
2006,18303.58,15228.21,3196.3804,4968.1725,2681.14,981.5402,207.1078,933.4307,514.8467,202.5522,176.8092,231.4724,49.9738,171.1174,867.6745,,,,951.8845,1320.2703,706.3144,,,
2005,15100.76,12726.73,2644.2211,4102.8163,2139.89,837.9704,142.199,791.0187,435.9577,161.4651,137.3444,140.314,38.8975,141.849,735.14,,,,648.7539,1073.6983,617.1631,,,
2004,11893.37,9999.59,2204.4306,3470.983,1596.0,694.8155,98.8015,669.7446,366.3167,123.6184,106.226,75.0391,35.7578,120.085,540.1041,,,,490.7372,904.6327,522.6014,,,
2003,9849.98,8413.27,1810.989,2767.564,1178.8,567.2431,83.2961,546.7076,323.861,91.113,91.5681,37.2812,32.1492,89.8968,358.0454,,,,341.7288,714.1324,431.2379,,,
2002,8515.0,7406.16,1547.3787,2295.0318,1200.58,605.8305,75.0832,467.1136,282.3827,70.795,76.8328,20.5104,28.9269,57.339,239.0709,,,,294.5679,514.0962,394.7191,,,
2001,7803.3,,1341.6584,1849.0998,1636.125,716.0144,67.1084,380.6212,228.4249,71.1235,66.1542,10.3296,24.6069,38.334,157.0772,,,,251.0648,371.1483,356.692,,,
2000,6406.06,,1139.9679,1625.6742,1005.4992,510.1814,63.6158,348.9588,209.3819,98.9006,64.7648,8.3936,23.4177,35.316,131.0811,,,,225.9787,285.7709,302.2454,,,
