年份,国家财政收入,国家税收收入,国家国内增值税,国家国内消费税,国家进口货物增值税、消费税,国家出口货物退增值税、消费税,国家营业税,国家企业所得税,国家个人所得税,国家资源税,国家城市维护建设税,国家房产税,国家印花税,国家证券交易印花税,国家城镇土地使用税,国家土地增值税,国家车船税,国家船舶吨税,国家车辆购置税,国家关税,国家耕地占用税,国家契税,国家烟叶税,国家其他税收收入,国家非税收入,国家专项收入,国家行政事业性收费,国家罚没收入,国家其他收入
2019,190390.08,158000.46,62347.36,12564.44,,,,37303.77,10388.53,1821.64,4820.57,2988.43,2462.96,1229.38,2195.41,6465.14,880.95,50.26,3498.26,2889.13,1389.84,6212.86,111.03,79.57,32389.62,7134.16,3888.07,3062.09,2523.77
2018,183359.84,156402.86,61530.77,10631.75,,,,35323.71,13871.97,1629.9,4839.98,2888.56,2199.36,976.88,2387.6,5641.38,831.19,49.78,3452.53,2847.78,1318.85,5729.94,111.35,0.04,26956.98,7523.38,3925.45,2659.18,2198.79
2017,172592.77,144369.87,56378.18,10225.09,,,,32117.29,11966.37,1353.32,4362.15,2604.33,2206.39,1068.5,2360.55,4911.28,773.59,50.4,3280.67,2997.85,1651.89,4910.42,115.72,4.08,28222.9,7028.71,4745.27,2394.14,2409.02
2016,159604.97,130360.73,40712.08,10217.23,12784.59,-12154.48,11501.88,28851.36,10088.98,950.83,4033.6,2220.91,2209.37,1250.55,2255.74,4212.19,682.68,48.02,2674.16,2603.75,2028.89,4300.0,130.54,8.41,29244.24,6909.26,4896.01,1918.34,1823.34
2015,152269.23,124922.2,31109.47,10542.16,12533.35,-12867.19,19312.84,27133.87,8617.27,1034.94,3886.32,2050.9,3441.44,2552.78,2142.04,3832.18,613.29,46.97,2792.56,2560.84,2097.21,3898.55,142.78,0.41,27347.03,6985.08,4873.02,1876.86,2067.97
2014,140370.03,119175.31,30855.36,8907.12,14425.3,-11356.46,17781.73,24642.19,7376.61,1083.82,3644.64,1851.64,1540.0,666.92,1992.62,3914.68,541.06,45.23,2885.11,2843.41,2059.05,4000.7,141.05,0.45,21194.72,3711.35,5206.0,1721.82,3012.45
2013,129209.64,110530.7,28810.13,8231.32,14004.56,-10518.85,17233.02,22427.2,6531.53,1005.65,3419.9,1581.5,1244.36,469.65,1718.77,3293.91,473.96,43.55,2596.34,2630.61,1808.23,3844.02,150.26,0.73,18678.94,3528.61,4775.83,1658.77,8715.73
2012,117253.52,100614.28,26415.51,7875.58,14802.16,-10428.89,15747.64,19654.53,5820.28,904.37,3125.63,1372.49,985.64,303.51,1541.72,2719.06,393.02,40.98,2228.91,2783.93,1620.71,2874.01,131.78,5.22,16639.24,3232.63,4579.54,1559.81,7267.26
2011,103874.43,89738.39,24266.63,6936.21,13560.42,-9204.75,13679.0,16769.64,6054.11,595.87,2779.29,1102.39,1042.22,438.45,1222.26,2062.61,302.0,29.76,2044.89,2559.12,1075.46,2765.73,91.38,4.15,14136.04,3056.41,4039.38,1301.39,5738.86
2010,83101.51,73210.79,21093.48,6071.55,10490.64,-7327.31,11157.91,12843.54,4837.27,417.57,1887.11,894.07,1040.34,544.16,1004.01,1278.29,241.62,26.63,1792.59,2027.83,888.64,2464.85,78.36,1.8,9890.72,2040.74,2996.39,1074.64,3778.95
2009,68518.3,59521.59,18481.22,4761.22,7729.79,-6486.61,9013.98,11536.84,3949.35,338.24,1544.11,803.66,897.49,510.38,920.98,719.56,186.51,23.79,1163.92,1483.81,633.07,1735.05,80.81,4.8,8996.71,1636.99,2317.04,973.86,4068.82
2008,61330.35,54223.79,17996.94,2568.27,7391.13,-5865.93,7626.39,11175.63,3722.31,301.76,1344.09,680.34,1311.29,979.16,816.9,537.43,144.21,20.12,989.89,1769.95,314.41,1307.53,67.45,3.68,7106.56,1554.1,2134.86,898.4,2519.2
2007,51321.78,45621.97,15470.23,2206.83,6153.41,-5635.0,6582.17,8779.25,3185.58,261.15,1156.39,575.46,2261.75,2005.31,385.49,403.1,68.16,18.2,876.9,1432.57,185.04,1206.25,47.8,1.24,5699.81,1241.85,1897.35,840.26,1720.35
2006,38760.2,34804.35,12784.81,1885.69,4962.64,-4877.15,5128.71,7039.6,2453.7087,207.11,939.72,,,179.46,176.81,,,15.74,687.46,1141.78,171.12,867.67,41.6,,,,,,
2005,31649.29,28778.54,10792.11,1633.81,4211.78,-4048.94,4232.46,5343.92,2094.9104,142.2,795.68,,,67.3,137.34,,,13.81,583.26,1066.17,141.85,735.14,,,,,,,
2004,26396.47,24165.68,9017.94,1501.9,3700.42,-3484.08,3581.97,3957.33,1737.0555,98.8,674.06,,,171.85,106.23,,,11.54,545.7,1043.77,120.09,540.1,,,,,,,
2003,21715.25,20017.31,7236.54,1182.26,2788.59,-1988.59,2844.45,2919.51,1418.0331,83.3,550.01,,,127.7,91.57,,,9.38,468.16,923.13,39.9,358.05,,,,,,,
2002,18903.64,17636.45,6178.39,1046.32,1885.65,-1150.0,2450.33,3082.79,1211.7805,75.08,470.82,,,111.98,76.83,,,8.45,348.8,704.27,57.34,239.07,,,,,,,
2001,16386.04,15301.38,5357.13,929.99,,-1080.0,2064.09,2630.87,995.2563,,,,,,,,,,,840.52,38.33,157.08,,,,,,,
2000,13395.23,12581.51,4553.17,858.29,,-1050.0,1868.78,999.63,659.6373,,,,,,,,,,,750.48,35.32,131.08,,,,,,,
