年份,病毒性肝炎发病率,肺结核发病率,梅毒发病率,细菌性和阿米巴性痢疾发病率,淋病发病率,猩红热发病率,新生儿破伤风发病率,布鲁氏菌病发病率,艾滋病发病率,伤寒和副伤寒发病率,流行性出血热发病率,麻疹发病率,甲型H1N1流感发病率,血吸虫病发病率,疟疾发病率,百日咳发病率,狂犬病发病率,流行性乙型脑炎发病率,钩端螺旋体病发病率,炭疽发病率,流行性脑脊髓膜炎发病率,登革热发病率,霍乱发病率,脊髓灰质炎发病率,鼠疫发病率,人感染高致病性禽流感发病率,传染性非典型肺炎发病率,白喉发病率
2019,92.1344,55.5491,38.3677,5.8054,8.445,5.8528,0.004,3.1532,5.0986,0.6641,0.6871,0.213,,0.0081,0.1797,2.1501,0.0208,0.0298,0.0153,0.0213,0.0079,1.5888,0.0011,,0.0004,,,
2018,92.1537077033837,59.2716147145634,35.6275737940965,6.56241900647948,9.58646508279338,5.67775377969762,0.005975521958243,2.73196544276458,4.61987041036717,0.780633549316055,0.861483081353492,0.283657307415407,,0.01036717062635,0.181281497480202,1.58797696184305,0.030381569474442,0.129589632829374,0.01130309575234,0.024190064794816,0.007487401007919,0.369762419006479,0.002015838732901,,,,,
2017,93.0198146182875,60.5283255777196,34.4866504022587,7.92614630604428,10.0631358836751,5.38968962250573,0.006739920328269,2.79409557350625,4.145,0.78204817486398,0.816182610074891,0.430557706131675,,0.085952102250828,0.195457689519799,0.75,0.037395686982654,0.08312568404865,0.014566924580452,0.023046179186984,0.008551726868126,0.427079037575149,0.001,,0.0001,,,
2016,89.11,61.0,31.97,8.99,8.39,4.32,0.01,3.44,3.97,0.8,0.65,1.81,,0.21,0.23,0.41,0.05,0.09,0.03,0.03,0.01,0.15,,,,,,
2015,89.4661,63.4155,31.8521,10.196,7.3576,5.0092,0.0202,4.1828,3.694,0.8541,0.757,3.1091,,2.506,0.2287,0.4887,0.0588,0.0458,0.0261,0.0211,0.0078,0.2832,0.001,,,,,
2014,90.2486,65.6288,30.9254,11.3333,7.0451,4.003,0.0284,4.2225,3.3313,1.016,0.8502,3.8835,,0.3108,0.2155,0.2515,0.0682,0.0633,0.0367,0.0183,0.0125,3.4582,0.0018,,0.0002,0.0002,,
2013,92.4546,66.7952,30.0414,13.9338,7.3601,2.5263,0.0343,3.2116,3.123,1.044,0.9461,2.0417,,0.4209,0.2877,0.1264,0.0866,0.1609,0.0261,0.0143,0.0157,0.3444,0.0039,,,0.0001,,
2012,102.4827,70.6207,30.4356,15.3953,6.8173,3.4482,0.0459,3.112,2.9328,0.9877,0.8905,0.4589,0.3564,0.1819,0.162,0.1308,0.1058,0.0796,0.0427,0.0327,0.0176,0.0145,0.0056,,0.0001,0.0001,,
2011,102.34,71.09,29.47,17.74,7.31,4.76,0.05,2.85,1.53,0.88,0.8,0.74,0.7,0.33,0.3,0.19,0.14,0.12,0.03,0.02,0.02,0.01,,,,,,
2010,98.74,74.2729,26.8617,18.8987,7.9075,1.564,5.78,2.5302,1.1974,1.052,0.7137,2.8589,0.5337,0.3234,0.5536,0.1322,0.1534,0.1904,0.0507,0.0217,0.0243,0.0167,0.0118,,0.0005,0.0001,,
2009,107.3041,81.0935,23.0705,20.4478,9.0228,1.6617,0.0798,2.6969,1.0001,1.2754,0.6585,3.9503,9.17,0.2651,1.0616,0.1214,0.1666,0.2946,0.0423,0.0264,0.0471,0.023,0.0064,,,0.0001,,
2008,106.5371,88.515,19.4866,23.6528,9.9008,2.1026,0.1041,2.1015,0.7613,1.1838,0.6841,9.9479,,0.2231,1.9949,0.1807,0.1866,0.2252,0.0652,0.0254,0.0698,0.0153,0.0127,,,,,
2007,108.44,88.55,15.88,,11.08,2.55,0.13,1.5,0.74,1.55,0.84,8.29,,0.21,3.55,0.22,0.25,0.33,0.07,0.03,0.09,0.04,0.01,,,,,
2006,102.0878,86.2347,12.8002,,12.1444,2.1123,0.1534,1.4541,0.5102,1.9874,1.1547,7.6174,,,4.6035,0.1948,0.2508,0.5845,0.048,0.0345,0.1276,0.0798,0.0122,,0.0001,,,0.0001
2005,91.4222,96.3134,9.6707,,13.7908,1.9172,0.1902,1.4085,0.4299,2.6536,1.5967,9.4176,,,3.0329,0.294,0.194,0.3898,0.1082,0.0407,0.1773,0.0031,0.0744,,0.0008,,,0.0001
2004,88.688,74.644,7.122,,17.342,1.457,2.457,0.883,0.235,3.795,1.926,5.427,,,2.888,0.362,0.204,0.417,0.107,0.047,0.208,0.019,0.19,0.0,0.002,,0.001,0.0001
2003,68.5465,52.3624,4.498,,14.0944,0.7463,0.18,0.4782,0.0849,4.1742,1.6799,5.548,,,3.0038,0.4085,0.1511,0.5829,0.1337,0.0446,0.188,0.0069,0.0182,,,,,
2002,66.1,43.58,4.67,,13.28,1.14,18.87,0.41,0.06,4.47,2.46,4.76,,,2.65,0.49,0.09,0.65,0.19,0.06,1.19,0.12,0.05,,0.01,,,
2001,65.15,44.06,4.56,,14.62,0.91,16.18,0.23,0.03,4.84,2.73,7.24,,,2.0,0.52,0.07,0.76,0.3,0.07,0.18,0.02,0.22,,0.01,,,
2000,63.04,41.68,4.73,,18.31,1.03,15.85,0.14,0.01,3.9,2.89,5.74,,,1.94,0.45,0.04,0.93,0.31,0.05,0.19,0.03,0.15,,0.02,,,
