年份,运动员创世界纪录数,游泳创世界纪录数,射击创世界纪录数,举重创世界纪录数,蹼泳创世界纪录数,女运动员创世界纪录数,游泳女运动员创世界纪录数,射击女运动员创世界纪录数,举重女运动员创世界纪录数,蹼泳女运动员创世界纪录数,运动员创世界纪录人数,运动员创世界纪录队数,游泳创世界纪录人数,射击创世界纪录人数,举重创世界纪录人数,蹼泳创世界纪录人数,女运动员创世界纪录人数,游泳女运动员创世界纪录人数,射击女运动员创世界纪录人数,举重女运动员创世界纪录人数,蹼泳女运动员创世界纪录人数,运动员创世界纪录次数,游泳创世界纪录次数,射击创世界纪录次数,举重创世界纪录次数,蹼泳创世界纪录次数,女运动员创世界纪录次数,游泳女运动员创世界纪录次数,射击女运动员创世界纪录次数,举重女运动员创世界纪录次数,蹼泳女运动员创世界纪录次数
2019,16,,4,7,,,,,,,,,,7,7,,,,,,,18,,6,7,,,,,,
2018,5,1.0,,1,1.0,,,,,,,,3.0,,6,1.0,,,,,,12,3.0,,6,1.0,,,,,
2017,2,,1,,,,,,,,6.0,,,5,,,,,,,,6,,5,,,,,,,
2016,9,,2,4,,,,,,,7.0,1.0,,2,3,,,,,,,9,,2,4,,,,,,
2015,12,,2,4,,,,,,,8.0,2.0,,2,3,,,,,,,12,,2,4,,,,,,
2014,10,,6,3,,,,,,,5.0,4.0,,5,5,,,,,,,10,,6,3,,,,,,
2013,13,,4,4,,,,,,,7.0,3.0,,1,2,,,,,,,13,,4,4,,,,,,
2012,14,2.0,2,4,,,,,,,9.0,3.0,2.0,7,3,,,,,,,14,2.0,2,4,,,,,,
2011,8,1.0,2,1,4.0,6.0,,1.0,1.0,4.0,4.0,1.0,1.0,4,1,1.0,5.0,,3.0,1.0,1.0,8,1.0,2,1,4.0,6.0,,1.0,1.0,4.0
2010,15,1.0,3,4,,9.0,1.0,2.0,2.0,,8.0,5.0,6.0,7,2,,17.0,6.0,4.0,1.0,,15,1.0,3,4,,9.0,1.0,2.0,2.0,
2009,22,9.0,1,2,,17.0,8.0,,,,11.0,3.0,4.0,1,1,,7.0,3.0,,,,22,9.0,1,2,,17.0,8.0,,,
2008,16,2.0,,4,,13.0,2.0,,3.0,,11.0,2.0,2.0,,2,,8.0,2.0,,1.0,,16,2.0,,4,,13.0,2.0,,3.0,
2007,10,,,,,,,,,,8.0,2.0,,,,,,,,,,10,,,,,,,,,
2006,21,,,,,,,,,,11.0,3.0,,,,,,,,,,25,,,,,,,,,
2005,15,,,,,,,,,,14.0,2.0,,,,,,,,,,21,,,,,,,,,
2004,16,,,,,,,,,,7.0,2.0,,,,,,,,,,16,,,,,,,,,
2003,13,,,,,,,,,,8.0,1.0,,,,,,,,,,16,,,,,,,,,
2002,29,,,,,,,,,,17.0,5.0,,,,,,,,,,33,,,,,,,,,
2001,10,,,,,,,,,,8.0,2.0,,,,,,,,,,12,,,,,,,,,
2000,22,,,,,,,,,,14.0,2.0,,,,,,,,,,30,,,,,,,,,
