年份,运动员获世界冠军项数,运动员获女子世界冠军项数,运动员获世界冠军人数,运动员获女子世界冠军人数,运动员获世界冠军个数,运动员获女子世界冠军个数
2019,33,,305,,128,
2018,27,,222,,118,
2017,24,,248,,106,
2016,23,,154,,107,
2015,25,,214,,127,
2014,22,,206,,98,
2013,22,,164,,124,
2012,24,,140,,107,
2011,24,13.5,198,102.0,138,78.0
2010,22,13.0,180,81.0,108,54.5
2009,30,17.0,223,134.0,142,87.5
2008,24,17.0,151,83.0,120,65.5
2007,22,16.0,217,123.0,123,70.0
2006,24,18.0,169,87.0,141,76.0
2005,22,19.0,159,89.0,106,63.0
2004,27,21.0,175,98.0,101,56.0
2003,17,15.5,94,62.5,84,49.0
2002,99,58.0,123,81.0,110,64.0
2001,79,46.5,138,77.0,90,54.5
2000,92,52.0,109,60.0,110,66.5
