省份编码,省份,年份,铁路营业里程(万公里),内河航道里程(万公里),公路里程(万公里),等级公路里程(万公里),高速等级公路里程(万公里),一级等级公路里程(万公里),二级等级公路里程(万公里),等外公路公路里程(万公里)
110000,北京市,2019,0.1366964,,2.2365936,2.2365936,0.1167627,0.1494131,0.4023678,
110000,北京市,2018,0.1264253,,2.2255827,2.2255827,0.1114627,0.1457419,0.4028607,
110000,北京市,2017,0.1264253,,2.222597,2.222597,0.1012877,0.1450145,0.3985366,
110000,北京市,2016,0.12643,,2.2026,2.2026,0.1013,0.1405,0.342,
110000,北京市,2015,0.1284753,,2.1885,2.1885,0.0982,0.1393,0.3361,
110000,北京市,2014,0.1284753,,2.1849,2.1816,0.0982,0.1267,0.3295,0.0033
110000,北京市,2013,0.1276657,,2.1673,2.1485,0.0923,0.1162,0.3273,0.0188
110000,北京市,2012,0.1276259,,2.1492,2.1299,0.0923,0.1118,0.3283,0.0193
110000,北京市,2011,0.1228,,2.1347,2.1155,0.0912,0.0999,0.3279,0.0193
110000,北京市,2010,0.1169,,2.1114,2.092,0.0903,0.0924,0.3196,0.0193
110000,北京市,2009,0.1169,,2.0755,2.0551,0.0884,0.0914,0.3106,0.0204
110000,北京市,2008,0.1167,,2.034,2.0135,0.0777,0.0797,0.2669,0.0205
110000,北京市,2007,0.11199,,2.0754,2.0535,0.0628,0.0768,0.2799,0.0219
110000,北京市,2006,0.11215,1.7e-05,2.0503,2.0223,0.0625,0.0625,0.2515,0.028
110000,北京市,2005,0.11254,,1.4696,1.4481,0.0548,0.0554,0.2368,0.0215
110000,北京市,2004,0.11246,,1.463,1.4404,0.0525,0.056,0.2198,0.0227
110000,北京市,2003,0.11361,,1.4453,1.4139,0.0499,0.042,0.1845,0.0314
110000,北京市,2002,0.11381,,1.4359,1.394,0.0463,0.0331,0.1822,0.0419
110000,北京市,2001,0.11606,,1.3891,1.3445,0.0335,0.0294,0.1796,0.0446
110000,北京市,2000,0.11409,,1.3597,1.3143,0.0267,0.0298,0.1444,0.0454
120000,天津市,2019,0.1185272,0.008848,1.6131882,1.6131882,0.1295188,0.1220527,0.2911574,
120000,天津市,2018,0.1153429,0.008848,1.6256737,1.6256737,0.1261805,0.1209309,0.2985609,
120000,天津市,2017,0.1148862,0.008848,1.6532146,1.6532146,0.1247855,0.1204494,0.3133428,
120000,天津市,2016,0.10609,0.008848,1.6764,1.6764,0.1208,0.1214,0.3215,
120000,天津市,2015,0.1043743,0.008848,1.655,1.655,0.113,0.126,0.3224,
120000,天津市,2014,0.0970927,0.008848,1.611,1.611,0.1113,0.1329,0.3132,
120000,天津市,2013,0.0963432,0.008848,1.5718,1.5718,0.1103,0.1302,0.3241,
120000,天津市,2012,0.0867736,0.008848,1.5391,1.5391,0.1103,0.1145,0.3302,
120000,天津市,2011,0.0867,0.0088,1.5163,1.5163,0.1103,0.1127,0.3244,
120000,天津市,2010,0.0781,0.0088,1.4832,1.4832,0.0982,0.104,0.3165,
120000,天津市,2009,0.0781,0.0088,1.4316,1.4316,0.0885,0.0737,0.3184,
120000,天津市,2008,0.0764,0.0088,1.206,1.206,0.0835,0.0611,0.2392,
120000,天津市,2007,0.06942,0.0088,1.1531,1.1521,0.0682,0.0524,0.2296,0.001
120000,天津市,2006,0.07447,0.0088,1.1316,1.1306,0.0682,0.0519,0.2159,0.001
120000,天津市,2005,0.06646,0.0088,1.0836,1.0791,0.0593,0.0497,0.1729,0.0044
120000,天津市,2004,0.06616,0.0088,1.0514,1.042,0.0517,0.0454,0.1665,0.0094
120000,天津市,2003,0.06663,0.0089,1.0168,0.9901,0.0517,0.042,0.1468,0.0267
120000,天津市,2002,0.06816,0.0443,0.9696,0.9126,0.0331,0.0404,0.1408,0.057
120000,天津市,2001,0.06972,0.0443,0.9647,0.9067,0.0304,0.0404,0.1378,0.058
120000,天津市,2000,0.05312,0.0443,0.8946,0.8869,0.0305,0.037,0.1214,0.0077
130000,河北省,2019,0.779129,,19.6983161,19.3000801,0.7475675,0.684374,2.1311671,0.398236
130000,河北省,2018,0.736181,,19.3252276,18.8475363,0.7280078,0.6341068,2.0986921,0.4776913
130000,河北省,2017,0.7162016,,19.1693209,18.62658,0.6530556,0.5983241,2.0419411,0.5427409
130000,河北省,2016,0.6956,,18.8431,18.2626,0.6502,0.556,1.9902,0.5805
130000,河北省,2015,0.6958106,,18.4553,17.8597,0.6333,0.5408,1.9656,0.5957
130000,河北省,2014,0.6252766,,17.92,17.2891,0.5888,0.5092,1.9274,0.6309
130000,河北省,2013,0.6255526,,17.4492,16.7711,0.5619,0.4816,1.8455,0.6781
130000,河北省,2012,0.5630251,,16.3045,15.5439,0.5069,0.4679,1.7562,0.7606
130000,河北省,2011,0.517,,15.6965,14.9057,0.4756,0.4302,1.6728,0.7908
130000,河北省,2010,0.4916,,15.4344,14.6053,0.4307,0.4037,1.5872,0.8291
130000,河北省,2009,0.488,,15.2135,14.2777,0.3303,0.3632,1.5596,0.9359
130000,河北省,2008,0.4853,,14.9503,13.7459,0.3233,0.3288,1.5241,1.2044
130000,河北省,2007,0.48378,,14.7265,13.3123,0.2853,0.294,1.4867,1.4142
130000,河北省,2006,0.48182,2.3e-05,14.3778,12.7354,0.2329,0.2751,1.3799,1.6424
130000,河北省,2005,0.4652,,7.5894,6.7229,0.2135,0.2645,1.2547,0.8665
130000,河北省,2004,0.46715,,7.02,6.1735,0.1706,0.2499,1.147,0.8465
130000,河北省,2003,0.4744,,6.5391,5.5682,0.1681,0.2169,1.0582,0.9709
130000,河北省,2002,0.45857,0.0075,6.3079,5.3995,0.1591,0.205,0.9835,0.9084
130000,河北省,2001,0.45709,0.0075,6.2615,5.3257,0.1563,0.1936,0.9259,0.9358
130000,河北省,2000,0.36319,0.0075,5.9152,5.6776,0.148,0.1458,0.8028,0.2376
140000,山西省,2019,0.5890406,0.0467065,14.4282501,14.2660243,0.5711143,0.2768225,1.5874194,0.1622258
140000,山西省,2018,0.5440884,0.0467065,14.332615,14.1011973,0.5604781,0.2731109,1.5735968,0.2314177
140000,山西省,2017,0.5316823,0.0467065,14.2855143,14.0201227,0.5335062,0.2638022,1.5691438,0.2653916
140000,山西省,2016,0.52934,0.0467065,14.2066,13.911,0.5265,0.2576,1.5397,0.2956
140000,山西省,2015,0.5085776,0.0467065,14.096,13.7844,0.5028,0.2535,1.5158,0.3116
140000,山西省,2014,0.4979516,0.0467065,14.0436,13.7094,0.5011,0.2472,1.5164,0.3342
140000,山西省,2013,0.3786449,0.0467065,13.9434,13.6039,0.5011,0.2232,1.5106,0.3394
140000,山西省,2012,0.3774471,0.0467065,13.7771,13.4242,0.5011,0.2137,1.4799,0.3529
140000,山西省,2011,0.3774,0.0467,13.4808,13.1002,0.4005,0.207,1.4421,0.3806
140000,山西省,2010,0.3752,0.0467,13.1644,12.7664,0.3003,0.1939,1.4163,0.398
140000,山西省,2009,0.3536,0.0467,12.733,12.131,0.1965,0.1529,1.4124,0.602
140000,山西省,2008,0.3324,0.0467,12.4773,11.4215,0.1965,0.1407,1.3402,1.0558
140000,山西省,2007,0.31145,0.0467,11.9869,10.7102,0.1893,0.1265,1.2628,1.2767
140000,山西省,2006,0.31104,0.0467,11.293,9.6485,0.1752,0.1114,1.1888,1.6444
140000,山西省,2005,0.31539,0.0467,6.9563,6.7785,0.1686,0.1011,1.1586,0.1779
140000,山西省,2004,0.31435,0.0467,6.5813,6.369,0.1347,0.0872,1.0539,0.2123
140000,山西省,2003,0.31375,0.0485,6.3122,6.0838,0.1211,0.0781,0.9407,0.2284
140000,山西省,2002,0.30505,0.0305,5.9611,5.725,0.107,0.0734,0.8851,0.2361
140000,山西省,2001,0.30502,0.0305,5.6993,5.4529,0.0584,0.0695,0.8444,0.2464
140000,山西省,2000,0.25108,0.017,5.5408,5.2767,0.0518,0.0614,0.8189,0.2641
150000,内蒙古自治区,2019,1.3016406,0.2402755,20.6089388,19.9362066,0.6632597,0.8443065,1.8778341,0.6727322
150000,内蒙古自治区,2018,1.2765788,0.2402755,20.2641446,19.5636133,0.6632711,0.7791255,1.7684208,0.7005313
150000,内蒙古自治区,2017,1.267469,0.2402755,19.942289,19.2222155,0.632045,0.7056404,1.7235465,0.7200735
150000,内蒙古自治区,2016,1.23388,0.2402755,19.6061,18.834,0.5153,0.6682,1.6913,0.7721
150000,内蒙古自治区,2015,1.2094185,0.2402755,17.5374,16.3767,0.5016,0.601,1.4607,1.1607
150000,内蒙古自治区,2014,1.0226006,0.2402755,17.2167,16.0123,0.4237,0.629,1.4484,1.2044
150000,内蒙古自治区,2013,1.0203309,0.2402755,16.7515,15.503,0.408,0.5578,1.4392,1.2485
150000,内蒙古自治区,2012,0.9474301,0.2402755,16.3763,15.1046,0.311,0.4666,1.4092,1.2717
150000,内蒙古自治区,2011,0.9162,0.2403,16.0995,14.7946,0.2874,0.371,1.3689,1.3049
150000,内蒙古自治区,2010,0.8947,0.2403,15.7994,14.4395,0.2365,0.3387,1.2443,1.3598
150000,内蒙古自治区,2009,0.8074,0.2403,15.0756,12.2231,0.2176,0.3137,1.1821,2.8525
150000,内蒙古自治区,2008,0.684,0.2403,14.7288,10.9646,0.1879,0.2888,1.1582,3.7643
150000,内蒙古自治区,2007,0.66942,0.2403,13.861,9.0823,0.1768,0.2836,1.0778,4.7787
150000,内蒙古自治区,2006,0.63826,0.2403,12.8762,8.383,0.1254,0.2424,0.9107,4.4932
150000,内蒙古自治区,2005,0.62462,0.2403,7.9029,7.088,0.1001,0.2139,0.8359,0.8149
150000,内蒙古自治区,2004,0.63373,0.2403,7.5976,6.7421,0.0491,0.0522,0.7465,0.8555
