省份编码,省份,年份,邮电业务总量(亿元),邮政业务总量(亿元),电信业务总量(亿元),函件数(亿件),包裹数(万件),报刊期发数(万份),汇票业务(万笔),集邮业务量(万枚),固定本地电话通话时长(万分钟),固定长途电话通话时长(万分钟),移动短信业务量(亿条),移动电话通话时长(万分钟),移动电话去话通话时长(万分钟),移动电话非漫游去话通话时长(万分钟),移动电话国内漫游去话通话时长(万分钟),移动电话国际及港澳台漫游去话通话时长(万分钟),移动电话年末用户(万户),3G移动电话用户(万户),固定电话年末用户(万户),城市电话年末用户数(万户),城市住宅电话年末用户数(万户),农村电话年末用户数(万户),农村住宅电话年末用户数(万户),公用电话用户(万户)
110000,北京市,2019,,460.1080503334,2681.986476,1.867905,187.09,400.53,65.37,7208.01,,,1214.31755721,10818784.489803,5828364.714903,,,,4019.8324,241.0709,543.0847,,,,,
110000,北京市,2018,,397.929664232,1755.46,2.142848,190.15,477.89,112.99,9546.6313,,,1034.991234,12197152.73,6540420.13,,,,4009.22,383.63,577.41,,,,,
110000,北京市,2017,1291.1,419.32,870.581662,2.770205,222.84,460.15,159.92,13237.4635,735136.65,382607.75,591.187205,13369129.8,7111138.52,6180388.93,924976.34,5765.29,3752.067,414.8326,649.4131,529.7549,226.0942,119.6582,72.3599,36.1348
110000,北京市,2016,,386.004123842,593.08,4.408382,260.85,475.06,226.48,14258.8925,982480.66,577177.05,541.7145025,15293210.74,8486633.54,7585258.17,895700.8,5674.56,3869.0,502.93,694.98,561.25,271.9,133.74,86.29,37.2
110000,北京市,2015,1181.8752158256,258.5152158256,923.36,6.124442,383.58,514.42,337.47,14258.0585,1170771.88,447656.76,517.225684,15628777.14,8604120.44,7457827.48,1139262.78,7030.18,3944.44,849.64,784.63,637.98,323.4,146.65,111.63,72.4
110000,北京市,2014,889.8948085228,203.2248085228,686.67,6.609092,499.778,564.74,488.58,12435.4262,1357050.88,424399.52,453.38738,15948934.67,8576036.64,7183410.52,1384130.11,8496.01,4076.42,1906.9,831.26,713.4,373.09,160.18,127.87,81.78
110000,北京市,2013,757.035377778,163.034474778,594.000903,7.15587002,581.7733,609.3573,707.8,14330.4,1552173.3,421738.8,458.99853,15482311.8,8195805.5,7188603.6,999000.3,8201.6,3373.8,1461.0,867.6,695.2,390.5,172.4,135.3,93.0
110000,北京市,2012,631.2342913724,142.3299763724,488.904315,6.72193133,596.6377,728.6032,886.36,15821.3,1595320.0,439915.41437,447.8567,14992700.0,7852021.0,7048231.0,798615.0,5174.0,3168.0171,855.4403,883.2203,705.4958,421.8084,177.7245,141.8191,93.5417
110000,北京市,2011,566.4507384976,130.1607384976,436.29,7.082809,614.5684,725.1219,1027.69,10836.3,1711809.0,495623.0,410.06302,13803155.5,7140396.8,6511363.4,624942.5,4091.0,2576.0,464.7,883.9,700.7,421.6,183.2,146.5,95.2
110000,北京市,2010,1227.339997377,107.339997377,1120.0,6.76647491,636.8669,726.5664,1081.0593,16913.0,,268340.5,369.6071,11635571.1,,,,,2129.8,226.8,885.6,696.4,416.7,189.3,151.8,93.5
