省份编码,省份,年份,邮政营业网点(处),快递营业网点(处),信筒信箱数量(处),农村投递路线(公里),城市投递路线(公里),邮路总长度(公里),航空邮路总长度(公里),铁路邮路总长度(公里),汽车邮路总长度(公里)
110000,北京市,2019,4927,,4397,26538,80885,581856.3,480220,20429,80659.3
110000,北京市,2018,5425,,4562,19649,53375.8,566266.1,480220,19655,67829.2
110000,北京市,2017,5106,,5200,20178,52139,565619.05,480220,19007,65804.15
110000,北京市,2016,7156,,5403,19732,51423,597079.0,510002,23768,62366.0
110000,北京市,2015,6121,6110,5442,19429,50542,273171.0,138849,28661,104697.0
110000,北京市,2014,4129,4110,5552,19771,52396,425591.0,68326,72209,98077.0
110000,北京市,2013,3838,3826,6498,18639,43075.5,448060.0,243129,77291,99055.0
110000,北京市,2012,3086,3052,5973,18669,50624.53,405521.29,236926,35141.29,104867.0
110000,北京市,2011,2447.08090185676,2507,6231,17906,47252,376504.0,227446,35315,85135.0
110000,北京市,2010,2205,,6397,17373,,342767.0,,35141,112620.0
110000,北京市,2009,1804,,6045,17695,,316573.0,,30235,58974.0
110000,北京市,2008,1510,,3757,17290,,317086.0,,27810,61917.0
110000,北京市,2007,1522,,3808,17844,,328356.0,,27850,50584.0
110000,北京市,2006,896,,3686,16521,,319548.0,,29940,45737.0
110000,北京市,2005,892,,3595,18203,,392589.0,,27898,45097.0
110000,北京市,2004,845,,3564,17603,,390587.0,,27566,46899.0
110000,北京市,2003,874,,3459,17263,,367731.0,,29369,44552.0
110000,北京市,2002,817,,2743,17212,,129746.0,,19728,46870.0
110000,北京市,2001,715,,2734,17892,,124814.0,,19728,43877.0
110000,北京市,2000,767,,,,,,,,
120000,天津市,2019,3266,,2598,26653,30560,148165.0,95612,,49923.0
120000,天津市,2018,2444,,2594,20739,23613.6,126491.0,97700,,28791.0
120000,天津市,2017,2084,,3214,20298.3,22790.6,117485.5,90700,2456,24329.5
120000,天津市,2016,1956,,3478,19879,23832,141418.0,116410,2436,22572.0
120000,天津市,2015,1831,1814,3784,20311,23031,110688.0,82894,2436,18496.0
120000,天津市,2014,1386,1342,3636,19382,18712,133348.0,102769,5088,21184.0
120000,天津市,2013,1423,1405,3736,19009,15899,57874.0,32033,6311,17346.0
120000,天津市,2012,1068,1068,2836,18661,15438,157480.0,86238,6311,57864.0
120000,天津市,2011,702.379575596817,765,2561,17576,12180,94117.5,68479.5,6195,16273.0
120000,天津市,2010,749,,2093,16872,,75097.0,,5957,15828.0
120000,天津市,2009,601,,1422,16919,,83919.0,,5957,11845.0
120000,天津市,2008,632,,1428,17744,,37758.0,,5754,12974.0
120000,天津市,2007,673,,1436,16420,,26872.0,,5754,11788.0
120000,天津市,2006,464,,1474,16436,,23902.0,,5754,11444.0
120000,天津市,2005,456,,1728,16144,,21996.0,,5754,10671.0
120000,天津市,2004,406,,1656,16172,,21705.0,,5071,11114.0
120000,天津市,2003,364,,1649,16438,,19986.0,,5071,9395.0
120000,天津市,2002,364,,1832,15949,,21689.0,,5071,9499.0
120000,天津市,2001,363,,1981,17789,,19636.0,,5071,7295.0
120000,天津市,2000,563,,,,,,,,
130000,河北省,2019,12352,,2801,211971,91190,149237.0,33182,,115704.0
130000,河北省,2018,9836,,2681,206532.4,73378.4,215993.4,77021,,138398.4
130000,河北省,2017,7014,,2731,199770.93,68910.17,203289.4,76753,,125273.4
130000,河北省,2016,6537,,2788,191528.76,63327.95,149981.45,41384,1583,105751.45
130000,河北省,2015,5663,4830,2718,180440.42,61635.85,170095.7,73520,1783,93666.7
130000,河北省,2014,4339,3697,3798,192080.6,76230.3,169077.0,73520,1783,92901.0
130000,河北省,2013,3349,3260,4314,182970.4,56742.75,73422.0,6020,1622,65497.0
130000,河北省,2012,2843,2734,4472,191861.3,62027.93,78039.5,6020,1622,69476.5
130000,河北省,2011,2492.25039787798,2461,4486,200035,59745,71367.2,5775,3671,61921.2
130000,河北省,2010,2353,,5009,200437,,113496.0,,3671,67707.0
130000,河北省,2009,1962,,5392,182407,,63509.0,,3671,58540.0
130000,河北省,2008,2066,,5999,182072,,54947.0,,3671,49305.0
130000,河北省,2007,2138,,6087,167991,,49106.0,,1431,45708.0
130000,河北省,2006,2610,,6307,166199,,46095.0,,1431,42753.0
130000,河北省,2005,2679,,6613,166054,,47300.0,,1431,43946.0
130000,河北省,2004,2484,,7128,157430,,54120.0,,5578,46446.0
130000,河北省,2003,2487,,8088,155408,,52827.0,,7851,42929.0
130000,河北省,2002,2546,,8755,155407,,45088.0,,4094,39010.0
130000,河北省,2001,2013,,10466,154200,,40777.0,,1686,37079.0
130000,河北省,2000,,,,,,,,,
140000,山西省,2019,7269,,1726,107925,55502,115074.0,56217,,58857.0
140000,山西省,2018,6779,,1645,109230.8,38885.8,92464.8,38064,,54290.8
140000,山西省,2017,6596,,1425,109632.47,38371.32,89303.0,37263,,51709.0
140000,山西省,2016,5972,,1362,108813.42,36276.41,96085.5,50378,4153,41553.7
140000,山西省,2015,5906,5580,1320,102496.3,33683.48,93321.0,49848,4196,37271.0
140000,山西省,2014,4100,3568,1460,123081.2,39001.47,55370.0,48874,4661,45571.0
140000,山西省,2013,3228,2727,2373,122558.5,36458.4,98198.0,46260,8179,37944.0
140000,山西省,2012,2097,1728,2508,119338.06,35408.7,97314.0,41518,8430,41245.0
140000,山西省,2011,1582.15411140584,1300,2747,116345,31406,106655.0,51268,8033,40697.0
140000,山西省,2010,1502,,2811,113916,,92499.0,,7600,29349.0
140000,山西省,2009,1533,,2932,111344,,73997.0,,7650,28385.0
140000,山西省,2008,1640,,3171,110244,,73455.0,,7041,27849.0
140000,山西省,2007,1656,,3253,107441,,66166.0,,6869,25346.0
140000,山西省,2006,1623,,3492,106144,,66645.0,,6869,25306.0
140000,山西省,2005,1603,,3517,105761,,75942.0,,6869,24008.0
140000,山西省,2004,1608,,3369,102506,,58272.0,,5329,25140.0
140000,山西省,2003,1633,,3594,102385,,104201.0,,5427,23650.0
140000,山西省,2002,1683,,3434,101721,,104509.0,,5427,23981.0
140000,山西省,2001,1674,,3707,102566,,103076.0,,5782,23573.0
140000,山西省,2000,,,,,,,,,
150000,内蒙古自治区,2019,5880,,1536,157263,82521,150098.0,62346,3941,83811.0
150000,内蒙古自治区,2018,4934,,1600,161654.7,64788.4,247188.6,166400,3941,76544.0
150000,内蒙古自治区,2017,4605,,1540,122016.37,64890.98,282128.8,185847,2426,93630.8
150000,内蒙古自治区,2016,4150,,1381,114413.87,53521.83,266579.95,163700,2316,100107.45
150000,内蒙古自治区,2015,3562,3477,1229,114098.12,42927.23,222549.6,116100,8920,96841.1
150000,内蒙古自治区,2014,2981,2462,2174,115218.7,45162.5,199086.2,117700,3818,76909.2
150000,内蒙古自治区,2013,2682,2104,2361,109301.5,41589.8,184995.0,116300,2718,64496.1
150000,内蒙古自治区,2012,2204,1596,2397,109253.3,41462.49,154665.7,63615,4066,85253.7
