省份编码,省份,年份,公路营运汽车拥有量(万辆),公路营运载客汽车拥有量(万辆),公路营运汽车客位数(万客位),公路营运载货汽车拥有量(万辆),公路营运普通载货汽车拥有量(万辆),公路营运载货汽车吨位数(吨),公路营运普通载货汽车吨位数(吨位)
110000,北京市,2019,16.0975,7.5357,84.3196,8.5618,5.1234,810984,467806
110000,北京市,2018,24.3888,7.5262,82.662,16.8626,14.6127,964320,648711
110000,北京市,2017,25.9168,7.2068,82.989,18.71,15.218,1066815,627856
110000,北京市,2016,25.0948,6.985,81.5007,18.1098,14.8178,1021452,602493
110000,北京市,2015,25.0836,6.6136,70.3583,18.47,15.6286,950308,648416
110000,北京市,2014,26.1,5.8042,73.3061,20.2958,17.4271,962148,641935
110000,北京市,2013,24.1105,5.4822,69.1431,18.6283,15.8731,869250,558462
110000,北京市,2012,21.2836,4.92,68.8646,16.3636,14.699,705198,492984
110000,北京市,2011,18.6043,4.2887,64.5795,14.3156,12.8217,622149,429184
110000,北京市,2010,15.75,3.12,54.07,12.63,11.31,542500,373500
110000,北京市,2009,17.9577,3.5439,73.5742,14.4138,13.1398,644584,493236
110000,北京市,2008,15.0893,2.9351,48.6369,12.1542,11.0887,501831,383766
110000,北京市,2007,13.7848,2.8722,39.6233,10.9126,9.8012,430885,328962
110000,北京市,2006,16.7016,2.4218,31.8265,14.2798,13.2552,538908,450119
110000,北京市,2005,12.9234,0.5334,20.1793,12.39,11.5956,495700,420000
110000,北京市,2004,12.03,0.4,15.81,11.63,10.96,490700,429700
110000,北京市,2003,11.97,0.4,14.03,11.57,10.89,479200,411300
110000,北京市,2002,10.56,0.39,12.8,10.17,9.51,437000,375300
110000,北京市,2001,9.43,0.49,16.82,8.94,8.33,419100,359200
110000,北京市,2000,7.94,0.33,12.14,7.61,7.05,323400,272800
120000,天津市,2019,10.9621,0.8976,37.6782,10.0645,2.2355,1393248,224658
120000,天津市,2018,18.831,0.8723,36.5502,17.9587,10.8347,1405537,350052
120000,天津市,2017,19.2736,0.8191,33.9277,18.4545,12.21,1310455,362292
120000,天津市,2016,19.3378,0.8244,33.4084,18.5134,12.7224,1221949,357015
120000,天津市,2015,17.8388,0.8509,33.6656,16.9879,11.9563,1088205,326191
120000,天津市,2014,18.0472,0.9136,35.6283,17.1336,12.0272,1028634,330750
120000,天津市,2013,16.9099,0.9305,35.8961,15.9794,11.4929,864307,271985
120000,天津市,2012,12.3974,0.9342,35.7103,11.4632,10.5222,304727,227420
120000,天津市,2011,10.9363,0.9257,34.5785,10.0106,9.2915,253939,200628
120000,天津市,2010,8.49,0.86,31.64,7.62,7.08,210100,162200
120000,天津市,2009,8.1093,0.819,29.3521,7.2903,6.7638,228594,173549
120000,天津市,2008,8.0364,0.7906,27.6527,7.2458,6.7041,225317,168220
120000,天津市,2007,8.1004,0.733,25.0762,7.3674,6.4412,334869,242064
120000,天津市,2006,6.6372,0.6662,22.1042,5.971,5.0148,273042,179809
120000,天津市,2005,7.3755,0.6073,18.78,6.7682,5.8254,341600,241100
120000,天津市,2004,6.72,0.52,15.69,6.19,5.36,310700,221300
120000,天津市,2003,6.22,0.58,15.32,5.64,4.58,255600,178200
120000,天津市,2002,6.34,0.45,13.24,5.89,4.76,317100,207700
120000,天津市,2001,6.51,0.41,12.29,6.1,5.55,293600,225300
120000,天津市,2000,6.63,0.32,9.14,6.3,5.78,320200,238200
130000,河北省,2019,118.1799,2.214,67.0683,115.9659,33.8686,15272752.0,2799957
130000,河北省,2018,138.2163,2.3018,68.457,135.9145,56.8869,15379548.0,3066359
130000,河北省,2017,146.4952,2.4737,70.8233,144.0215,73.3166,14083495.0,3388675
130000,河北省,2016,145.1827,2.5302,70.228,142.6525,76.3233,13560407.0,3370491
130000,河北省,2015,142.4651,2.518,68.4387,139.9471,78.5552,12837757.0,3537983
130000,河北省,2014,140.6067,2.6462,70.5999,137.9605,80.7218,12049368.0,3549328
130000,河北省,2013,134.4509,2.9731,72.8492,131.4778,77.0117,11505355.0,3714678
130000,河北省,2012,103.2157,3.225,77.978,99.9907,95.7123,9241756,8583835
130000,河北省,2011,93.4407,2.9926,73.5774,90.4481,86.5379,8024066,7438714
130000,河北省,2010,80.73,3.01,69.54,77.73,74.01,6896400,6358600
130000,河北省,2009,71.5265,8.8647,94.2333,62.6618,59.9388,4830810,4492390
130000,河北省,2008,59.9604,8.4441,85.9709,51.5163,49.0187,3634606,3346655
130000,河北省,2007,51.0693,8.1349,81.8628,42.9344,41.0329,2634512,2415135
130000,河北省,2006,44.2344,7.5838,75.2639,36.6506,32.0134,2157782,1670544
130000,河北省,2005,39.8541,2.1699,47.8597,37.6842,36.4153,2379100,2243400
130000,河北省,2004,71.45,27.53,207.16,43.92,42.76,2070700,1965300
130000,河北省,2003,65.53,23.98,194.01,41.56,40.59,1811800,1745900
130000,河北省,2002,60.6,21.31,180.81,39.3,38.43,1688800,1621800
130000,河北省,2001,57.22,19.33,188.44,37.89,37.19,1543700,1489600
130000,河北省,2000,54.5,18.3,185.9,36.21,35.53,1494400,1448400
140000,山西省,2019,50.2946,1.4798,36.4765,48.8148,9.5773,7749965,1255567
140000,山西省,2018,60.9761,1.5619,38.4838,59.4142,23.9283,7194212,1478329
140000,山西省,2017,58.8974,1.4873,38.227,57.4101,25.3842,6813808,1581644
140000,山西省,2016,49.9682,1.4516,38.0417,48.5166,23.6617,5508638,1504848
140000,山西省,2015,51.5878,1.4012,37.9146,50.1866,28.7933,5102877,1794283
140000,山西省,2014,53.0518,1.4223,39.6355,51.6295,31.7147,4995822,1941609
140000,山西省,2013,50.2946,1.4029,39.6213,48.8917,30.3006,4657458,1834228
140000,山西省,2012,42.4072,1.4764,41.0503,40.9308,39.9292,4179485,4056289
140000,山西省,2011,40.8375,1.5152,39.4841,39.3223,38.4032,3672055,3563134
140000,山西省,2010,39.0,1.54,38.69,37.46,36.61,3170900,3071400
140000,山西省,2009,37.7609,2.0753,42.1227,35.6856,34.851,2519756,2429929
140000,山西省,2008,34.3503,2.1216,41.6324,32.2287,31.5851,2179501,2108893
140000,山西省,2007,23.7622,1.6553,35.7842,22.1069,21.5771,1474009,1420801
140000,山西省,2006,21.3389,1.6833,30.9339,19.6556,19.2171,1436940,1396502
140000,山西省,2005,20.8351,2.1281,29.9315,18.707,18.4419,1212700,1189000
140000,山西省,2004,25.31,5.35,51.77,19.96,19.74,1173800,1157700
140000,山西省,2003,23.04,6.04,56.82,17.0,16.76,837700,825300
140000,山西省,2002,22.99,6.42,57.15,16.58,16.42,802900,791700
140000,山西省,2001,23.32,6.9,60.65,16.42,16.26,751600,742300
140000,山西省,2000,21.72,6.31,57.44,15.41,15.21,672800,659800
150000,内蒙古自治区,2019,26.6599,1.097,38.3598,25.5629,11.5605,2779970,860908
150000,内蒙古自治区,2018,30.9537,1.1378,40.1276,29.8159,17.2134,2524678,822066
150000,内蒙古自治区,2017,33.0777,1.1607,39.3813,31.917,20.948,2546464,1087166
