省份编码,省份,年份,互联网上网人数(万人),域名数(万个),网站数(万个),网页数(万个),互联网宽带接入端口(万个),互联网拨号用户(万户),移动互联网用户(万户),移动互联网接入流量(万GB),互联网宽带接入用户(万户),城市宽带接入用户(万户),农村宽带接入用户(万户)
110000,北京市,2019,,504.9877,,11249165.1009,2060.1009,,3289.1977,295127.402965,688.1051,626.2716,61.8335
110000,北京市,2018,,443.4713,71.9152,10695275.119,2059.86,,3291.13,181330.15,638.8,571.03,67.78
110000,北京市,2017,,537.4574,70.5622,9531606.1402,1818.0432,46.221,4639.7233,78117.85,541.936,471.1598,70.7762
110000,北京市,2016,1690,645.7379,60.9298,8400646.4674,1784.0416,46.23,3594.04,33436.11,475.76,398.02,77.74
110000,北京市,2015,1647,485.7,51.5,8501840.2,1580.53,46.55,3251.7,15334.75,491.9,406.0,85.9
110000,北京市,2014,1593,265.4888,45.7032,5516153.3346,1159.86,46.55,2785.37,7793.89,482.4,377.73,104.67
110000,北京市,2013,1556,185.7328,43.9432,3773152.0746,1186.8,45.9,,,480.4,383.6255,96.7778
110000,北京市,2012,1458,125.5887,39.8462,3809450.161,1076.7615,46.1443,,,473.6949,379.3053,94.3896
110000,北京市,2011,1379,106.1328,38.4881,2993042.488,801.8,47.7,,,510.8,416.9,93.9
110000,北京市,2010,1218,,,,633.4,,,,,,
110000,北京市,2009,1103,,,,563.1922,,,,,,
110000,北京市,2008,980,,,,455.3157,,,,,,
110000,北京市,2007,737,,,,398.7,,,,,,
110000,北京市,2006,468,,,,335.1782,,,,,,
110000,北京市,2005,428,,,,,,,,,,
110000,北京市,2004,402,,,,,,,,,,
110000,北京市,2003,398,,,,,,,,,,
110000,北京市,2002,266.1174,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,
120000,天津市,2019,,33.4146,,437772.5523,1092.5994,,1450.7073,136299.254485,523.6254,479.5392,44.0862
120000,天津市,2018,,26.7328,5.4287,465062.9189,897.37,,1352.46,79874.06,437.91,411.77,26.15
120000,天津市,2017,,26.5043,5.8202,467368.3588,795.3052,,1309.5592,25341.76,339.3455,324.9701,14.3754
120000,天津市,2016,999,35.3755,5.1168,367090.4149,724.3251,,1125.42,10100.27,283.93,276.12,7.81
120000,天津市,2015,956,34.9,4.4,256538.7,470.24,12.3,958.11,5458.89,249.84,244.3,5.54
120000,天津市,2014,904,15.3507,3.6213,793676.075,397.65,12.33,805.69,3027.78,208.81,206.85,1.96
120000,天津市,2013,866,11.5133,3.6617,725108.435,353.9,12.4,,,188.4,187.9061,0.5369
120000,天津市,2012,793,11.7168,3.6742,275989.0512,461.6728,12.5232,,,204.778,204.268,0.51
120000,天津市,2011,719,8.3414,2.6362,253231.965,367.9,12.9,,,186.7,186.0,0.7
120000,天津市,2010,648,,,,230.0,,,,,,
120000,天津市,2009,564,,,,184.4856,,,,,,
120000,天津市,2008,485,,,,163.1458,,,,,,
120000,天津市,2007,287,,,,119.2,,,,,,
120000,天津市,2006,260,,,,95.8987,,,,,,
120000,天津市,2005,229,,,,,,,,,,
120000,天津市,2004,193,,,,,,,,,,
120000,天津市,2003,144.6,,,,,,,,,,
120000,天津市,2002,128.1854,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,
130000,河北省,2019,,138.385,,1116138.3615,4345.8248,,6915.1532,547784.082736,2359.6651,1407.2518,952.4133
130000,河北省,2018,,86.8084,12.274,1025297.9253,4192.38,,6505.32,306648.36,2159.77,1302.24,857.53
130000,河北省,2017,,63.7602,13.1471,1054868.5876,4126.8812,0.0309,6211.8028,102527.73,1910.1037,1189.0719,721.0318
130000,河北省,2016,3956,74.9406,12.6574,872714.725,3841.0799,0.03,5518.33,37107.75,1612.02,1039.96,572.06
130000,河北省,2015,3731,60.4,11.9,630949.9,2948.52,0.04,4588.67,12965.36,1317.22,890.75,426.46
130000,河北省,2014,3603,35.9846,9.4171,678615.3241,2204.74,0.05,4034.11,7184.58,1127.64,704.89,422.75
