省份编码,省份,年份,铁路运输业就业人员数(人),公路运输业就业人员数(人),城市公共交通业就业人员数(人),水上运输业就业人员数(人),航空运输业就业人员数(人),管道运输业就业人员数(人),装卸搬运和其他运输服务业就业人员数(人),邮政业就业人员数(人),电信和其他信息传输服务业就业人员数(人)
110000,北京市,2019,103262,262211,,278,80757,4522,,96389,
110000,北京市,2018,105933,279774,,304,83122,4287,,84799,
110000,北京市,2017,107648,282494,,242,81327,5548,40532,49169,
110000,北京市,2016,110033,279180,,248,75996,2465,42288,61513,
110000,北京市,2015,111210,288787,,279,70708,6249,41671,69749,
110000,北京市,2014,110883,282196,,269,68975,6183,42874,79706,
110000,北京市,2013,99577,273618,,324,66653,5947,51056,82206,
110000,北京市,2012,114534,269366,,205,62527,2715,49574,66715,
110000,北京市,2011,123906,46607,214722,140,57941,2480,49626,63673,134259
110000,北京市,2010,116901,51532,217499,95,37309,2325,32614,37884,89462
110000,北京市,2009,117802,50340,213184,112,35847,1937,30236,37218,82865
110000,北京市,2008,97147,38236,178358,50,34615,1857,27492,34949,67456
110000,北京市,2007,97235,34816,174992,44,29159,125,26314,32560,66573
110000,北京市,2006,87695,32215,175786,45,26740,122,22514,28780,57792
110000,北京市,2005,59276,28671,160137,85,29824,121,15537,26494,52965
110000,北京市,2004,54528,24037,151732,,32487,122,15023,25769,45544
110000,北京市,2003,50683,22089,152131,32,17805,114,14483,18954,44594
110000,北京市,2002,55212,23447,,,10175,,,,
110000,北京市,2001,61079,20803,,,10026,103,,,
110000,北京市,2000,61000,24000,,,10000,,,,
120000,天津市,2019,28282,58793,,10860,8896,608,,13363,
120000,天津市,2018,11321,61561,,12520,8923,525,,9075,
120000,天津市,2017,20252,55494,,17427,9976,437,16715,7679,
120000,天津市,2016,14834,57471,,18034,8836,517,18072,10841,
120000,天津市,2015,20890,56129,,19046,9768,414,15829,8728,
120000,天津市,2014,21202,51638,,20070,9154,232,14154,6852,
120000,天津市,2013,21298,51413,,21192,8236,235,13272,8479,
120000,天津市,2012,27381,50326,,24213,7246,233,11502,7117,
120000,天津市,2011,18118,17652,22500,22329,3055,218,18377,3805,16333
120000,天津市,2010,19804,17526,23001,23780,3868,216,23111,3751,13192
120000,天津市,2009,19477,18328,22079,23998,3352,114,21109,4247,13667
120000,天津市,2008,14838,18720,20496,22913,3438,113,11720,4215,14582
120000,天津市,2007,15642,13395,19771,24329,1679,184,13220,4572,14918
120000,天津市,2006,16257,15119,15663,25088,2464,91,10143,4637,14158
120000,天津市,2005,19568,14320,16214,27313,2156,91,10859,4756,13166
120000,天津市,2004,29594,15380,15680,24028,2787,93,12745,5175,11624
120000,天津市,2003,33485,15481,16106,27580,2754,,9890,4887,11139
120000,天津市,2002,33625,22925,,3482,2300,24004,,,
120000,天津市,2001,32345,15755,,14078,1651,,,,
120000,天津市,2000,34000,17000,,9000,2000,,,,
130000,河北省,2019,88090,117971,,18039,5716,113,,29594,
130000,河北省,2018,51072,121007,,21244,5880,1453,,28692,
130000,河北省,2017,51668,117390,,23630,5487,1203,7547,24753,
130000,河北省,2016,55748,148054,,23851,4766,1186,10902,30525,
130000,河北省,2015,58150,150198,,24393,5538,1235,10666,30125,
130000,河北省,2014,57000,144943,,25734,4151,647,12706,32129,
130000,河北省,2013,51533,138157,,25568,3306,567,11742,33311,
130000,河北省,2012,57197,114234,,27100,1795,1586,4448,28601,
130000,河北省,2011,60746,85674,31688,26910,1810,1669,3634,23970,57811
130000,河北省,2010,60233,90642,29679,26909,1943,1694,4152,27338,61439
130000,河北省,2009,63144,92366,29411,26548,1128,2054,4221,27721,59291
130000,河北省,2008,64168,89132,27010,23142,1640,1314,4426,16805,36922
130000,河北省,2007,63030,91627,25026,23680,1688,1082,7504,24210,53102
130000,河北省,2006,75136,90565,21819,23004,1687,1015,7309,23226,49072
130000,河北省,2005,77699,91657,21400,22620,760,1054,7422,19912,41289
130000,河北省,2004,83844,79062,23273,22438,785,1055,11476,20166,41550
130000,河北省,2003,86672,85502,19562,22251,1163,3780,12004,19129,33299
130000,河北省,2002,92033,47859,,1896,2364,417,,,
130000,河北省,2001,93911,53762,,2136,1309,384,,,
130000,河北省,2000,97000,58000,,2000,1000,,,,
140000,山西省,2019,102588,75783,,30,5051,259,,15977,
140000,山西省,2018,104705,76661,,79,6514,,,17121,
140000,山西省,2017,113340,84034,,68,6100,317,2686,21148,
140000,山西省,2016,114877,83031,,70,5994,291,2557,21148,
140000,山西省,2015,120233,84688,,70,5121,438,2437,21476,
140000,山西省,2014,123050,84807,,72,4933,440,2635,22288,
140000,山西省,2013,114927,82492,,74,5196,423,2411,22449,
140000,山西省,2012,110408,76692,,43,4853,322,3630,19899,
140000,山西省,2011,113638,49288,17568,56,4556,,4526,21041,48308
140000,山西省,2010,107817,45638,17067,42,3373,,4455,16771,39949
140000,山西省,2009,110274,47265,17373,76,3566,,4682,19890,41711
140000,山西省,2008,109100,51412,17401,44,3559,,3280,17227,38279
140000,山西省,2007,108131,51563,16686,68,3579,,3277,20276,38358
140000,山西省,2006,107516,44563,16601,68,3633,,3405,19061,32639
140000,山西省,2005,102135,43942,16880,61,3496,,3353,17879,33394
140000,山西省,2004,108975,50025,16576,67,4258,,3358,15092,28858
140000,山西省,2003,112977,52184,16718,120,3518,,5587,14865,23362
140000,山西省,2002,100975,27553,,31,2219,,,,
140000,山西省,2001,110869,32183,,39,1875,,,,
140000,山西省,2000,110000,35000,,,2000,,,,
150000,内蒙古自治区,2019,108116,57632,,2,7407,185,,16459,
150000,内蒙古自治区,2018,103833,65806,,27,5252,104,,18227,
150000,内蒙古自治区,2017,103297,68690,,27,4672,62,7633,21025,
150000,内蒙古自治区,2016,123971,69790,,26,4486,90,2343,21491,
150000,内蒙古自治区,2015,104535,66565,,23,4241,,3165,21968,
150000,内蒙古自治区,2014,108515,69230,,24,4064,,2632,23734,
150000,内蒙古自治区,2013,108259,73428,,31,4076,,1644,23101,
150000,内蒙古自治区,2012,95616,44885,,32,4022,,4887,14409,
150000,内蒙古自治区,2011,90998,33902,12976,166,3805,,2977,13230,41490
150000,内蒙古自治区,2010,92318,33012,12440,178,3746,,1659,13244,38661
150000,内蒙古自治区,2009,88745,34027,12245,180,3704,,3622,13438,38645
150000,内蒙古自治区,2008,84812,32679,12373,166,3877,,2712,13344,36528
150000,内蒙古自治区,2007,88770,32674,11619,156,3344,,1538,12900,35080
150000,内蒙古自治区,2006,81222,31533,10919,155,3166,,1518,12107,30309
150000,内蒙古自治区,2005,87248,32480,10663,154,2729,,1559,12227,24260
150000,内蒙古自治区,2004,89106,32210,10741,46,3014,,1695,13440,25877
150000,内蒙古自治区,2003,85616,33692,11173,49,2761,,3884,11120,23967
150000,内蒙古自治区,2002,85306,15041,,,1048,,,,
150000,内蒙古自治区,2001,83646,17402,,,1051,,,,
150000,内蒙古自治区,2000,91000,20000,,,1000,,,,
210000,辽宁省,2019,112596,115587,,28394,18345,757,,16050,
210000,辽宁省,2018,107581,122535,,15757,20106,808,,16630,
210000,辽宁省,2017,107152,133234,,47452,20240,2100,16465,19383,
210000,辽宁省,2016,109380,122195,,48621,19450,3148,18225,20334,
210000,辽宁省,2015,113752,134523,,39813,19728,3227,18292,20694,
210000,辽宁省,2014,119016,136190,,46028,19601,3112,17398,23283,
210000,辽宁省,2013,119040,142378,,39223,19150,3839,17867,23404,
210000,辽宁省,2012,118775,96900,,48823,18499,3749,9348,19521,
210000,辽宁省,2011,105480,71020,37028,44916,15047,3535,20762,20118,57468
210000,辽宁省,2010,102274,65815,38102,31549,9949,2418,22876,18829,45664
210000,辽宁省,2009,136249,69565,36149,25088,10812,2838,8102,17212,39971
210000,辽宁省,2008,136513,66007,42723,28353,11075,2082,13008,15796,37611
210000,辽宁省,2007,133788,61846,43117,28618,10847,3313,14489,18250,36628
210000,辽宁省,2006,111074,62037,41256,29956,10787,3107,36211,18891,36133
210000,辽宁省,2005,125566,64804,43536,25223,10483,3285,8364,19700,37014
210000,辽宁省,2004,104248,68492,44613,30861,10245,3283,24505,18412,37164
210000,辽宁省,2003,106344,70771,45251,33877,11094,3477,24280,16758,36571
210000,辽宁省,2002,108003,33007,,9977,9494,3700,,,
210000,辽宁省,2001,112158,51827,,10530,9418,3284,,,
210000,辽宁省,2000,117000,57000,,12000,9000,3000,,,
220000,吉林省,2019,62565,61878,,36,3773,172,,20332,
220000,吉林省,2018,58361,49051,,54,6484,935,,19664,
220000,吉林省,2017,62234,53566,,59,6550,1013,620,21513,
220000,吉林省,2016,63592,52935,,159,6212,1079,944,18296,
220000,吉林省,2015,65815,56383,,143,6397,1084,1093,18841,
220000,吉林省,2014,67959,54719,,123,5491,1104,1201,19509,
220000,吉林省,2013,68771,60989,,831,5379,1117,1384,20901,
220000,吉林省,2012,67513,44849,,811,5286,1157,1376,12358,
220000,吉林省,2011,65005,25405,20058,743,4852,1406,1518,12182,39904
220000,吉林省,2010,69227,26025,17992,181,4700,1245,1862,11808,36816
220000,吉林省,2009,74633,28106,16992,180,4525,1418,1850,11754,35972
220000,吉林省,2008,77429,27285,15721,183,4489,1403,1592,11898,29379
220000,吉林省,2007,72373,28578,15083,199,4225,1407,4991,14055,27827
220000,吉林省,2006,71198,29905,15570,557,4509,1501,13767,14207,26692
220000,吉林省,2005,78373,35491,16642,370,3892,1371,9258,13408,26173
220000,吉林省,2004,80571,38312,17951,1875,3554,1364,14056,15311,22345
220000,吉林省,2003,83710,39824,17575,750,3342,900,16189,14085,20775
220000,吉林省,2002,83685,23268,,544,2550,912,,,
220000,吉林省,2001,88499,26796,,545,2768,848,,,
220000,吉林省,2000,92000,28000,,1000,3000,1000,,,
230000,黑龙江省,2019,137316,60614,,648,10855,579,,27211,
230000,黑龙江省,2018,126389,66041,,3401,4667,613,,29304,
230000,黑龙江省,2017,130016,73285,,3508,9578,614,3326,29512,
230000,黑龙江省,2016,132249,72898,,3617,8445,606,3536,30037,
230000,黑龙江省,2015,134674,74505,,3751,7161,632,4279,29652,
230000,黑龙江省,2014,135965,74614,,2521,7154,656,4597,31334,
230000,黑龙江省,2013,139143,76624,,3103,6733,767,4177,30200,
230000,黑龙江省,2012,120954,77338,,2748,6102,847,4081,25732,
230000,黑龙江省,2011,118662,64459,16596,3463,4782,795,5649,24279,56496
230000,黑龙江省,2010,118915,64412,12061,3235,4188,521,6706,21544,50804
230000,黑龙江省,2009,121209,67053,11694,3271,4086,496,10803,23499,49624
230000,黑龙江省,2008,116988,69246,11867,3146,4134,442,10969,18747,44529
230000,黑龙江省,2007,117417,72635,13046,3593,4920,446,13825,21043,41766
230000,黑龙江省,2006,120681,69495,12677,4010,3515,476,14062,20762,38268
230000,黑龙江省,2005,118890,69662,13610,3605,3725,477,17260,21113,35292
230000,黑龙江省,2004,119559,71928,16604,5276,4055,496,13913,20937,37698
230000,黑龙江省,2003,116337,69570,29462,5994,3907,541,12206,21858,34056
230000,黑龙江省,2002,114832,27685,,4914,3747,,,,
230000,黑龙江省,2001,114234,30471,,5236,3661,322,,,
230000,黑龙江省,2000,125000,29000,,6000,4000,,,,
310000,上海市,2019,33685,179731,,31571,82811,944,,33286,
310000,上海市,2018,38340,181993,,51285,91436,1443,,24187,
310000,上海市,2017,39422,188720,,53622,85911,1370,84213,28186,
310000,上海市,2016,40590,196395,,53610,83947,4383,72452,31065,
310000,上海市,2015,41758,206868,,54707,73429,1345,70974,33369,
310000,上海市,2014,42045,209885,,55938,61645,1389,73288,35052,
310000,上海市,2013,45222,202798,,50539,60843,1454,67921,32400,
310000,上海市,2012,30925,174277,,55143,57671,167,17596,21248,
310000,上海市,2011,29494,39038,163436,55036,57018,110,20035,33022,36500
310000,上海市,2010,27223,24698,159943,55668,36763,,18208,26548,29655
310000,上海市,2009,26774,26152,157986,55652,29999,,20127,25949,28861
310000,上海市,2008,25124,16639,104882,51234,27742,,15865,11700,22339
310000,上海市,2007,25094,16531,104521,51571,25917,,14528,13482,21961
310000,上海市,2006,25701,16053,103478,51511,24251,,11471,14101,21430
310000,上海市,2005,24468,17807,105758,53416,22269,,12070,14528,22737
310000,上海市,2004,26368,17787,113384,56023,20537,,13955,15082,20545
310000,上海市,2003,33215,18358,120885,60219,19467,,10402,16959,20550
310000,上海市,2002,32612,17404,,31839,9914,,,,
310000,上海市,2001,33443,23108,,32463,9985,694,,,
310000,上海市,2000,34000,25000,,37000,9000,1000,,,
320000,江苏省,2019,63962,233644,,51663,16798,7545,,43619,
320000,江苏省,2018,20109,246682,,62071,15061,8727,,51465,
320000,江苏省,2017,23883,251916,,71741,15241,9905,32327,57203,
320000,江苏省,2016,23204,259038,,77294,15805,10626,34174,57103,
320000,江苏省,2015,23299,253790,,79482,14552,11043,35368,56177,
320000,江苏省,2014,24197,253433,,81064,13249,11553,36763,59899,
320000,江苏省,2013,23336,239597,,78329,13368,10381,36773,64419,
320000,江苏省,2012,35325,138456,,49049,10292,15411,12493,37386,
320000,江苏省,2011,48041,93457,41710,58471,9419,10442,9479,35053,68977
320000,江苏省,2010,61423,81189,43708,58536,8574,11291,8714,30876,64805
320000,江苏省,2009,60518,80820,39534,58914,8429,7808,9090,33584,62447
320000,江苏省,2008,63048,78302,37001,58399,7110,7721,11041,22119,48507
320000,江苏省,2007,58945,80080,36645,63431,8492,7523,12961,24131,50525
320000,江苏省,2006,59902,80101,39137,67996,7893,7064,13819,23320,50086
320000,江苏省,2005,61843,81612,37414,70271,6151,7066,15154,23953,45980
320000,江苏省,2004,58714,83358,35511,74170,4460,8451,18106,23936,44361
320000,江苏省,2003,61167,87206,37414,86528,4674,8756,12915,22042,43670
320000,江苏省,2002,51095,66590,,51847,3893,7279,,,
320000,江苏省,2001,60864,69769,,50060,4133,7405,,,
320000,江苏省,2000,60000,84000,,63000,4000,11000,,,
330000,浙江省,2019,3996,202173,,28954,10806,77,,33437,
330000,浙江省,2018,20421,173107,,27727,13915,50,,32082,
330000,浙江省,2017,27305,167380,,25529,15016,50,22637,49588,
330000,浙江省,2016,27957,165609,,25711,15276,124,21792,47346,
330000,浙江省,2015,28719,165240,,31376,11490,171,23056,48106,
330000,浙江省,2014,29421,165213,,32188,11979,108,22750,53162,
330000,浙江省,2013,28105,159724,,26480,10887,106,20930,55066,
330000,浙江省,2012,28330,151953,,25954,10279,61,20304,45245,
