省份编码,省份,年份,新注册民用汽车拥有量(万辆),新注册民用载客汽车拥有量(万辆),新注册民用大型载客汽车拥有量(万辆),新注册民用中型载客汽车拥有量(万辆),新注册民用小型载客汽车拥有量(万辆),新注册民用微型载客汽车拥有量(万辆),新注册民用载货汽车拥有量(万辆),新注册民用重型载货汽车拥有量(万辆),新注册民用中型载货汽车拥有量(万辆),新注册民用轻型载货汽车拥有量(万辆),新注册民用微型载货汽车拥有量(万辆),新注册民用其他汽车拥有量(万辆)
110000,北京市,2019,58.2708,45.8135,0.5771,0.662,44.5254,0.049,11.9479,0.9677,0.2441,10.7361,,0.5094
110000,北京市,2018,54.7747,45.457,0.28,0.3709,44.7449,0.0612,8.4253,1.8751,0.2702,6.28,,0.8924
110000,北京市,2017,62.5962,56.723,0.6414,0.3856,55.5659,0.1301,4.9962,0.8626,0.1893,3.8154,0.1289,0.877
110000,北京市,2016,57.3493,53.3119,0.6849,0.4857,52.0121,0.1292,3.635,0.4908,0.1042,3.0399,0.0001,0.4024
110000,北京市,2015,54.3464,50.202,0.5421,0.6048,48.95,0.1051,3.9103,0.5383,0.158,3.2139,0.0001,0.2341
110000,北京市,2014,50.3348,46.0588,0.3852,1.0396,44.4693,0.1647,4.0805,0.7836,0.1435,3.1534,,0.1955
110000,北京市,2013,58.9346,55.2069,0.3681,1.0377,53.5611,0.24,3.4144,0.7884,0.1533,2.4727,,0.3133
110000,北京市,2012,58.8464,55.2351,0.3819,0.7717,53.6753,0.4062,3.2704,0.6698,0.1706,2.43,,0.3409
110000,北京市,2011,40.0722,36.5137,0.3968,0.7109,35.0724,0.3336,3.1414,0.7205,0.2174,2.2035,,0.4171
110000,北京市,2010,86.9532,83.2899,0.4957,0.2777,81.2607,1.2558,3.1363,0.9677,0.3647,1.8039,,0.527
110000,北京市,2009,67.4873,62.4532,0.421,0.2725,61.1361,0.6236,4.4921,1.2874,0.7459,2.4588,,0.542
110000,北京市,2008,46.8445,43.267,0.8907,0.2716,42.0724,0.0323,2.8346,0.4593,0.842,1.5333,,0.7429
110000,北京市,2007,40.661,39.4396,0.4672,0.2908,38.6709,0.0107,0.7792,0.1055,0.1588,0.5149,,0.4422
110000,北京市,2006,34.9197,33.6758,0.5933,0.2985,32.7721,0.0119,0.9274,0.154,0.216,0.5574,0.0,0.3165
110000,北京市,2005,34.2176,32.5191,0.6425,0.3742,30.7111,0.7913,1.3354,0.1673,0.2523,0.9158,,0.3631
110000,北京市,2004,27.0744,25.2391,0.3506,1.178,22.8645,0.846,1.4505,0.2352,0.2907,0.9245,0.0001,0.3848
110000,北京市,2003,33.9344,31.9251,0.3151,2.0248,28.1177,1.4675,1.5174,0.2582,0.2572,1.0017,0.0003,0.4919
110000,北京市,2002,25.8298,23.5524,0.492,1.6483,19.5536,1.8585,1.8503,0.13,0.3227,1.3938,0.0038,0.4271
110000,北京市,2001,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,
120000,天津市,2019,24.8718,21.0253,0.1113,0.0435,20.7023,0.1682,3.5883,1.0904,0.047,2.4509,,0.2582
120000,天津市,2018,27.3321,23.7368,0.1963,0.0624,23.1915,0.2866,3.3881,0.9293,0.0359,2.4194,0.0035,0.2072
120000,天津市,2017,29.1436,24.9617,0.2439,0.0782,24.2181,0.4215,3.9354,0.9416,0.0507,2.9253,0.0178,0.2465
120000,天津市,2016,30.395,26.2849,0.2925,0.0763,25.8204,0.0957,3.9561,0.7055,0.0599,3.1011,0.0896,0.154
120000,天津市,2015,22.607,18.1034,0.4009,0.1133,17.4943,0.0949,4.2938,0.72,0.0893,3.3513,0.1332,0.2098
120000,天津市,2014,23.5406,18.8104,0.4002,0.1443,18.1228,0.1431,4.6139,0.97,0.1511,3.4629,0.0299,0.1163
120000,天津市,2013,42.1659,38.628,0.2976,0.1088,37.9104,0.3112,3.4326,0.8596,0.1419,2.4303,0.0008,0.1053
120000,天津市,2012,34.2453,31.2561,0.3112,0.1162,30.608,0.2207,2.8926,0.625,0.101,2.1666,,0.0966
120000,天津市,2011,32.6849,29.722,0.2781,0.1191,28.9983,0.3265,2.7912,0.7414,0.1097,1.9379,0.0022,0.1717
120000,天津市,2010,31.0934,27.3846,0.2767,0.1304,26.5011,0.4764,3.5388,0.8437,0.1946,2.4969,0.0036,0.17
120000,天津市,2009,24.177,21.7746,0.1924,0.0878,21.1679,0.3265,2.2789,0.3221,0.115,1.8182,0.0236,0.1235
120000,天津市,2008,18.4153,16.4757,0.2783,0.0896,16.0432,0.0646,1.6486,0.082,0.2004,1.3603,0.0059,0.291
120000,天津市,2007,15.9244,13.9312,0.2738,0.1384,13.481,0.038,1.6705,0.0798,0.1202,1.4689,0.0016,0.3227
120000,天津市,2006,12.9326,11.5154,0.1825,0.1284,11.14,0.0645,1.2574,0.0531,0.1146,1.0647,0.025,0.1598
120000,天津市,2005,12.1316,10.9269,0.19,0.1171,10.5227,0.0971,1.0334,0.047,0.1004,0.8743,0.0117,0.1713
120000,天津市,2004,9.8534,8.3976,0.2281,0.2256,7.7974,0.1465,1.3087,0.1915,0.1919,0.9245,0.0008,0.1471
120000,天津市,2003,7.7851,6.5914,0.2262,0.2281,5.6487,0.4884,0.9778,0.0929,0.1157,0.7271,0.0421,0.2159
120000,天津市,2002,5.7455,4.6252,0.2001,0.1834,2.9705,1.2712,0.8863,0.1292,0.0924,0.5305,0.1342,0.234
120000,天津市,2001,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,
130000,河北省,2019,155.2974,124.9172,0.4395,0.143,123.644,0.6907,29.2741,11.1915,0.2741,17.8083,0.0002,1.1061
130000,河北省,2018,166.6401,139.5631,0.4735,0.1443,138.3844,0.5609,26.1494,9.1185,0.2503,16.7805,0.0001,0.9276
130000,河北省,2017,181.1156,158.4117,0.5781,0.1287,157.2993,0.4056,22.0795,8.907,0.2246,12.9479,,0.6244
130000,河北省,2016,184.1866,164.4579,1.0895,0.1335,162.8062,0.4287,19.2356,7.9666,0.2569,11.012,0.0001,0.4931
130000,河北省,2015,163.6383,147.3438,1.4514,0.2604,144.5635,1.0685,15.9075,5.5562,0.2502,10.1003,0.0008,0.387
130000,河北省,2014,154.2425,132.4915,0.7679,0.294,130.1295,1.3001,21.2874,6.7912,0.4241,14.0719,0.0002,0.4636
130000,河北省,2013,138.5247,115.6968,0.6111,0.2836,113.3185,1.4836,22.3647,8.644,0.4316,13.2886,0.0005,0.4632
130000,河北省,2012,121.5307,101.6845,0.5815,0.2576,98.8906,1.9548,19.3626,6.0838,0.4695,12.8054,0.0039,0.4836
130000,河北省,2011,111.6874,90.6238,0.4979,0.2583,86.3013,3.5663,20.4034,7.5918,0.6262,12.163,0.0224,0.6602
130000,河北省,2010,13.2658,10.8756,0.0601,0.0332,10.0992,0.6831,2.3381,0.5487,0.0681,1.7156,0.0057,0.0521
130000,河北省,2009,81.3186,64.0076,0.4232,0.1826,58.2714,5.1304,16.8807,4.9806,1.0081,10.8126,0.0794,0.4303
130000,河北省,2008,39.7745,30.3852,0.3791,0.1728,28.125,1.7083,6.3257,1.7947,0.5902,3.8732,0.0676,3.0636
130000,河北省,2007,5.4771,4.5144,0.0603,0.0362,4.2318,0.1861,0.6995,0.178,0.0713,0.4382,0.012,0.2632
130000,河北省,2006,34.4248,26.4115,0.3522,0.2979,24.5405,1.2209,6.3378,1.5384,0.7029,3.8531,0.2434,1.6755
130000,河北省,2005,58.5438,39.9056,0.8565,0.6741,31.4168,6.9582,17.0052,4.28,2.4787,9.2012,1.0453,1.633
130000,河北省,2004,40.483,25.4638,0.5219,0.5853,19.9536,4.403,11.9631,4.6641,0.7958,6.1085,0.3947,3.0561
130000,河北省,2003,55.4245,33.7134,0.9211,0.7775,21.6565,10.3583,20.0636,5.1985,2.8687,10.3466,1.6498,1.6475
