省份编码,省份,年份,客运量(万人),铁路客运量(万人),国家铁路客运量(万人),地方铁路客运量(万人),合资铁路客运量(万人),公路客运量(万人),水运客运量(万人)
110000,北京市,2019,62976.5757,14825.2008,,,,48151.3749,
110000,北京市,2018,58934.6951,14357.4964,,,,44577.1987,0
110000,北京市,2017,58870.9456,13930.8356,,,,44940.11,0
110000,北京市,2016,61519.1851,13478.8351,,,,48040.35,0
110000,北京市,2015,62849.3185,12918.3185,,,,49931.0,
110000,北京市,2014,65062.8653,12708.7753,12609.0875,99.6878,,52354.09,
110000,北京市,2013,64160.6004,11679.6004,11587.569,92.0314,,52481.0,0
110000,北京市,2012,142730.9617,10397.9617,10315.1773,82.7844,,132333.0,
110000,北京市,2011,139718.0,9800.0,9758.0,42.0,,129918.0,
110000,北京市,2010,135045.0,8915.0,8903.0,12.0,,126130.0,
110000,北京市,2009,129534.0,8161.0,8161.0,,,121373.0,
110000,北京市,2008,124764.0,7646.0,7644.0,2.0,,117118.0,
110000,北京市,2007,16190.0,6915.0,6915.0,,,9275.0,
110000,北京市,2006,8751.0,6269.0,6269.0,,,2482.0,
110000,北京市,2005,8040.0,5779.0,5779.0,,,2261.0,
110000,北京市,2004,46900.0,5437.0,5437.0,,,41463.0,0
110000,北京市,2003,29300.0,4360.0,4359.0,1.0,,24940.0,0
110000,北京市,2002,27147.0,5043.7,5043.0,0.7,,22103.0,
110000,北京市,2001,21394.0,4764.0,4763.0,1.0,,16630.0,
110000,北京市,2000,17610.0,4601.0,4600.0,1.0,,13009.0,
120000,天津市,2019,17678.9159,5332.3089,,,,12205.8685,140.7385
120000,天津市,2018,17450.3126,5075.3092,,,,12259.4956,115.5078
120000,天津市,2017,17440.2169,4792.0443,,,,12538.0,110.1726
120000,天津市,2016,18377.2282,4543.4982,,,,13741.0,92.73
120000,天津市,2015,18344.5581,4053.5581,,,,14219.0,72
120000,天津市,2014,18300.036,3686.886,3686.886,,,14530.0,83.15
120000,天津市,2013,17994.6238,3351.6238,3351.6238,,,14556.0,87
120000,天津市,2012,27529.2427,2970.2427,2970.2427,,,24483.0,76
120000,天津市,2011,24934.0,2829.0,2829.0,,,22054.0,51
120000,天津市,2010,24525.0,2594.0,2594.0,,,21883.0,48
120000,天津市,2009,23337.0,2232.0,2232.0,,,21090.0,15
120000,天津市,2008,22817.0,1944.0,1944.0,,,20850.0,23
120000,天津市,2007,6829.0,1573.0,1573.0,,,5253.0,3
120000,天津市,2006,5443.0,1632.0,1632.0,,,3807.0,4
120000,天津市,2005,4514.0,1550.0,1550.0,,,2961.0,3
120000,天津市,2004,3956.0,1499.0,1499.0,,,2457.0,2.5
120000,天津市,2003,3403.0,1291.0,1291.0,,,2109.0,3
120000,天津市,2002,3383.0,1510.0,1510.0,,,1870.0,3
120000,天津市,2001,3337.0,1554.0,1554.0,,,1780.0,3
120000,天津市,2000,3532.0,1709.0,1709.0,,,1820.0,3
130000,河北省,2019,44733.2557,13013.3699,,,,31718.6951,1.1907
130000,河北省,2018,47345.6482,12210.5844,,,,35132.5647,2.4991
130000,河北省,2017,50022.5512,11526.8829,,,,38494.0111,1.6572
130000,河北省,2016,50701.3177,10771.0697,,,,39925.11,5.138
130000,河北省,2015,53273.8096,9705.8096,,,,43563.0,5
130000,河北省,2014,60725.192,9570.695,9570.695,,,51150.825,3.672
130000,河北省,2013,61717.8588,8761.8588,8761.8588,,,52956.0,0
130000,河北省,2012,105064.0379,7846.0379,7846.0379,,,97218.0,
130000,河北省,2011,99458.0,7601.0,7601.0,,,91857.0,
130000,河北省,2010,90847.0,7558.0,7558.0,,,83289.0,
130000,河北省,2009,77773.0,7194.0,7194.0,,,70579.0,
130000,河北省,2008,73058.0,6816.0,6816.0,,,66242.0,
130000,河北省,2007,88886.0,6238.0,6238.0,,,82648.0,
130000,河北省,2006,83955.0,6024.0,6024.0,,,77931.0,
130000,河北省,2005,80894.0,5492.0,5492.0,,,75402.0,
130000,河北省,2004,77770.0,5270.0,5270.0,,,72500.0,
