省份编码,省份,年份,固定长途电话交换机容量(万路端),局用交换机容量(万门),移动电话交换机容量(万户),光缆线路长度(公里),长途光缆线路长度(万公里)
110000,北京市,2019,6.702,1129.4159,8295,391947.28,0.432928
110000,北京市,2018,37.677,1149.9,6540,377020.03,0.421703
110000,北京市,2017,45.834,1238.0674,5850,356820.0,0.4583
110000,北京市,2016,45.834,1233.27,5230,306658.0,0.4465
110000,北京市,2015,51.474,1592.49,5102,275461.0,0.4088
110000,北京市,2014,56.574,1519.73,4910,241643.47,0.397674
110000,北京市,2013,56.574,1683.3,4820,219960.6,0.41217
110000,北京市,2012,55.083,1586.1424,4734,187714.33,0.410354
110000,北京市,2011,55.083,1329.7,4474,147375.5,0.40744
110000,北京市,2010,55.083,1415.1,4134,,0.4142
110000,北京市,2009,54.471,1483.1,3814,,0.3717
110000,北京市,2008,54.471,1542.3,3106,,0.3607
110000,北京市,2007,57.971,1547.5,2398,,0.346
110000,北京市,2006,57.704,1510.9,2038,,0.300551
110000,北京市,2005,44.468,1383.9,1782,,0.33181
110000,北京市,2004,33.489,1109.1,1597,,0.3244
110000,北京市,2003,21.9155,992.8,1351,,0.3984
110000,北京市,2002,18.65,803.7,1076.6,,0.3872
110000,北京市,2001,19.69,739.8801,811.5,,0.34691
110000,北京市,2000,,,,,
120000,天津市,2019,,429.7757,3036,362060.14,0.432313
120000,天津市,2018,9.552,421.79,3456,238077.27,0.414627
120000,天津市,2017,10.5874,453.0478,3350,204693.36,0.413536
120000,天津市,2016,11.7778,476.11,2585,183854.36,0.377636
120000,天津市,2015,11.7778,531.76,2435,163995.0,0.3714
120000,天津市,2014,11.7778,717.65,2355,148838.89,0.348089
120000,天津市,2013,13.7246,694.6,2355,130251.5,0.34805
120000,天津市,2012,13.7246,645.866,2045,108955.53,0.310553
120000,天津市,2011,13.7246,485.9,2080,76990.5,0.31055
120000,天津市,2010,13.7246,534.0,1910,,0.3106
120000,天津市,2009,13.7246,617.3,1840,,0.311
120000,天津市,2008,15.3418,592.8,1560,,0.3045
120000,天津市,2007,18.3208,608.4,1065,,0.2773
120000,天津市,2006,24.0028,611.0,845,,0.23874
120000,天津市,2005,24.8432,622.3,619,,0.18602
120000,天津市,2004,25.125,533.7,559,,0.149
120000,天津市,2003,14.558,512.6,515,,0.2077
120000,天津市,2002,11.532,410.9,357,,0.1835
120000,天津市,2001,8.184,348.5884,287,,0.16726
120000,天津市,2000,,,,,
130000,河北省,2019,5.64,855.4481,14610.2,2184222.38,3.70712
