省份编码,省份,年份,私人汽车拥有量(万辆),私人载客汽车拥有量(万辆),私人大型载客汽车拥有量(万辆),私人中型载客汽车拥有量(万辆),私人小型载客汽车拥有量(万辆),私人微型载客汽车拥有量(万辆),私人载货汽车拥有量(万辆),私人重型载货汽车拥有量(万辆),私人中型载货汽车拥有量(万辆),私人轻型载货汽车拥有量(万辆),私人微型载货汽车拥有量(万辆),私人其他汽车拥有量(万辆)
110000,北京市,2019,497.032,471.7731,0.4243,4.5822,465.5706,1.196,23.5033,0.4242,0.1887,22.8217,0.0687,1.7556
110000,北京市,2018,478.4946,462.4639,0.4116,4.3583,456.2764,1.4176,14.5391,0.6767,0.2931,13.5607,0.0086,1.4916
110000,北京市,2017,466.607,453.681,0.3233,4.5109,447.1583,1.6885,11.8188,0.8758,0.3683,10.5743,0.0004,1.1072
110000,北京市,2016,452.0409,440.9521,0.2709,4.558,433.7645,2.3587,10.1926,0.8504,0.3719,8.97,0.0003,0.8962
110000,北京市,2015,439.3304,429.3854,0.2475,4.833,421.0675,3.2374,8.9577,0.8579,0.4009,7.6987,0.0002,0.9873
110000,北京市,2014,435.7891,425.9831,0.2456,6.2987,409.9137,9.5251,8.829,1.1089,0.5119,7.2081,0.0001,0.977
110000,北京市,2013,424.9494,415.8899,0.2218,6.3612,396.7811,12.5258,8.0006,1.2556,0.5808,6.1641,,1.0589
110000,北京市,2012,405.5474,396.5617,0.2177,6.6168,374.2722,15.455,7.9828,1.3292,0.7067,5.9467,,1.0029
110000,北京市,2011,387.2928,378.4982,0.2016,6.6008,354.2279,17.4679,7.8599,1.3073,0.8513,5.7011,0.0002,0.9347
110000,北京市,2010,371.51,363.13,0.19,6.38,337.71,18.85,7.56,1.26,0.98,5.32,0.0,0.82
110000,北京市,2009,296.5601,288.3003,0.1716,6.3349,263.9414,17.8524,7.5788,1.1504,1.1157,5.3099,,0.681
110000,北京市,2008,244.2705,235.6091,0.2477,6.4775,209.1466,19.7373,8.0254,1.1687,1.3108,5.5423,,0.636
110000,北京市,2007,207.9368,199.368,0.2312,6.3446,172.7183,20.0739,7.9914,1.1196,1.3251,5.5413,0.0054,0.5774
110000,北京市,2006,176.2399,167.5749,0.2108,6.1966,140.856,20.3115,8.1384,1.1045,1.3835,5.6177,0.0327,0.5266
110000,北京市,2005,149.3064,140.5232,0.1773,6.0382,113.86,20.4477,8.2926,1.0543,1.4242,5.65,0.1641,0.4906
110000,北京市,2004,125.2156,116.6776,0.1274,5.8376,90.9044,19.8082,8.1254,1.0474,1.3644,5.3485,0.3651,0.4126
110000,北京市,2003,107.0924,98.4009,0.111,5.3852,73.4937,19.411,8.349,0.9353,1.4074,5.5731,0.4332,0.3425
110000,北京市,2002,81.08,72.88,0.09,4.1,50.46,18.22,7.93,0.83,1.31,5.36,0.43,0.28
110000,北京市,2001,62.4081,55.0765,,,,,7.3316,,,,,
110000,北京市,2000,49.41,43.48,,,,,5.93,,,,,
120000,天津市,2019,259.4256,240.6918,0.1157,0.4276,238.3941,1.7544,18.0866,1.239,0.2987,16.4782,0.0707,0.6472
