省份编码,省份,年份,民用汽车拥有量(万辆),民用载客汽车拥有量(万辆),民用大型载客汽车拥有量(万辆),民用中型载客汽车拥有量(万辆),民用小型载客汽车拥有量(万辆),民用微型载客汽车拥有量(万辆),民用载货汽车拥有量(万辆),民用重型载货汽车拥有量(万辆),民用中型载货汽车拥有量(万辆),民用轻型载货汽车拥有量(万辆),民用微型载货汽车拥有量(万辆),民用其他汽车拥有量(万辆),机动车驾驶员人数(万人),汽车驾驶员人数(万人)
110000,北京市,2019,590.3203,536.6635,6.309,7.6579,521.4191,1.2775,47.5856,6.3044,1.8747,39.2433,0.1632,6.0712,1163.0923,1145.9915
110000,北京市,2018,574.0411,527.9619,6.3513,7.5407,512.5097,1.5602,39.9915,6.8571,2.43,30.5746,0.1298,6.0877,1120.3394,1115.8976
110000,北京市,2017,563.1027,520.8301,6.4839,7.9377,504.5452,1.8633,36.6657,7.1096,3.0049,26.422,0.1292,5.6069,1083.5241,1079.6042
110000,北京市,2016,547.4382,509.3929,5.8604,8.2153,492.7997,2.5175,33.011,6.6168,3.025,23.3689,0.0003,5.0343,1034.5334,1030.6782
110000,北京市,2015,533.8081,498.1282,5.5075,8.6134,480.6083,3.399,30.5917,6.2669,3.1115,21.2131,0.0002,5.0882,977.593,973.5472
110000,北京市,2014,530.832,496.916,5.3823,10.5039,470.9178,10.112,28.9136,6.1345,3.1856,19.5934,0.0001,5.0024,907.7059,889.0672
110000,北京市,2013,517.1055,486.1379,5.2281,10.6073,457.0789,13.2236,25.7099,5.5764,3.1708,16.9626,,5.2577,822.0018,805.7017
110000,北京市,2012,493.5604,464.8626,4.9961,10.7834,432.8971,16.186,23.6962,5.0464,3.2327,15.4169,,5.0016,748.0476,731.4019
110000,北京市,2011,470.5341,444.1554,4.7783,10.7012,410.4521,18.2238,21.4922,4.4995,3.3029,13.6895,0.0003,4.8865,678.8641,661.782
110000,北京市,2010,449.72,425.74,4.58,10.29,391.23,19.64,19.39,3.92,3.34,12.13,0.0,4.59,625.3,607.24
110000,北京市,2009,368.1061,345.4433,4.4529,10.3229,312.1047,18.5628,18.2963,3.2234,3.389,11.6804,,4.3665,569.2834,549.8355
110000,北京市,2008,313.678,291.0173,4.432,10.7837,255.2627,20.5389,18.1308,2.5509,3.7419,11.8334,0.0046,4.5299,502.6499,494.062
110000,北京市,2007,273.3556,251.6345,3.9684,10.8383,215.8682,20.9596,17.5561,2.3405,3.4412,11.7672,0.0072,4.165,466.9348,445.8832
110000,北京市,2006,239.1234,217.5551,3.8395,10.8694,181.5173,21.3289,17.6946,2.403,3.4648,11.7877,0.0391,3.8737,412.2981,402.0652
110000,北京市,2005,209.7252,188.3063,3.6424,10.8934,152.1657,21.6048,17.725,2.3892,3.4249,11.7114,0.1995,3.6939,384.0,370.4124
110000,北京市,2004,182.4178,161.4016,3.3927,10.9887,125.9467,21.0735,17.69,2.5942,3.418,11.2366,0.4412,3.3262,351.2867,337.5014
110000,北京市,2003,163.0704,141.4104,3.2454,10.5921,106.7337,20.8392,18.5891,2.5974,3.7176,11.7448,0.5293,3.0709,308.0102,290.1093
110000,北京市,2002,133.93,112.84,2.98,8.96,81.08,19.81,18.38,2.57,3.69,11.59,0.54,2.72,284.83,264.04
110000,北京市,2001,114.4734,91.6022,,,,,21.4289,,,,,1.44,273.0206,233.5411
110000,北京市,2000,104.12,82.16,,,,,20.61,,,,,1.35000000000001,252.57,214.31
120000,天津市,2019,308.8821,271.272,2.7397,1.1987,265.2436,2.09,35.6639,8.0829,1.0095,26.4072,0.1643,1.9462,480.7786,480.2708
120000,天津市,2018,298.6534,263.2689,2.633,1.2523,257.28,2.1036,33.5642,7.2206,1.0269,25.105,0.2117,1.8203,456.3273,455.8625
120000,天津市,2017,287.6902,253.9924,2.6361,1.3024,247.9919,2.062,31.941,6.4573,1.1309,24.1242,0.2286,1.7568,434.0097,433.4576
120000,天津市,2016,273.6903,242.5046,2.5466,1.3371,236.2453,2.3756,29.4734,5.7049,1.1964,22.3484,0.2237,1.7123,412.1342,411.541
120000,天津市,2015,273.6183,244.2186,2.5391,1.4392,235.5382,4.7021,27.6254,5.3262,1.2476,20.8023,0.2493,1.7743,389.2464,388.5759
120000,天津市,2014,274.1399,245.3997,2.642,1.73,231.177,9.8507,27.0881,5.3686,1.4734,20.1468,0.0993,1.6521,366.1192,254.4792
120000,天津市,2013,261.5768,235.5568,2.4371,1.6919,220.4636,10.9642,24.3406,4.6986,1.4622,18.1092,0.0706,1.6794,337.8033,335.0127
120000,天津市,2012,221.1197,197.3019,2.2622,1.7746,182.4492,10.8159,22.1867,4.0865,1.464,16.5641,0.0721,1.6311,315.0906,311.3551
120000,天津市,2011,190.7754,167.8525,2.229,2.7255,152.0816,10.8164,21.3353,4.2839,1.8394,15.1383,0.0737,1.5876,280.8997,277.8979
120000,天津市,2010,158.24,137.64,2.01,2.67,122.45,10.51,19.15,3.57,1.89,13.58,0.11,1.45,252.0,245.42
120000,天津市,2009,129.9987,112.0448,1.9047,2.6339,97.1399,10.3663,16.615,2.7676,1.8459,11.7778,0.2237,1.3389,238.7497,226.6879
120000,天津市,2008,108.4739,91.7148,1.7933,2.6143,77.2001,10.1071,14.6811,1.7783,1.9204,10.668,0.3144,2.078,220.1852,207.0709
120000,天津市,2007,93.2517,77.403,1.6532,2.6305,62.9317,10.1876,13.999,1.8594,1.8442,9.8786,0.4168,1.8497,200.3195,186.8913
120000,天津市,2006,79.2195,64.8211,1.5227,2.6002,50.4198,10.2784,12.824,1.8516,1.7757,8.5226,0.6741,1.5744,181.2692,167.4405
120000,天津市,2005,67.6786,54.2657,1.4064,2.5839,39.8169,10.4585,11.955,1.8906,1.7061,7.5708,0.7875,1.4579,164.5033,153.1362
120000,天津市,2004,58.3423,45.0621,1.2859,2.5272,30.53,10.719,11.931,1.9239,1.6824,6.7176,1.6071,1.3492,160.5199,134.6689
120000,天津市,2003,53.7797,38.2438,1.3809,2.9675,22.7836,11.1118,14.0938,2.3373,2.2835,7.7909,1.6821,1.4421,143.5929,112.9347
120000,天津市,2002,48.33,32.43,1.24,2.72,13.92,14.54,14.26,1.46,2.44,7.02,3.34,1.64,130.53,126.58
120000,天津市,2001,44.7913,28.3461,,,,,15.4421,,,,,0.999999999999998,127.6316,91.3106
120000,天津市,2000,47.89,25.39,,,,,21.31,,,,,1.19,147.64,88.97
130000,河北省,2019,1647.8515,1429.814,6.7476,2.1981,1394.3243,26.544,210.9993,72.0158,4.423,134.4139,0.1466,7.0382,2312.9761,2273.1949
130000,河北省,2018,1529.9774,1330.3927,6.7493,2.2376,1292.6655,28.7403,193.3744,67.8256,4.5018,120.8507,0.1963,6.2103,2160.7797,2116.7378
130000,河北省,2017,1387.2115,1207.3363,6.5944,2.2498,1168.0108,30.4813,174.3437,61.7087,4.5758,107.783,0.2762,5.5315,2031.9946,1981.9065
130000,河北省,2016,1245.888,1077.0633,6.2462,2.3351,1029.8068,38.6752,163.3175,57.1684,4.8871,100.6774,0.5846,5.5072,1901.4085,1843.7336
130000,河北省,2015,1075.0339,923.331,5.2456,2.2882,873.896,41.9012,146.6413,50.3913,4.7119,90.9305,0.6076,5.0616,1746.3053,1680.1468
130000,河北省,2014,930.0842,780.5601,4.334,2.3755,732.2338,41.6168,143.5364,49.2818,5.5673,88.0672,0.6201,5.9877,1573.4177,1495.9676
130000,河北省,2013,816.2934,660.2401,4.4952,3.179,609.255,43.3109,150.0135,53.2755,8.2515,87.8283,0.6582,6.0398,1433.4521,1344.0172
130000,河北省,2012,728.5125,568.129,5.0722,4.1411,510.1656,48.7501,153.4193,53.848,11.2904,87.3869,0.894,6.9642,1357.8777,1260.8578
130000,河北省,2011,607.1907,463.4062,4.7051,4.0973,407.7398,46.864,137.1528,49.3694,11.4122,75.446,0.9252,6.6317,1204.3367,1100.4263
130000,河北省,2010,492.88,365.36,4.38,3.98,313.87,43.13,121.5,43.59,11.88,64.84,1.18,6.02,1058.89,952.95
130000,河北省,2009,395.8045,286.0688,4.1485,3.9025,239.2578,38.76,104.3645,36.9736,12.092,53.6312,1.6677,5.3712,1024.5857,899.1323
130000,河北省,2008,316.7732,219.9908,3.7559,3.6323,178.7475,33.8551,79.9182,22.6167,11.4079,43.8562,2.0374,16.8642,946.5429,822.8396
130000,河北省,2007,273.2542,185.3122,3.4013,3.3972,146.5396,31.9741,75.0718,21.3385,10.9358,40.3134,2.4841,12.8702,859.7584,743.9428
130000,河北省,2006,229.3397,149.5221,3.0932,3.084,112.4145,30.9304,70.3926,20.1623,10.4549,36.738,3.0374,9.425,787.9792,683.0185
130000,河北省,2005,198.2262,119.9797,2.9222,2.7491,84.9444,29.364,70.8612,20.0187,11.8698,34.3308,4.6419,7.3853,727.9015,458.8753
